username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-03-22 23:35;5;15;"Future # Chainlink $ LINK ecosystem: @ Apple $ AAPL @ Google $ GOOGL & $ GOOG @ Microsoft $ MSFT @ amazon $ AMZN @ BRK_B $ BRKA $ BRKB @ FB $ FB @ jpmorgan $ JPM @ BankofAmerica $ BA @ JNJCares $ JNJ @ exxonmobil $ XOM # Crypto # blockchain # bitcoin # Ethereum # XRP # EOS # BTC # TRX # LTC # ICO # xlm # bnb # ADApic.twitter.com/GA9PHm8UrF";;@ @ @ @ @ @ @ @ @ @;# # # # # # # # # # # # # #;"1109237284342255618";https://twitter.com/SilentWhstlBlwr/status/1109237284342255618
;2019-03-22 22:50;0;0;"how to read an income statement https://jeremykruid.co/what-is-a-stock/f/reading-an-income-statement … # StockMarket # stocks $ AAPL $ AXP $ BA $ CAT $ CSCO $ CVX $ DIS $ DWDP $ GS $ HD $ IBM $ INTC $ JNJ $ JPM $ KO $ MCD $ MMM $ MRK $ MSFT $ MKE $ PFE $ PG $ TRV $ UNH $ UTX $ V $ VZ $ WBA $ WMT $ XOM";;;# #;"1109225749179973632";https://twitter.com/Household9_99/status/1109225749179973632
;2019-03-22 21:05;0;0;"# Options # maxpain chart for $ XOM. Free options app http://www.mobileinteractive.com/superstocks pic.twitter.com/n7gDQ75PfA";;;# #;"1109199350142504960";https://twitter.com/OptionsMaxPain/status/1109199350142504960
;2019-03-22 21:04;0;0;"$ XOM latest chart for Members energy/energy stocks to stay supported in this policy environment &while$CL_F above 3/8 low # Elliottwave $ XLEpic.twitter.com/TySy8iMBNr";;;#;"1109199275517493248";https://twitter.com/ElliottForecast/status/1109199275517493248
;2019-03-22 20:57;3;12;"Global Stock Market ETF: H&S, shooting star, negative divergence breakdown. $ VTI $ MSFT $ AAPL $ AMZN $ GOOG $ BRK.B $ FB $ JNJ $ JPM $ XOM $ Vpic.twitter.com/dgS5L97HGa";;;;"1109197493894635521";https://twitter.com/moniology/status/1109197493894635521
;2019-03-22 20:53;0;0;"https://seekingalpha.com/article/4250584-non-sense-diversification-buy-hold-portfolio?fbclid=IwAR1vmkEvpzrJA2IInSRGg8_pZVZdwPKgmRal0XCc-IIPT6V1T91QF06XywQ … $ CVX $ MO $ PM $ PG $ KO $ NVDA $ AMD $ AAPL $ BIDU $ CSCO $ C $ T $ INTC $ XOM $ GOOGL $ FB $ AMZN $ NFLX $ GE $ TSLA $ MU $ ILMN $ RDS.A $ JNJ $ BA $ MO $ PM $ ABBV $ UNH $ GILD $ KHC $ CVS $ QCOM $ BABA $ BPR $ DIA $ SPY $ QQQ";;;;"1109196436862918656";https://twitter.com/BiotechSmart/status/1109196436862918656
;2019-03-22 20:49;0;0;"$ XOM # Options OI chart. Free stocks app http://www.mobileinteractive.com/superstocks pic.twitter.com/J0NR0H9UMh";;;#;"1109195401670860802";https://twitter.com/OptionsProOI/status/1109195401670860802
;2019-03-22 20:29;0;0;"How to make money in the Stock Market. # StockMarket # stocks $ AAPL $ AXP $ BA $ CAT $ CSCO $ CVX $ DIS $ DWDP $ GS $ HD $ IBM $ INTC $ JNJ $ JPM $ KO $ MCD $ MMM $ MRK $ MSFT $ MKE $ PFE $ PG $ TRV $ UNH $ UTX $ V $ VZ $ WBA $ WMT $ XOM https://jeremykruid.co/what-is-a-stock";;;# #;"1109190261308121088";https://twitter.com/Household9_99/status/1109190261308121088
;2019-03-22 20:03;0;0;"Exactly. Smart $ is already divesting. Short $ XOM seems like a good bet next. https://twitter.com/AlexSteffen/status/1109167434861178882 …";;;;"1109183873894629377";https://twitter.com/SuBeiWoo/status/1109183873894629377
;2019-03-22 19:57;0;0;"Highest scoring stories for # SP500 under one watchlist $ AAPL $ WFC $ XOM http://www.cityfalcon.com/watchlists?name=S%26P%20500%20Tracker&utm_campaign=T_AT …pic.twitter.com/E6ilUf4liB";;;#;"1109182361080606720";https://twitter.com/PortfolioBuzz/status/1109182361080606720
;2019-03-22 19:55;0;0;"# estate asset watch - top money flow Friday, share price x volume traded - $ AMZN $ AAPL $ BA $ NVDA $ AMD $ BAC $ NFLX $ MSFT $ JPM $ FB $ TSLA $ DIS $ CHTR $ BABA $ MU $ BIIB $ NKE $ GOOG $ GOOGL $ C $ VZ $ NEM $ WFC $ GG $ BKNG $ GS $ V $ BRK $ TWTR $ CSCO $ HD $ T $ INTC $ XOM $ PG $ GE $ UNH $ ORCL $ MS $ KO $ SQpic.twitter.com/Ab3P6yQBah";;;#;"1109181702855745537";https://twitter.com/TheBurdetteLawF/status/1109181702855745537
;2019-03-22 19:53;2;0;"$ NCAP 0028 # mmj with only 22 million FLOAT L2 THIN!!! # ico $ AAPL $ GOOG $ INTC $ AMZN $ MSFT $ AKAM $ CMCSA $ PFE $ MU $ NFLX $ NOK $ XOM $ UNH $ DIS $ HSY $ NVDA $ MRNS $ UNP $ BAC $ ORCL $ WMT $ CHK $ GLUU $ AKS $ TWTR $ VZ $ CTL $ FCX $ AMAT $ TSLA $ JPM $ WFT $ PTI $ BIDU $ MRK $ BETR $ AXP $ RIG $ APA $ HPQ $ NWBOpic.twitter.com/bGpZc0AsKe";;;# #;"1109181339398537218";https://twitter.com/aaaamhim/status/1109181339398537218
;2019-03-22 19:52;0;0;"$ NCAP 0028? 52WKH 6 CENTS! INSTITUTIONS OWN 36%! L2 THIN! # MARIJUANA STOCK $ BAC $ GE $ BMY $ WFC $ MU $ YNDX $ AMD $ OCLR $ MRK $ F $ AAPL $ RIG $ T $ CVS $ C $ MSFT $ JPM $ FB $ NFLX $ ACIA $ PFE $ CSCO $ INFY $ MRO $ HBI $ HPE $ KMI $ ORCL $ BABA $ WBA $ RF $ XOM $ X $ NVDA $ CSX $ SFOR $ T $ NKTR $ VZ $ EPD $ BSXpic.twitter.com/XCmvbHVjiT";;;#;"1109180951366647809";https://twitter.com/aaaamhim/status/1109180951366647809
;2019-03-22 18:59;0;0;"Exxon Mobil Corporation (NYSE:XOM) – Hot Stock in the Spotlight http://nasdaqjournal.com/index.php/2018/02/02/exxon-mobil-corporation-nysexom-hot-stock-in-the-spotlight/ … $ XOM # stocks # stockmarket";;;# #;"1109167639610474497";https://twitter.com/StockScoops/status/1109167639610474497
;2019-03-22 18:48;0;0;"Overbrook Management Trimmed T Mobile Us $ TMUS Stake; Dixon Hubard Feinour & Brown Cut By $358,836 Its Exxon Mobil $ XOM Stake https://hinewulm.com/2019/03/22/overbrook-management-trimmed-t-mobile-us-tmus-stake-dixon-hubard-feinour-brown-cut-by-358836-its-exxon-mobil-xom-stake/ …";;;;"1109164863442636804";https://twitter.com/UlmHi/status/1109164863442636804
;2019-03-22 18:41;0;0;"Analysts take a look at Exxon Mobil Corporation $ XOM having this to say. https://whatsonthorold.com/2019/03/22/analysts-take-a-look-at-exxon-mobil-corporation-nysexom-having-this-to-say/ …";;;;"1109163263957389312";https://twitter.com/whatsonthorold2/status/1109163263957389312
;2019-03-22 18:40;0;0;"Analysts take a look at Exxon Mobil Corporation $ XOM having this to say. https://www.bibeypost.com/analysts-take-a-look-at-exxon-mobil-corporation-nysexom-having-this-to-say-2/ …";;;;"1109163054170685440";https://twitter.com/bibeypost_stock/status/1109163054170685440
;2019-03-22 18:35;4;0;"Can't judge a book by its cover_Medtainer $ MDTRD CEO To Confirm Reverse Merger Discussions Underway In New York City https://rumormurmursbuzz.blogspot.com/2019/03/cant-judge-book-by-its-covermedtainer.html … $ CBIS $ TXHD $ ESV $ MDLZ $ PTOP $ XOM $ CCTR $ SBUX $ LLNW $ CLKA $ PBR $ QCOM $ MRO $ KEY $ BMY $ FNRC $ TXTM $ ABVG $ SHMN $ LDSI";;;;"1109161588341141504";https://twitter.com/StockTweetsHQ/status/1109161588341141504
;2019-03-22 18:30;2;3;"$ ARDM $ ARDMQ excerpts from Status Conference Statement for # bankruptcy of Aradigm # wallstreet # investing # investments # investors # stockmarket # stocks # valueinvesting # money $ AAPL $ AMZN $ BABA $ C $ D $ ES $ F $ GOOG $ GM $ INTC $ IBM $ MSFT $ NVDA $ PG $ S $ TGT $ TSLA $ WMT $ XOM pic.twitter.com/fYwVK5kHju";;;# # # # # # # # #;"1109160353106153474";https://twitter.com/stickycactusink/status/1109160353106153474
;2019-03-22 18:29;0;0;"Exxon Mobil $ XOM EPS Estimated At $0.88; Kellogg Co $ K Has 0.79 Sentimenthttps://finheadlines.com/2019/03/22/exxon-mobil-xom-eps-estimated-at-0-88-kellogg-co-k-has-0-79-sentiment/ …";;;;"1109160242019860481";https://twitter.com/HeadlinesFin/status/1109160242019860481
;2019-03-22 18:29;0;0;"Do you know everything while trading in $ DJIA $ CAT $ XOM $ GS http://www.cityfalcon.com/watchlists?name=Dow%20Jones%20Tracker&utm_campaign=T_AT …pic.twitter.com/k8nve9XlzP";;;;"1109160081952788481";https://twitter.com/PortfolioBuzz/status/1109160081952788481
;2019-03-22 18:18;0;0;"Short sale volume (not short interest) for $ BP on 2019-03-21 is 35%. http://shortvolumes.com/?t=BP $ TOT 66% $ XOM 60% $ CVX 31%";;;;"1109157300755935232";https://twitter.com/shortvolumes/status/1109157300755935232
;2019-03-22 18:03;0;0;"$ VLO $ MPC $ PSX $ XOM $ CVX: U.S. Crude & Fuel Stockpiles Slump, Oil Exports Increase: https://www.StockNewsWires.com/vlo-mpc-psx-xom-cvx-u-s-crude-fuel-stockpiles-slump-oil-exports-increase/ …";;;;"1109153534115803142";https://twitter.com/ProVesting/status/1109153534115803142
;2019-03-22 17:56;0;0;"This is one to watch. $ XOM pic.twitter.com/78e1i4se4l";;;;"1109151903395528704";https://twitter.com/3Xtraders/status/1109151903395528704
;2019-03-22 17:55;0;0;"Buckhead Capital Management Raised Exxon Mobil $ XOM Holding; Texas Instruments $ TXN Sentiment Is 0.87https://finheadlines.com/2019/03/22/buckhead-capital-management-raised-exxon-mobil-xom-holding-texas-instruments-txn-sentiment-is-0-87/ …";;;;"1109151648058916865";https://twitter.com/HeadlinesFin/status/1109151648058916865
;2019-03-22 17:34;0;0;"$ CVX $ XOM: Buy Chevron and Exxon Mobil on Momentum and Dividends: https://www.StockNewsWires.com/cvx-xom-buy-chevron-and-exxon-mobil-on-momentum-and-dividends/ …";;;;"1109146225394233345";https://twitter.com/ProTradersNews/status/1109146225394233345
;2019-03-22 17:07;0;0;"3 Great Dividend Stocks To Profit From America's Energy Boom # oil $ oil $ xom $ trp $ eog # StocksToTrade # stockstowatch # StocksInNews # seekingalpha https://buff.ly/2FoKnNb pic.twitter.com/nAjwRQj5Ni";;;# # # # #;"1109139431930454027";https://twitter.com/fightnarmadillo/status/1109139431930454027
;2019-03-22 16:50;0;2;"$ ARDM $ ARDMQ Pursuit of sale of substantially all sassets will be drastically difficult due to $ GRFS license. $ AAPL $ AMZN $ BABA $ C $ F $ GOOG $ GM $ INTC $ IBM $ MSFT $ NVDA $ PG $ S $ TSLA $ WMT $ XOM # wallstreet # investing # investments # investors # stocks # stockmarket # money # finance";;;# # # # # # # #;"1109135185747038208";https://twitter.com/stickycactusink/status/1109135185747038208
;2019-03-22 16:32;0;2;"Our agents have placed a hidden camera in $ XOM HQ. $ TSLA $ TSLAQhttps://twitter.com/HipparchusLogic/status/1109130123050049536 …";;;;"1109130673787490304";https://twitter.com/RooseveltPatoo1/status/1109130673787490304
;2019-03-22 16:31;0;0;"Delta Asset Management Has Increased By $1.25 Million Its Exxon Mobil $ XOM Stake; Arts Way Manufacturing Co Has 1 Sentiment https://finheadlines.com/2019/03/22/delta-asset-management-has-increased-by-1-25-million-its-exxon-mobil-xom-stake-arts-way-manufacturing-co-has-1-sentiment/ …";;;;"1109130409185603585";https://twitter.com/HeadlinesFin/status/1109130409185603585
;2019-03-22 16:28;0;0;"AT session, we told the members how and when to sell the YEN pairs and Indices base in $ AAPL, $ XOM and $ CL_F . # elliottwave";;;#;"1109129757101383682";https://twitter.com/ElliottForecast/status/1109129757101383682
