username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-03-05 21:42;0;1;"New Adds: Ton of $ ACB April 9C $ DWDP March 29th 56C (conference tomorrow morning) $ URBN 34.5C lotto (ER) $ HOG 39.5C lotto Sold: $ KAR $ ZAYO";;;;"1103048081803804673";https://twitter.com/DipBuying/status/1103048081803804673
;2019-03-05 18:30;0;0;"DowDuPont Inc. $ DWDP Touches $53.93 Formed H&S; Independent Bank $ IBCP's Sentiment Is 1.24https://finheadlines.com/2019/03/05/dowdupont-inc-dwdp-touches-53-93-formed-h-independent-bank-ibcps-sentiment-is-1-24/ …";;;;"1102999746661269505";https://twitter.com/HeadlinesFin/status/1102999746661269505
;2019-03-05 18:17;0;0;"# WashingtonMutual fundholders getting tired of $ DWDP disappontments.";;;#;"1102996487007543296";https://twitter.com/TWFeditor/status/1102996487007543296
;2019-03-05 18:14;0;0;"$ DWDP back over 54.. want a nice move over 54.15.. $ ACB over last week highs.. i bought a ton of April 9C .40";;;;"1102995757748101120";https://twitter.com/DipBuying/status/1102995757748101120
;2019-03-05 17:46;0;1;"$ NCAP 005!? 52WKH 06! Only 22 million FLOAT for a # MARIJUANA stock? # STOCKS # blockchain # Crypto # bitcoin # XRP # OTC # ico # startup $ TWTR $ DWDP $ PNC $ CVS $ BABA $ NIO $ TGT $ MER $ MGM $ TLRY $ CHK $ AMZN $ COST $ LULU $ YUM $ VRUS $ LDSR $ FB $ SQ $ VALE $ YELP $ TE $ PSSI $ JD $ BZUN $ XOM $ BP $ LQMT $ Cpic.twitter.com/ENPEkasf8A";;;# # # # # # # # #;"1102988690031284225";https://twitter.com/aaaamhim/status/1102988690031284225
;2019-03-05 17:22;0;1;"# DowJones $ DIA $ CVX $ NKE $ UNH $ JNJ $ XOM $ AXP $ AAPL $ DIS $ V $ IBM $ GS $ MCD $ INTC $ MSFT $ MRK $ DWDP $ BA $ CAT $ TRV $ KO $ UTX $ VZ $ JPM $ MMM $ PFE $ HD $ PG $ CSCO $ WMT $ WBA Dow Jones $ DJIA - Heat Map https://bullbearcharts.blogspot.com/2019/03/dow-jones-industrial-index-djia-heat-map.html …pic.twitter.com/mHyzGyj7AG";;;#;"1102982852952682497";https://twitter.com/BullBearCharts/status/1102982852952682497
;2019-03-05 16:44;0;1;"The below tweet is just getting started $ TER $ COP $ VNQ $ NBR $ BKD $ NRZ $ GPK $ MRK $ WBA $ XME $ VRX $ AQMS $ DISCK $ GSAT $ DWDP $ KIM $ INPX $ LBTYK $ SAN $ GSK $ COG $ DAL $ HPQ $ AES $ SDS $ FII $ LYG $ RAD $ AEO $ SPXL $ TPGE $ HBAN $ DWT $ MAS $ USB $ ATVI $ BUD $ UA $ FDC $ VEA $ BP $ VERhttps://twitter.com/strategiclease/status/1101599059104669696 …";;;;"1102973211925340162";https://twitter.com/OneOClockDrop/status/1102973211925340162
;2019-03-05 16:12;0;0;"Sitting on a good chunk of $ DWDP 56C March 29";;;;"1102965034244866049";https://twitter.com/DipBuying/status/1102965034244866049
;2019-03-05 15:33;0;1;"Sold $ dwdp +10% and cut $ XME _10% waiting to find a direction in the market";;;;"1102955307381256192";https://twitter.com/BEARINGT0N/status/1102955307381256192
;2019-03-05 15:01;0;0;"20 DMA Support today: $ NDSN $ ATRA $ KEM $ VLY $ BBL $ DWDP $ DCOM $ GMED $ MKSI $ ARAY $ CL $ XPER $ NUAN $ SGEN $ MEET $ CLRB $ MLCO $ XME $ JILL $ DNJR ...https://swingtradebot.com/alerts/34-20-dma-support …";;;;"1102947161032089600";https://twitter.com/SwingTradeBot/status/1102947161032089600
;2019-03-05 14:40;3;6;"Highlight: "It's all about retail," @ seanansmith says at the @ NYSE, after "pretty strong reports out of" $ TGT and $ KSS. "That's what's really driving traders' talk down here on the floor." Adds the biggest Dow underperformers are $ MMM, $ VZN, and $ DWDP. http://finance.yahoo.com/ pic.twitter.com/khNEYmz8O6";;@ @;;"1102942057637732352";https://twitter.com/YahooFinance/status/1102942057637732352
;2019-03-05 14:12;0;0;"3/5 50D MA Watch List: $ NUGT $ TRGP $ AUY $ GDXJ $ CPE $ NOK $ EWZ $ BKS $ ARNC $ DWDP $ NOV $ FIT $ DLTR $ T $ KSS $ GRUB $ DATA $ ESV $ GGB $ BRK.B $ BBD $ LB $ QCOM $ ADM $ CME # trading";;;#;"1102934799591919617";https://twitter.com/TradeAcademyCo/status/1102934799591919617
;2019-03-05 13:32;0;2;"Energy, Industrial, Telco, Material, Utes flow 3/4/2019 $ DWDP bull bets add to OI $ NRG bull bet $ PCG bull bets $ UPS bull bet again adds to OI $ SD bull bet into earnings and beaten down chartpic.twitter.com/uoIbvcQbvL";;;;"1102924828846186496";https://twitter.com/OptionsMamba/status/1102924828846186496
;2019-03-05 12:14;0;0;"$ DISH $ SWN $ DO $ PHM $ NBL $ FB $ DHI $ KHC $ DLPH $ BF.B $ MYL $ SWK $ PKG $ KR $ KSU $ WRK $ XEC $ NEM $ VMC $ WDC $ EQT $ DWDP $ DE S&P500 : TOP GAINERS https://bullbearcharts.blogspot.com/2019/03/s-index-spx-biggest-percentage-gainers_5.html …";;;;"1102905210173906944";https://twitter.com/BullBearCharts/status/1102905210173906944
;2019-03-05 06:32;0;0;"# WallStreet: # DowJones -0.79% en 25,819.65, # SP500 -0.39% en 2,792.81 y # Nasdaq -0.23% en 7,577.57. Mejor valor: $ DWDP +1.71% Peor valor: $ UNH -4.12%";;;# # # #;"1102819178032123904";https://twitter.com/esbolsa/status/1102819178032123904
;2019-03-05 05:26;0;0;"$ DWDP 08-Mar-19 Straddle Implies a ±2.3% move. Mar 6 J.P. Morgan Aviation, Transportation and Industrials Conference ... https://marketchameleon.com/Overview/DWDP/OptionSummary/ …";;;;"1102802485427822592";https://twitter.com/MC_OptionTrades/status/1102802485427822592
;2019-03-05 01:42;3;5;"Tomorrow’s watchlist $ JMU $ FB $ DWDP $ ICON $ JP $ AWSM $ DGLY $ KPTI $ BLNK updated every night @https://bullishbears.com/stock-watch-lists/ …pic.twitter.com/b5q1LO6KNy";;@https;;"1102746130738221056";https://twitter.com/bullishbrs/status/1102746130738221056
;2019-03-05 00:18;0;0;"ANALYZER: Mon Mar 04 21:18:29 ART 2019 $ DWDP has weekly WMA30 in phase 4.0 for SHORT Price -2.92% from WMA30. Last candles Red/Green";;;;"1102725029559746560";https://twitter.com/InsomniaCBot/status/1102725029559746560
