username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-03-08 23:56;0;0;"WANALYZER: Fri Mar 08 20:56:53 ART 2019 $ AMZN has weekly WMA30 in phase 3.0 for SHORT Price -1.41% from WMA30. Last candles Green/Red";;;;"1104169149322981377";https://twitter.com/InsomniaCBot/status/1104169149322981377
;2019-03-08 23:54;0;0;"$ AMZN good reversal play and holding intraday 1600 today for rally back into 1620, remember the range here, 1600 - 1650. Rally possibility";;;;"1104168533490053122";https://twitter.com/TheOptionsPros/status/1104168533490053122
;2019-03-08 23:54;0;0;"Took some losses this wk however, overly bullish on $ NFLX $ SPY $ AMZN to start the week which ended up fading, selling off rest of wk";;;;"1104168525210505216";https://twitter.com/TheOptionsPros/status/1104168525210505216
;2019-03-08 23:52;0;1;"$ LLY $ AAPL $ AMZN $ NIO $ TSLA $ GE $ FB $ NVDA $ AMD $ NFLX $ MU $ BAC $ ELAN $ BABA $ CVS $ MSFT $ JD $ BMY $ X $ BHP $ F $ COST $ SQ $ ROKU $ TWTR Most active optionspic.twitter.com/bld04uWpfn";;;;"1104168010397376512";https://twitter.com/TeresaTrades/status/1104168010397376512
;2019-03-08 23:51;5;3;"# Amazon's Kindle Paperwhite 4 is waterproof and offers twice the storage, all for $100 shipped. https://www.techeblog.com/new-amazon-kindle-paperwhite-4-review-deal/ … # deals # gadgets # technology # dealoftheday $ AMZN pic.twitter.com/jkYtywFn7R";;;# # # # #;"1104167900066136064";https://twitter.com/techeblog/status/1104167900066136064
;2019-03-08 23:46;0;0;"Hi @ brentlsaunders, Will you agree to a drug test & a mental competence exam? $ amzn $ agn $ brk $ bhc $ crm $ dis $ esrx $ unh $ jnj $ endp $ mnk $ myl $ mrk $ eols $ rvnc $ ko $ pep $ tst $ iep $ ibm $ lly $ pfe $ amgn $ hlf $ iep $ wfc $ ms $ gs $ jpm $ bac $ c $ prgo $ tsla $ googl $ fred $ azn $ gsk $ rad $ endp";;@;;"1104166560577523713";https://twitter.com/brianfires/status/1104166560577523713
;2019-03-08 23:46;0;1;""Some of the tech. agreements, particularly with Amazon was to focus on other types of mobility applications. Is it fair to assume that something is - one of those four (new partner initiatives to be announced) could be with one of your partners?" AM.. Yes. Ha! $ AMZN or # FEDX?";;;#;"1104166470987190273";https://twitter.com/uaddt/status/1104166470987190273
;2019-03-08 23:45;1;3;"$ NIO $ AMZN $ NVDA $ AMAT $ IBM $ AMZN $ VLO $ CTRP $ COST $ NFLX $ FTAI $ AMZN $ SO $ IAG $ LOCO $ M $ HAL $ CVS $ LOW $ CZR $ BA $ NVDA $ HSY Unusual options activitypic.twitter.com/d6s2cgttLL";;;;"1104166371145932800";https://twitter.com/TeresaTrades/status/1104166371145932800
;2019-03-08 23:44;0;0;"NEW GENERATION OF TRADING | https://youtu.be/y7A6IFjP3hM | # Daytrading # Stocks # StockMarket # News # SpaceX # ElonMusk # Pentagon # WallStreet # NYSE # NASDAQ # Business # Finance # Investing $ SPX $ GOOGL $ AMZN $ AAPL $ BKNG $ QQQ $ BA $ TSLA $ FB $ NVDA";;;# # # # # # # # # # # # #;"1104165917246730240";https://twitter.com/TOS_OPTION/status/1104165917246730240
;2019-03-08 23:42;0;0;"$ AMZN N.J. Gov. Murphy on Budget, Taxes, Amazon via http://www.hvper.com/?ref=ftw";;;;"1104165403650150401";https://twitter.com/finzine/status/1104165403650150401
;2019-03-08 23:41;0;0;"This Is Not a Game or Fake News! This is FOR REAL! $ amzn $ agn $ brk $ bhc $ crm $ dis $ esrx $ unh $ jnj $ endp $ mnk $ myl $ mrk $ eols $ rvnc $ ko $ pep $ tst $ iep $ ibm $ lly $ pfe $ amgn $ hlf $ iep $ wfc $ ms $ gs $ jpm $ bac $ c $ prgo $ tsla $ googl $ fred $ azn $ gsk $ rad $ endphttps://twitter.com/brianfires/status/1104163993831251968 …";;;;"1104165288805875722";https://twitter.com/brianfires/status/1104165288805875722
;2019-03-08 23:40;1;1;"Ready For The Move Next Week? While last week’s selloff was fun to play, get ready for this next setup. # Trading # Options # selloff # FinancialMarkets # StockMarketNews $ SPX $ AMZN $ ES $ VIXhttps://www.simplertrading.com/daily/options-free/ready-for-move-next-week/ …";;;# # # # #;"1104165145037717505";https://twitter.com/simpleroptions/status/1104165145037717505
;2019-03-08 23:32;0;2;"$ AMZN I believe that Christmas low was a LONGTERM low, if this is ever higher than 2k tht was the low we’ll look back on, &this POST pic.twitter.com/y7qPogIO9u";;;;"1104162911994462208";https://twitter.com/Banana3Stocks/status/1104162911994462208
;2019-03-08 23:30;0;0;"ACTIVE TRADERS Try one of these FREE trading guides: http://ow.ly/Bm1r30nWlBD $ NFLX $ TSLA $ AAPL $ IBB $ GS $ FB $ AMZN $ GOOGL $ NVDA";;;;"1104162414382247936";https://twitter.com/ExactOptionPick/status/1104162414382247936
;2019-03-08 23:28;0;1;"$ AMZN So as amazon proved it this week when it hit 1709 it didn’t need to follow spy, spy may have more would to chop with MACD RSI";;;;"1104162058713686016";https://twitter.com/Banana3Stocks/status/1104162058713686016
;2019-03-08 23:27;0;0;"$ amd $ aapl $ amzn nice rebounds https://youtu.be/8rRtTykySFc Dr J’s recap";;;;"1104161703569297414";https://twitter.com/jerchess/status/1104161703569297414
;2019-03-08 23:27;0;1;"$ AMZN During the daily run up of SPY, amzn did not participate much-consolidated more Then runs up to 1709 while market was moving down";;;;"1104161670711181312";https://twitter.com/Banana3Stocks/status/1104161670711181312
;2019-03-08 23:21;0;2;"$ AMZN. Check out this thread and conversation, a lot of smart opinions going both directions Chose for urself https://stocktwits.com/Banana3/message/156409903 …";;;;"1104160151098007552";https://twitter.com/Banana3Stocks/status/1104160151098007552
;2019-03-08 23:16;0;0;"# Allergan CEO Should Be Drug Tested & Tested For Mental Competence! $ aapl $ amzn $ agn $ brk $ bhc $ crm $ cmg $ dis $ esrx $ f $ googl $ hlf $ iep $ ibm $ jnj $ ko $ prgo $ wba $ wmt $ tgt $ cost $ fb $ mcd $ shak $ ms $ gs $ wfc $ bac $ c $ jpm $ sbux $ cat $ ba $ fb $ f $ ge $ wynn $ tst $ pep $ bhc $ tsla $ teva";;;#;"1104159077171642369";https://twitter.com/brianfires/status/1104159077171642369
;2019-03-08 23:14;0;0;"http://bit.ly/2dBEKjo << Ready to learn from this Millionaire Biotech Trader [FREE email updates] $ FB $ TWTR $ AMZN";;;;"1104158435078270977";https://twitter.com/BigStockMover/status/1104158435078270977
;2019-03-08 23:12;0;0;"$ AMZN $ TSLA (Podcast) Rebuilding Trade Trust between the U.S. and EU viahttp://www.hvper.com/?ref=ftw";;;;"1104157850501300225";https://twitter.com/finzine/status/1104157850501300225
;2019-03-08 23:10;0;0;"Crazy Friday! Holly molly. Hope you all made it ! $ AMZN $ BA $ TSLA $ BABA - http://Bullishmatt.com - One and Three months trials online";;;;"1104157462121328641";https://twitter.com/matew23/status/1104157462121328641
;2019-03-08 23:09;0;2;"$ AMZN And this is today>> So I believe this trendline is so important, and I can be wrong on Monday, but I think it holds pic.twitter.com/LU3VIobdUN";;;;"1104157340830445568";https://twitter.com/Banana3Stocks/status/1104157340830445568
;2019-03-08 23:08;0;1;"Thank you @ JavierHasse for including our news this week! Pot Stocks, ETFs, Top News And Data From The Cannabis Industry This Week $ ACB $ ACRZF $ AMZN https://benzinga.com/z/13329621#.XIL1vjDIIs8.twitter … #via @ benzinga";;@ @;# #via;"1104156939435487232";https://twitter.com/ProvenMedia/status/1104156939435487232
;2019-03-08 23:08;0;0;"Meng's Arrest Vs. The Rule Of Law $ QQQ $ AAPL $ AMZN https://goo.gl/244z65";;;;"1104156854475677696";https://twitter.com/bgamall/status/1104156854475677696
;2019-03-08 23:07;3;17;"Do we have a setup in $ AMZN? We did have one, but have to look to a hurdle as the next decision. # FibonacciQueen # Trading $ SPX $ ES $ NQ # FinancialMarketshttps://www.simplertrading.com/daily/fibonacci-free/amzn-03112019/ …";;;# # #;"1104156661135147009";https://twitter.com/Fibonacciqueen/status/1104156661135147009
;2019-03-08 23:06;0;1;"$ AMZN This is the same trendline since then and the break upwards> pic.twitter.com/cA32wiQznT";;;;"1104156492981301251";https://twitter.com/Banana3Stocks/status/1104156492981301251
;2019-03-08 23:05;0;1;"$ AMZN I have been saying for quite sometime that this trendline is I have posted its importance and why it’s those points for a while pic.twitter.com/ILx31RvzNV";;;;"1104156142228459520";https://twitter.com/Banana3Stocks/status/1104156142228459520
;2019-03-08 23:03;0;0;"# Allergan Needs a Real Leader That Will LEAD & Deliver STRONG Results Not some weak, insecure fraudster Loser! $ aapl $ amzn $ agn $ brk $ bhc $ crm $ cmg $ dis $ esrx $ f $ googl $ hlf $ iep $ ibm $ jnj $ ko $ prgo $ wba $ wmt $ tgt $ cost $ fb $ eols $ myl $ irwd $ shak $ ms $ gspic.twitter.com/NRr7sCFSSm";;;#;"1104155753441624067";https://twitter.com/brianfires/status/1104155753441624067
;2019-03-08 23:02;0;6;"$ AMZN $ NFLX How Amazon beat out Netflix and HBO to land ‘The Lord of the Rings’ prequelhttps://bgr.com/2019/03/08/lord-of-the-rings-amazon-vs-netflix-hbo/ …";;;;"1104155526202572800";https://twitter.com/bluff_capital/status/1104155526202572800
;2019-03-08 23:00;6;63;"Can't stop thinking about this - thx @ Act_tw0 . $ GOOGL separated into 1) Search, 2) GCP/GSuite, 3) Chrome/Android/Display Ads, 4) Youtube and 5) Waymo would be worth a lot. Same for $ AMZN and $ FB disaggregated. Makes one see regulatory "risk" in a different light!https://twitter.com/Act_tw0/status/1104141470003535872 …";;@;;"1104155053064179712";https://twitter.com/GavinSBaker/status/1104155053064179712
;2019-03-08 23:00;1;9;"We're proud to announce the winner of our giveaway! Congrats - Trader Saf @ safwat_b!! - You are our winner! Please DM us to claim your prize. Thank you everyone for participating. We will be doing another giveaway in the future! Have a great weekend! $ AMZN $ NFLX $ BA $ FB $ SPX $ SPYpic.twitter.com/Qqc2fdi9UV";;@;;"1104154965545611264";https://twitter.com/EliteOptions2/status/1104154965545611264
;2019-03-08 23:00;1;3;"Solid week's end over at # TRICKTRADES so many plays and setups that came through. Traders if you truly want to master the market then come to our trading community http://bit.ly/TrickTrades $ SPY $ QQQ $ AAPL $ BABA $ FB $ TSLA $ AMD $ NVDA $ AMZN $ NFLX $ SQ $ MU $ EA $ GOOGLhttps://twitter.com/trickmitch1/status/1103998573815816192 …";;;#;"1104154891394654208";https://twitter.com/luke_sosnowski/status/1104154891394654208
;2019-03-08 22:59;0;0;"Absolutely worth reading. $ FB $ GOOG $ AMZN https://medium.com/@teamwarren/heres-how-we-can-break-up-big-tech-9ad9e0da324c?_branch_match_id=632701061073984329 …";;@teamwarren;;"1104154634602594305";https://twitter.com/EarlyRetiree_SA/status/1104154634602594305
;2019-03-08 22:54;1;1;"$ AMZN - Backtester - Not Bearish" in Amazon - Credit Spreads http://tm.cmlviz.com/index.php?share_key=20190307175035_yq9jFuuJvKcOvvQr …";;;;"1104153541407592449";https://twitter.com/WallSt_HERMES/status/1104153541407592449
;2019-03-08 22:54;0;1;"Watchlist Review -- SPY bearish weekly close ----- https://www.youtube.com/watch?v=ENwakCWCQ7Q … ----- $ YANG $ TVIX $ COST $ OCX $ XPO $ HTZ $ AMZN $ KHC $ SPX $ VIX # technicalanalysis # investing";;;# #;"1104153522193412096";https://twitter.com/BlazeCapital/status/1104153522193412096
;2019-03-08 22:52;0;0;"$ MS $ AMZN Amazon Investment in Yankees Network Could Threaten SportsTV Bundling via http://www.hvper.com/?ref=ftw";;;;"1104152820197048323";https://twitter.com/finzine/status/1104152820197048323
;2019-03-08 22:48;0;0;"Bold # Allergan is a .. $ aapl $ amzn $ agn $ brk $ bhc $ crm $ cmg $ dis $ esrx $ f $ googl $ hlf $ iep $ ibm $ jnj $ ko $ prgo $ wba $ wmt $ tgt $ cost $ fb $ snap $ mcd $ cake $ shak $ ms $ gs $ wfc $ bac $ c $ jpm $ sbux $ cat $ ba $ fb $ f $ ge $ wynn $ tst $ pg $ cpb $ spy $ pep $ bhc $ tsla $ btc $ teva $ gm $ ibbpic.twitter.com/0kgdP5EYLQ";;;#;"1104152049980182529";https://twitter.com/brianfires/status/1104152049980182529
;2019-03-08 22:47;0;0;"# Allergan Never Rebutted Me or Replied! Saunders is a Weak Man Fraudster! My Facts Indisputable Though $ aapl $ amzn $ agn $ brk $ bhc $ crm $ cmg $ dis $ esrx $ f $ googl $ hlf $ iep $ ibm $ jnj $ ko $ prgo $ wba $ ms $ gs $ wfc $ bac $ c $ jpm $ sbux $ cat $ ba $ fb $ f $ ge $ wynn $ tst $ pep $ bhc $ tsla $ tevahttps://twitter.com/brianfires/status/1104035256036925440 …";;;#;"1104151657997389825";https://twitter.com/brianfires/status/1104151657997389825
;2019-03-08 22:47;0;0;"$ AMZN I'm thinking this head up to ~1633 before going lower. This all depends on the PPT of course & how much they manipulate, I mean, intervene. pic.twitter.com/zvRo6Bivkq";;;;"1104151622932848640";https://twitter.com/AAAIIIFY/status/1104151622932848640
;2019-03-08 22:45;1;6;"5% annual revenue fine would be $11.6B for $ AMZN $6.8B for $ GOOG $2.8B for $ FBpic.twitter.com/ie2xeTOJOJ";;;;"1104151245546315776";https://twitter.com/LSValue/status/1104151245546315776
;2019-03-08 22:44;2;2;"Feel the clown power snando the paper trader. $ AMZN next massive loss keep track of these the stock clown will lie lie lie. Now watch and learn he'll start to post stock clown stuff on his feed to bury his losers. Did he post the new motivational video yet??? pic.twitter.com/Vs80JgA3K2";;;;"1104150863642152960";https://twitter.com/BullorBearTrade/status/1104150863642152960
;2019-03-08 22:41;0;1;"The paper trader is building nothing with his account. $ AMZN at zero $ CAT needs a miracle. Good thing snando has paper account he's going to reset it this weekend! Back to a billion again IDIOT!! People I won again look my account still in the greenpic.twitter.com/on4eDghRkr";;;;"1104150128540045312";https://twitter.com/BullorBearTrade/status/1104150128540045312
;2019-03-08 22:38;0;0;"$ AMZN Can someone please tell me what this means pic.twitter.com/We3hUT5whA";;;;"1104149399834382337";https://twitter.com/Banana3Stocks/status/1104149399834382337
;2019-03-08 22:32;0;0;"$ AMZN Gov. Murphy Says New Jersey Open for Amazon Business (Podcast) via http://www.hvper.com/?ref=ftw";;;;"1104147788101832705";https://twitter.com/finzine/status/1104147788101832705
;2019-03-08 22:31;0;0;"Most Popular Stocks Netflix Inc. $ NFLX » 349.6 30.85% Tesla Inc $ TSLA » 284.14 7.552.73% http://Amazon.com Inc. $ AMZN » 1620.8 5.150.32% Top 500 http://wallstsolver.com/popular";;;;"1104147681776144384";https://twitter.com/wallstsolver/status/1104147681776144384
;2019-03-08 22:30;0;0;"$ AMZN weekly bearish engulfing too. $ NQ $ NDX $ ES_F $ SPX $ SPYpic.twitter.com/2F1KLkr93W";;;;"1104147526372995072";https://twitter.com/optionslion8/status/1104147526372995072
;2019-03-08 22:30;0;0;"ACTIVE TRADERS Try one of these FREE trading guides: http://ow.ly/PInk30nWlBA $ NFLX $ TSLA $ AAPL $ JWN $ GS $ FB $ AMZN $ GOOGL $ NVDA";;;;"1104147320755679233";https://twitter.com/ExactOptionPick/status/1104147320755679233
;2019-03-08 22:26;1;4;"$ SPX $ VIX $ UVXY $ SPY $ QQQ $ TWTR $ CRON $ TLT $ AMZN $ TNX $ XLK $ TVIX $ XLF $ VXXB $ ES_F $ AAPL $ FB $ NFLX # volatilityhttps://www.finomgroup.com/state-of-the-markets-3-7-19/ …";;;#;"1104146431638675457";https://twitter.com/SethCL/status/1104146431638675457
;2019-03-08 22:25;0;1;"$ AMZN struggling still. MACD curving downwards, might break next week. $ NQ $ NDX $ ES_F $ SPX $ SPYpic.twitter.com/CqJQCxTZNH";;;;"1104146227170607105";https://twitter.com/optionslion8/status/1104146227170607105
;2019-03-08 22:25;0;0;"With past performance like this, how can you not sign up for a Free 7-day trial to http://ow.ly/BTKx30nWlEq ? Winning Option Swing Trades Since 2006 $ AMZN $ AAPL $ WMT $ NFLX";;;;"1104146051353755649";https://twitter.com/OptionAlarm/status/1104146051353755649
;2019-03-08 22:24;0;0;"99! $ aapl $ amzn $ agn $ brk $ bhc $ crm $ cmg $ dis $ esrx $ f $ googl $ hlf $ iep $ ibm $ jnj $ ko $ prgo $ wba $ wmt $ tgt $ cost $ fb $ snap $ mcd $ cake $ shak $ ms $ gs $ wfc $ bac $ c $ jpm $ sbux $ cat $ ba $ fb $ f $ ge $ wynn $ tst $ pg $ cpb $ spy $ pep $ bhc $ tsla $ btc $ teva $ gm $ ibbhttps://twitter.com/zerohedge/status/1104143735951101953 …";;;;"1104145826950074370";https://twitter.com/brianfires/status/1104145826950074370
;2019-03-08 22:24;0;0;"Amazon | $ AMZN scalp - bullish crab Long or short Amazon on WCX: http://wcex.com/trade/AMZN pic.twitter.com/KtSAYejXAt";;;;"1104145774118666240";https://twitter.com/IdeasPrime/status/1104145774118666240
