username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-03-08 23:34;0;0;"Philip Morris International upgraded by UBS Group AG to buy. $101.00 PT. http://www.marketbeat.com/r/1170816 $ PM # PM via @ RatingsNetwork";;@;#;"1104163399359819776";https://twitter.com/AutonomousCNS/status/1104163399359819776
;2019-03-08 22:07;0;0;"These high-yielding stocks are beating the market this year https://cnb.cx/2EJiq2p $ WDC $ XOM $ COTY $ PM $ GM";;;;"1104141595312640000";https://twitter.com/JorelLaraKalel/status/1104141595312640000
;2019-03-08 21:51;0;0;"Philip Morris International Inc. $ PM Receives Average Rating of “Hold” from Analysts http://macondaily.com/?p=1592625";;;;"1104137499146964993";https://twitter.com/macondailynews/status/1104137499146964993
;2019-03-08 21:49;0;0;"Philip Morris International Inc. $ PM Given Consensus Rating of “Hold” by Brokerages http://dakotafinancialnews.com/?p=889042";;;;"1104137180883111937";https://twitter.com/dakotafinancial/status/1104137180883111937
;2019-03-08 21:36;0;0;"As Simon Ppty Group New Com $ SPG Stock Price Declined, Eii Capital Management Cut Holding by $1.01 Million; Public Employees Retirement System Of Ohio Lifted Its Philip Morris Internati $ PM Stake by $475,794 https://yomiblog.com/2019/03/08/as-simon-ppty-group-new-com-spg-stock-price-declined-eii-capital-management-cut-holding-by-1-01-million-public-employees-retirement-system-of-ohio-lifted-its-philip-morris-internati-pm-stake-by/ …";;;;"1104133771824119811";https://twitter.com/BlogYomi/status/1104133771824119811
;2019-03-08 21:19;0;0;"Santa Barbara Asset Management Cut Philip Morris Intl $ PM Stake by $716,430; As Mccormick & Co $ MKC Share Value Declined, Holder Pineno Levin & Ford Asset Management Has Cut Its Holding https://yomiblog.com/2019/03/08/santa-barbara-asset-management-cut-philip-morris-intl-pm-stake-by-716430-as-mccormick-co-mkc-share-value-declined-holder-pineno-levin-ford-asset-management-has-cut-its-holding/ …";;;;"1104129434196606977";https://twitter.com/BlogYomi/status/1104129434196606977
;2019-03-08 21:13;0;0;"The S&P500 is trading in a laid back manner today, to be at 2743.0 (-0.22%).. Major movers $ PM +0.56% and $ XOM -1.41%. I told my hiring manager to embrace his mistakes and he gave me a hug # imappreciated # stocks";;;# #;"1104128006551818240";https://twitter.com/market_comments/status/1104128006551818240
;2019-03-08 21:03;3;1;"Co’s that have issued # guidance in the last 30 days http://bit.ly/28Lp6Al $ NAV $ BIG $ GSHD $ KFY $ EB $ CHUY $ OKTA $ INSG $ ANTM $ CMTL $ ABM $ YEXT $ GWRE $ REVG $ NIO $ CDLX $ OOMA $ MCHP $ COO $ NX $ HUYA $ CTRP $ STRL $ CRM $ PM...";;;#;"1104125386647056385";https://twitter.com/Briefingcom/status/1104125386647056385
;2019-03-08 20:40;0;0;"As Abercrombi & Fitch Co $ ANF Valuation Rose, Northcoast Asset Management Lowered by $485,540 Its Position; Philip Morris Intl $ PM Shareholder American Research & Management Decreased Position https://yomiblog.com/2019/03/08/as-abercrombi-philip-morris-intl-pm-shareholder-american-research-management-decreased-position/ …";;;;"1104119606141169666";https://twitter.com/BlogYomi/status/1104119606141169666
;2019-03-08 20:38;0;0;"Baldwin Brothers Has Lifted Stake in Verizon Communicatio $ VZ by $3.72 Million; Philip Morris Intl $ PM Holder Cambiar Investors Trimmed Its Position by $193.50 Million https://finheadlines.com/2019/03/08/baldwin-brothers-has-lifted-stake-in-verizon-communicatio-vz-by-3-72-million-philip-morris-intl-pm-holder-cambiar-investors-trimmed-its-position-by-193-50-million/ …";;;;"1104119192368934913";https://twitter.com/HeadlinesFin/status/1104119192368934913
