username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-03-08 23:46;0;0;"Hi @ brentlsaunders, Will you agree to a drug test & a mental competence exam? $ amzn $ agn $ brk $ bhc $ crm $ dis $ esrx $ unh $ jnj $ endp $ mnk $ myl $ mrk $ eols $ rvnc $ ko $ pep $ tst $ iep $ ibm $ lly $ pfe $ amgn $ hlf $ iep $ wfc $ ms $ gs $ jpm $ bac $ c $ prgo $ tsla $ googl $ fred $ azn $ gsk $ rad $ endp";;@;;"1104166560577523713";https://twitter.com/brianfires/status/1104166560577523713
;2019-03-08 23:41;0;0;"This Is Not a Game or Fake News! This is FOR REAL! $ amzn $ agn $ brk $ bhc $ crm $ dis $ esrx $ unh $ jnj $ endp $ mnk $ myl $ mrk $ eols $ rvnc $ ko $ pep $ tst $ iep $ ibm $ lly $ pfe $ amgn $ hlf $ iep $ wfc $ ms $ gs $ jpm $ bac $ c $ prgo $ tsla $ googl $ fred $ azn $ gsk $ rad $ endphttps://twitter.com/brianfires/status/1104163993831251968 …";;;;"1104165288805875722";https://twitter.com/brianfires/status/1104165288805875722
;2019-03-08 22:56;0;1;"$ BMY $ AGN $ JNJ $ TSM $ CVX $ XOM $ LLY $ UNH $ C $ HD $ MRK $ JPM $ GS $ VZ $ MMM $ BJ $ MA $ DAL $ ADS $ CRM $ BRK $ PG Largest MOC SELLSpic.twitter.com/1TQee4alNF";;;;"1104153963232821248";https://twitter.com/TeresaTrades/status/1104153963232821248
;2019-03-08 22:33;1;0;"# FastMoneyEspresso FINAL TRADES: Tim Seymour —> buy $ UNH Carter Worth —> buy $ XLU Steve Grasso —> buy $ GE Dan Nathan —> sell $ XLE";;;#;"1104148062799306753";https://twitter.com/Flower_Power_67/status/1104148062799306753
;2019-03-08 22:07;0;0;"$ UNH Max Pain=250.00. Maturity=03/15/2019. # maxpain # options http://maximum-pain.com/options/max-pain/UNH …pic.twitter.com/7sQbnuND4S";;;# #;"1104141690389086210";https://twitter.com/optioncharts/status/1104141690389086210
;2019-03-08 21:46;0;0;"Trust Department Mb Financial Bank N A Decreased Its Unitedhealth Group $ UNH Stake by $335,154; Market Value Declined; Stryker $ SYK Valuation Rose While Plante Moran Financial Advisors Has Upped Holding by $1.38 Millionhttps://finreviewer.com/2019/03/08/trust-department-mb-financial-bank-n-a-decreased-its-unitedhealth-group-unh-stake-by-335154-market-value-declined-stryker-syk-valuation-rose-while-plante-moran-financial-advisors-has-upped-hol/ …";;;;"1104136418551578629";https://twitter.com/thefinreviewer/status/1104136418551578629
;2019-03-08 21:42;0;0;"FILINGS HAVE BEGUN. Current then huge RM $ msft $ amzn $ fb $ goog $ jnj $ jpm $ googol $ abc $ wfc $ wmt $ cvx $ hd $ pg $ unh $ pfe $ qcom $ adbe $ v $ cmcsa $ nflx $ chtr $ cost # StockMarket # earnings # investing # NYSE # WallStreet # NASDAQ # stockshttps://twitter.com/strategiclease/status/1104126990242770950 …";;;# # # # # # #;"1104135224114335745";https://twitter.com/OneOClockDrop/status/1104135224114335745
;2019-03-08 21:36;0;0;"Moors & Cabot Stake in Eastman Chem Co $ EMN Has Lifted by $622,325; Norinchukin Bank The Has Cut Its Unitedhealth Group $ UNH Position by $3.89 Million as Stock Value Declined https://yomiblog.com/2019/03/08/moors-norinchukin-bank-the-has-cut-its-unitedhealth-group-unh-position-by-3-89-million-as-stock-value-declined/ …";;;;"1104133854758096899";https://twitter.com/BlogYomi/status/1104133854758096899
;2019-03-08 21:30;0;1;"Largest $Notional Sell On Close Order Imbalances $ BMY $ AGN $ JNJ $ TSM $ CVX $ XOM $ LLY $ UNH $ C $ HD https://marketchameleon.com/Reports/StockOrderImbalanceReport/ …";;;;"1104132353780318208";https://twitter.com/MarketChmln/status/1104132353780318208
;2019-03-08 21:26;0;0;"As Unitedhealth Group Com $ UNH Shares Declined, Patriot Wealth Management Cut Its Holding by $313,242; Bath Savings Trust Co Has Decreased Its Hershey Company $ HSY Holding by $654,840https://finheadlines.com/2019/03/08/as-unitedhealth-group-com-unh-shares-declined-patriot-wealth-management-cut-its-holding-by-313242-bath-savings-trust-co-has-decreased-its-hershey-company-hsy-holding-by-654840/ …";;;;"1104131238632271873";https://twitter.com/HeadlinesFin/status/1104131238632271873
