username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-03-13 23:30;0;0;"$ GOOG $ GOOGL Alphabet Shares Are Alerting Unusual Buy Activity https://ift.tt/2VVW58L";;;;"1105974558740365317";https://twitter.com/themarketisopen/status/1105974558740365317
;2019-03-13 23:10;2;6;"𝗧𝗿𝗮𝗻𝘀𝗹𝗮𝘁𝗶𝗼𝗻: Maybe the Swiss National Bank ( # SNB) is done buying the shit out of $ AAPL and other # tech # stocks ... $ QQQ $ XLK $ AMZN $ FB $ MSFT $ NFLX $ GOOG $ TECS $ TECL # CentralBanks # Economy # Tradinghttps://twitter.com/mysterytrader99/status/1105960521428283393 …";;;# # # # # #;"1105969358944124929";https://twitter.com/KobesyTrades/status/1105969358944124929
;2019-03-13 23:03;0;0;"$ GOOG: New Insider Filing on Director JOHN L HENNESSY: http://insideri.com/1652044_000120919119019226_0001209191-19-019226 …";;;;"1105967546220662794";https://twitter.com/InsiderAlertsIA/status/1105967546220662794
;2019-03-13 22:54;0;0;"$ GOOG new insider selling: 375 shares. http://insiderbuyingselling.com/?t=GOOG";;;;"1105965266528276486";https://twitter.com/insiderbuyings/status/1105965266528276486
;2019-03-13 22:44;0;0;"I don’t know about y’all but these robinhoodApp spam alots are getting pretty annoying....go the $ Fang away...$FB $ AAPL $ AMZN $ NFLX $ GOOG";;;;"1105962767566229505";https://twitter.com/DfwRaceFan/status/1105962767566229505
;2019-03-13 22:27;0;3;"Market rally will continue with stocks like $ CMG making new highs and lots of momentum in big names like $ AMZN & $ GOOG";;;;"1105958631382630401";https://twitter.com/option_wolf/status/1105958631382630401
;2019-03-13 22:14;1;2;"Anything helps,dear friend in need! https://www.facebook.com/donate/617692032004312/?fundraiser_source=external_url … $ GRDO $ RDGL $ IBGR $ AMZN $ TSLA $ WMT $ TGT $ NVDA $ SPY $ GLD $ EBAY $ AAPL $ FB $ TWTR $ GS $ S $ GOOG $ DIS $ IBM $ MSFT $ BIDU $ VZ $ ADBE $ AMAT $ ADSK $ AVGO $ BABA $ CDNS $ CAVM $ CERN $ CHKP $ CSCO $ CTXS # FOREX $ CTSH $ CSC $ DVMT # donatepic.twitter.com/RtvZWROoNP";;;# #;"1105955388632023045";https://twitter.com/PennyLoft/status/1105955388632023045
;2019-03-13 22:06;3;1;"# Verily ’s # India project reveals the work of applying # AI to # clinicalcare https://www.fiercehealthcare.com/hospitals-health-systems/verily-s-india-project-reveals-work-applying-ai-to-real-world-clinical … # tech $ goog # alphabet # MachineLearning # ArtificialIntelligence # technology # eyedisease # diabetic # science # diabeticRetinopathy # scientists # healthcare # lifescience # ophthalmologypic.twitter.com/WcERnslVYy";;;# # # # # # # # # # # # # # # # #;"1105953324694528000";https://twitter.com/drwendellcraig_/status/1105953324694528000
;2019-03-13 22:05;0;0;"Possible solution for Twitter and others here. Embracing letting users customize their own levels of 'toxicity" RT Tune by Google: AI-powered Chrome extension that hides toxic comments https://www.producthunt.com/posts/tune-by-google … $ TWTR $ GOOG";;;;"1105953162341634049";https://twitter.com/CurationMostly/status/1105953162341634049
;2019-03-13 21:57;0;0;"How Much Alphabet Could Net From Uber and Lyft IPOs $ GOOG $ UBER $ LYFThttps://www.thestreet.com/markets/ipos/how-much-alphabet-could-net-from-uber-and-lyft-ipos-14895691 …";;;;"1105951045900034053";https://twitter.com/TopStockAlerts1/status/1105951045900034053
;2019-03-13 21:42;0;0;"More detail behind our efforts to reward you for being you ... and compensating you for the value of you. Stop giving $ fb and $ goog your personal # data for free. $ phun $ phunw # mobile # MaaS @ CNBC @ CNBCFastMoney @ phuncoin @ phunwarehttps://twitter.com/phuncoin/status/1105885563163418626 …";;@ @ @ @;# # #;"1105947184242020352";https://twitter.com/alanknit/status/1105947184242020352
;2019-03-13 21:27;1;0;"YouTube Finally Shuts Down Soft-Core Channel Months After Creator Arrested For Pedophilia # PedoWood $ GOOG These people are sick. -Q # WakeUpAmericahttps://www.zerohedge.com/news/2019-03-13/youtube-finally-shuts-down-soft-core-pedo-channel-months-after-creator-arrested?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+zerohedge%2Ffeed+%28zero+hedge+-+on+a+long+enough+timeline%2C+the+survival+rate+for+everyone+drops+to+zero%29 …";;;# #;"1105943511407325184";https://twitter.com/ReapTheWin/status/1105943511407325184
;2019-03-13 21:17;0;1;"$ AAPL Support and Resistance (Pivots) for Thu 3/14/19: $ FB $ AMZN $ AAPL $ GOOG $ TSLA $ C $ BAC $ CELG $ IBB $ MSFT $ NFLX $ NVDA $ JNJ # stocks # pivots # markets # daytrading # watchlistpic.twitter.com/OuuHDiTtA8";;;# # # # #;"1105940976869273600";https://twitter.com/SpiderMan_3s/status/1105940976869273600
;2019-03-13 21:10;0;0;"Counting Wednesday, it's been 3 climbing sessions in a row for $ GOOG, soaring $51.00 or 4.46%. https://stocks2.com/GOOG";;;;"1105939295796371456";https://twitter.com/stocks2_com/status/1105939295796371456
;2019-03-13 21:08;1;1;"Anything helps,dear friend in need! http://facebook.com/donate/6176920 … $ GRDO $ RDGL $ IBGR $ AMZN $ TSLA $ WMT $ TGT $ NVDA $ SPY $ GLD $ EBAY $ AAPL $ FB $ TWTR $ GS $ S $ GOOG $ DIS $ IBM $ MSFT $ BIDU $ VZ $ ADBE $ AMAT $ ADSK $ AVGO $ BABA $ CDNS $ CAVM $ CERN $ CHKP $ CSCO $ CTXS # FOREX $ CTSH $ CSC $ DVMT # donate";;;# #;"1105938833483489283";https://twitter.com/PennyLoft/status/1105938833483489283
;2019-03-13 21:03;0;0;"Hoy # Alphabet IncGoogle Class C $ GOOG cerró a $1199.182.";;;#;"1105937396506521601";https://twitter.com/nerdcriollo/status/1105937396506521601
;2019-03-13 21:01;0;0;"https://boardtownblast.com/googles-nest-fiasco-harms-user-trust-and-invades-their-privacy/ … $ GOOG # Nest # IoT # privacy # breach # trustworthycomputing # Security # INFOSEC # PERSEC # DATASEC";;;# # # # # # # # #;"1105937054846935040";https://twitter.com/boardtownblast/status/1105937054846935040
;2019-03-13 20:52;0;0;"https://boardtownblast.com/north-korea-advertises-military-hardware-on-twitter-youtube-defying-sanctions/ … # NorthKorea # gov # Glocom # socialmedia $ GOOG $ FB $ TWTR # mil # Security # INFOSEC # DefenseIndustrial Base # GovernmentFacilities";;;# # # # # # # # #;"1105934777755095046";https://twitter.com/boardtownblast/status/1105934777755095046
;2019-03-13 20:50;0;0;"Do you believe in coincidences? # PPT # Fed $ BA $ DJIA source: $ GOOG pic.twitter.com/wpBAU1I2zs";;;# #;"1105934117512704000";https://twitter.com/BradHuston/status/1105934117512704000
;2019-03-13 20:38;0;0;"$ GOOG $ GOOGL $ FIT: Google Reportedly Pulling Back on Laptop and Tablet Hardware: https://www.StockNewsWires.com/goog-googl-fit-google-reportedly-pulling-back-on-laptop-and-tablet-hardware/ …";;;;"1105931064109920258";https://twitter.com/NewsToDesk/status/1105931064109920258
;2019-03-13 20:38;0;0;"$ GM $ GOOG $ GOOGL: GM Doubles Down on Self-Driving With a Planned Hiring Spree: https://www.StockNewsWires.com/gm-goog-googl-gm-doubles-down-on-self-driving-with-a-planned-hiring-spree/ …";;;;"1105931052797833218";https://twitter.com/NewsToDesk/status/1105931052797833218
;2019-03-13 20:24;0;0;"https://boardtownblast.com/simbad-adware-found-in-210-android-apps-with-over-150m-installs/ … # Simbad # adware # Android # adtech $ GOOG # Security # INFOSEC # APPSEC";;;# # # # # # #;"1105927541808865280";https://twitter.com/boardtownblast/status/1105927541808865280
;2019-03-13 20:19;0;1;"$ GOOG $ GOOGL $ VIA - AT&T confirms DirecTV Now changes; Viacom, Discovery, AMC tumblehttps://seekingalpha.com/news/3442348-t-confirms-directv-now-changes-viacom-discovery-amc-tumble?source=tweet …";;;;"1105926472781438980";https://twitter.com/jjjinvesting/status/1105926472781438980
;2019-03-13 20:18;0;0;"https://boardtownblast.com/simbad-android-adware-was-downloaded-nearly-150-million-times/ … # EnGadget $ GOOG # Android # Security # INFOSEC # COMSEC # PERSEC # OPSEC # DEVSEC # NETSEC # DATASEC # CommercialFacilities # InformationTechnology # Cybersecurity # APPSEC";;;# # # # # # # # # # # # # #;"1105926086809079812";https://twitter.com/boardtownblast/status/1105926086809079812
;2019-03-13 20:06;0;1;"Today's million dollar CALL # options trade: $ AAPL $ AMZN $ BABA $ BA $ ET $ FB $ MOMO $ SHOP $ ACB $ CMG $ CVS $ MA $ QCOM $ BAC $ GOOG $ NVDA $ ROKU $ XOM $ BIDU $ MELI ...https://appsto.re/i6hH3LG";;;#;"1105922991316258816";https://twitter.com/MinteractApp/status/1105922991316258816
;2019-03-13 20:05;0;0;"Top # moneyflow for # sp500 today $ LLY $ BA $ BAC $ GOOG $ AAPL $ C $ ABT $ AMD $ COP $ CNP ...https://appsto.re/i6hH3LG";;;# #;"1105922749816557568";https://twitter.com/MITickWatcher/status/1105922749816557568
;2019-03-13 20:05;1;0;"Top # moneyflow for # nasdaq today $ SBUX $ GOOG $ AAPL $ CELG $ CTRP $ TEVA $ XLNX $ QCOM $ MCHP $ GILD ... https://appsto.re/i6hH3LG";;;# #;"1105922745311870977";https://twitter.com/MITickWatcher/status/1105922745311870977
;2019-03-13 20:05;0;0;"Top # moneyflow for whole # market today $ LLY $ BA $ SBUX $ BAC $ GOOG $ IWF $ VICI $ RY $ BIL $ BMO ... https://appsto.re/i6hH3LG";;;# #;"1105922731365879810";https://twitter.com/MITickWatcher/status/1105922731365879810
;2019-03-13 20:04;0;0;"# estate asset watch - top money flow today ( share price x shares traded ) $ BA $ AMZN $ LLY $ AAPL $ NVDA $ ROKU $ MSFT $ NFLX $ TSLA $ FOXA $ DIS $ FB $ MELI $ GOOG $ PDD $ BAC $ BABA $ AMD $ ACB $ GOOGL $ CVS $ JPM $ V $ INTC $ BKNG $ UNH $ WFC $ CSCO $ SBUX $ ORCL $ MU $ PYPL $ PG $ CRM $ ADBE $ AVGO $ T $ OAKpic.twitter.com/e6yWk8K4aR";;;#;"1105922555456749568";https://twitter.com/TheBurdetteLawF/status/1105922555456749568
;2019-03-13 20:01;0;0;"Top # money flow today. Free stocks app http://www.mobileinteractive.com/superstocks $ LLY, $ QQQ, $ BA, $ AMZN, $ SBUX, $ NFLX, $ BAC, $ MELI, $ GOOG, $ FB, $ IWF, $ IVV, $ VICI, $ PDD, $ RY, $ XLK, $ BIL, $ XLU, $ BMO, $ SPYpic.twitter.com/2lP35Lqmse";;;#;"1105921797336248320";https://twitter.com/TickwatcherMF/status/1105921797336248320
;2019-03-13 19:56;0;0;"Wish u were in $ AAPL $ BA $ USO $ CVS $ AMD $ T $ SPY $ GOOG Plays so do we link in bio always free the way to be. Family Strong";;;;"1105920626521456640";https://twitter.com/stock_family/status/1105920626521456640
;2019-03-13 19:51;0;1;"$ KOPN reminds me of $ RFMD $ SWKS $ QRVO back in 2000s # shortsqueeze 5.25 target on $ goog win";;;#;"1105919229893771264";https://twitter.com/Plantandwatch/status/1105919229893771264
;2019-03-13 19:40;0;0;"https://boardtownblast.com/googles-gmail-and-drive-suffer-global-outages/ … $ GOOG # downtime # outage # US # UK # Asia # Europe # Australia # Security # INFOSEC # InformationTechnology";;;# # # # # # # # # #;"1105916602409799681";https://twitter.com/boardtownblast/status/1105916602409799681
;2019-03-13 19:36;1;3;"WE are effectively SHORT $ GOOG,,,,,,,,,,,,using options, defined risk...";;;;"1105915650160160768";https://twitter.com/BaggerDon/status/1105915650160160768
;2019-03-13 19:36;0;0;"https://boardtownblast.com/google-service-downtime-check-google-service-status-portal/ … # thethreatreport $ GOOG # uptime # idle # Security # INFOSEC";;;# # # # #;"1105915594522673153";https://twitter.com/boardtownblast/status/1105915594522673153
;2019-03-13 19:34;1;2;"I don't think 15 billion is much a t all when you have $ MSFT $ GOOG $ AAPL all breathing down your neck with 850 BILLION USD market caps";;;;"1105914996322639872";https://twitter.com/real_MikeBarnes/status/1105914996322639872
;2019-03-13 19:28;0;0;"https://boardtownblast.com/quitting-the-five-tech-giants-could-you-say-goodbye-to-google/ … Why yes, I have been doing fine. $ GOOG # Security # INFOSEC";;;# #;"1105913489418272768";https://twitter.com/boardtownblast/status/1105913489418272768
;2019-03-13 19:26;0;0;"https://boardtownblast.com/almost-150-million-users-impacted-by-new-simbad-android-adware/ … # ZDNet $ GOOG # Android # SimBad # adware # Malware # adtech # APPSEC";;;# # # # # # #;"1105912991558656000";https://twitter.com/boardtownblast/status/1105912991558656000
;2019-03-13 19:20;1;2;"$ KOPN and $ GOOG to launch new Google glass next week thats the story on street and with about 8Million shares short well if true longs will be very happy";;;;"1105911646088843269";https://twitter.com/DAMSConsulting/status/1105911646088843269
;2019-03-13 19:18;0;0;"$ TSLA $ GM $ F $ GOOGL $ GOOG $ SFTBY: How Much Alphabet Could Net From Uber and Lyft IPOs: https://www.StockNewsWires.com/tsla-gm-f-googl-goog-sftby-how-much-alphabet-could-net-from-uber-and-lyft-ipos/ …";;;;"1105910919677308928";https://twitter.com/newswithvalue/status/1105910919677308928
;2019-03-13 19:01;0;0;"Top # money flow today. Free stocks app http://www.mobileinteractive.com/superstocks $ LLY, $ QQQ, $ BA, $ AMZN, $ BAC, $ SPY, $ SBUX, $ FB, $ IWF, $ MELI, $ GOOG, $ PDD, $ VICI, $ NFLX, $ RY, $ XLU, $ BIL, $ XLK, $ SHV, $ XLPpic.twitter.com/dpSIwrGHAy";;;#;"1105906687507132418";https://twitter.com/TickwatcherMF/status/1105906687507132418
