username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-03-13 23:48;0;0;"$ XOM Exxon considers exploring in Israel in major Middle East shift - Reuters https://seekingalpha.com/news/3442562?source=ansh … $ XOM";;;;"1105978896007217155";https://twitter.com/EXstrategy/status/1105978896007217155
;2019-03-13 23:41;0;0;"The plan calls for doubling earnings in Exxon's chemicals and refining segments and tripling profit in its business producing oil and gas by 2025 $ XOM https://www.google.com/amp/s/www.cnbc.com/amp/2019/03/07/the-road-to-exxons-buybacks-is-paved-with-billions-in-asset-sales.html …";;;;"1105977097476935680";https://twitter.com/SeanSailorx/status/1105977097476935680
;2019-03-13 23:31;0;0;"$ XOM Exclusive: Exxon eyes Israel gas bid in major Middle East shift https://ift.tt/2u6Rnck";;;;"1105974580513001472";https://twitter.com/themarketisopen/status/1105974580513001472
;2019-03-13 23:20;0;1;"$ XOM - Exxon considers exploring in Israel in major Middle East shift - Reuters https://seekingalpha.com/news/3442562-exxon-considers-exploring-israel-major-middle-east-shift-reuters?source=tweet …";;;;"1105971914948911110";https://twitter.com/BWUIC/status/1105971914948911110
;2019-03-13 22:05;0;0;"Second tier of volume leaders on Wednesday - $ ZNGA $ JD $ CTL $ SWN $ BBD $ HPE $ OAK $ LUV $ COTY $ XOM $ SBUX $ C $ MO $ KEY $ HAL $ NLY $ EBAY $ AAL $ INFY $ FCX $ HBAN $ BMY $ TEVA $ SID $ TWTR $ PG $ CLF $ MS $ MRO $ AUY $ M $ PLUG $ FB $ SLB $ DAL $ NBR $ ZTO $ KHC $ SAN $ AU $ FDC $ DWDP $ BP $ MYL $ CRON $ KR $ MRK";;;;"1105952954543153152";https://twitter.com/TheBurdetteLawF/status/1105952954543153152
;2019-03-13 21:58;0;0;"$ XOM: Exxon considers exploring in Israel in major Middle East shift – Reuters: https://www.StockNewsWires.com/xom-exxon-considers-exploring-in-israel-in-major-middle-east-shift-reuters/ …";;;;"1105951198199382017";https://twitter.com/StockNewsWires/status/1105951198199382017
;2019-03-13 21:55;0;0;"Fdx Advisors Has Increased Its Exxon Mobil Com $ XOM Position; Ametek $ AME Shorts Increased By 12.45% https://finexaminer.com/2019/03/13/fdx-advisors-has-increased-its-exxon-mobil-com-xom-position-ametek-ame-shorts-increased-by-12-45/ …";;;;"1105950554851889152";https://twitter.com/thefinreviewer/status/1105950554851889152
;2019-03-13 21:52;0;0;"As Americanmidstreampartners $ AMID Stock Price Declined, Arclight Capital Partners Has Upped Its Position; Exxon Mobil $ XOM Holder Essex Financial Services Has Decreased Its Stake https://finheadlines.com/2019/03/13/as-americanmidstreampartners-amid-stock-price-declined-arclight-capital-partners-has-upped-its-position-exxon-mobil-xom-holder-essex-financial-services-has-decreased-its-stake/ …";;;;"1105949745594417153";https://twitter.com/HeadlinesFin/status/1105949745594417153
;2019-03-13 21:46;0;0;"Coldstream Capital Management Increased Stake in Exxon Mobil $ XOM by $806,820 as Stock Price Rose; Argent Capital Management Has Lifted Stake in Cisco Systems $ CSCO as Stock Rosehttps://hinewulm.com/2019/03/13/coldstream-capital-management-increased-stake-in-exxon-mobil-xom-by-806820-as-stock-price-rose-argent-capital-management-has-lifted-stake-in-cisco-systems-csco-as-stock-rose/ …";;;;"1105948214811914242";https://twitter.com/UlmHi/status/1105948214811914242
;2019-03-13 21:44;0;1;"Vijay Swarup, VP of R&D at Exxon, said there is a lot of talk about EVs but need to remember that airplanes are going to be based on liquid fuels for a long time. "Hard to imagine electric airplanes." # CERAWeek $ XOM";;;#;"1105947755749564417";https://twitter.com/IBD_GRich/status/1105947755749564417
;2019-03-13 21:44;0;0;"$ XOM - Exxon considers exploring in Israel in major Middle East shift - Reuters https://seekingalpha.com/news/3442562-exxon-considers-exploring-israel-major-middle-east-shift-reuters?source=feed_f …";;;;"1105947709779787776";https://twitter.com/MarketCurrents/status/1105947709779787776
;2019-03-13 21:38;0;0;"$ CVX $ XOM: Pulling The Plug On Shale: https://www.StockNewsWires.com/cvx-xom-pulling-the-plug-on-shale/ …";;;;"1105946146407616514";https://twitter.com/newswelldone/status/1105946146407616514
;2019-03-13 21:30;4;3;"REPORT: Exxon weighs exploring for oil and gas in Israel $ XOM https://bit.ly/2W39snT";;;;"1105944120860778502";https://twitter.com/theflynews/status/1105944120860778502
;2019-03-13 21:18;0;2;"$ SPY Support and Resistance (Pivots) for Thu 3/14/19: $ BABA $ JD $ JPM $ XOM $ MCD $ QCOM $ MU $ SBUX $ TWTR $ SPY $ QQQ $ IWM $ BA # stocks # pivots # markets # daytrading # watchlistpic.twitter.com/922i1Bal5Y";;;# # # # #;"1105941300728209408";https://twitter.com/SpiderMan_3s/status/1105941300728209408
;2019-03-13 21:11;0;0;"Cvs Health $ CVS Position Has Increased by Reilly Financial Advisors Llc; Kahn Brothers Group Holds Holding in Exxon Mobile $ XOM https://hinewulm.com/2019/03/13/cvs-health-cvs-position-has-increased-by-reilly-financial-advisors-llc-kahn-brothers-group-holds-holding-in-exxon-mobile-xom/ …";;;;"1105939419083624448";https://twitter.com/UlmHi/status/1105939419083624448
;2019-03-13 21:06;0;0;"# Options # maxpain chart for $ XOM. Free options app http://www.mobileinteractive.com/superstocks pic.twitter.com/PKm6U274Zb";;;# #;"1105938260906397696";https://twitter.com/OptionsMaxPain/status/1105938260906397696
;2019-03-13 21:03;0;0;"Destination Wealth Management Has Decreased Exxon Mobil $ XOM Stake By $572,424; Blue Hills Bancorp $ BHBK's Sentiment Is 0.95 https://endigest.com/2019/03/13/destination-wealth-management-has-decreased-exxon-mobil-xom-stake-by-572424-blue-hills-bancorp-bhbks-sentiment-is-0-95/ …";;;;"1105937516249649153";https://twitter.com/bulletin_en/status/1105937516249649153
;2019-03-13 21:02;0;0;"$ XOM Ex-Trump Campaign Aide Leaves State Department to Be Consultant via http://www.hvper.com/?ref=ftw";;;;"1105937075109588999";https://twitter.com/finzine/status/1105937075109588999
;2019-03-13 20:59;0;0;"Wealth Enhancement Advisory Services Increases Stake in Exxon Mobil $ XOM; As Corning Com $ GLW Stock Price Rose, Cedar Hill Associates Cut by $2.15 Million Its Position https://hinewulm.com/2019/03/13/wealth-enhancement-advisory-services-increases-stake-in-exxon-mobil-xom-as-corning-com-glw-stock-price-rose-cedar-hill-associates-cut-by-2-15-million-its-position/ …";;;;"1105936422148681728";https://twitter.com/UlmHi/status/1105936422148681728
;2019-03-13 20:49;0;0;"$ XOM # Options OI chart. Free stocks app http://www.mobileinteractive.com/superstocks pic.twitter.com/e2G7PFuIj7";;;#;"1105933965343494147";https://twitter.com/OptionsProOI/status/1105933965343494147
;2019-03-13 20:45;0;0;"Cambridge Trust Company Has Decreased Exxon Mobil $ XOM Holding By $1.24 Million; ANHUI CONCH CEMENT SHARES -H-ORDINARY SH $ AHCHF Shorts Decreased By 40.93%https://hinewulm.com/2019/03/13/cambridge-trust-company-has-decreased-exxon-mobil-xom-holding-by-1-24-million-anhui-conch-cement-shares-h-ordinary-sh-ahchf-shorts-decreased-by-40-93/ …";;;;"1105932829546950657";https://twitter.com/UlmHi/status/1105932829546950657
;2019-03-13 20:25;0;0;"Wellington Shields & Company Stake in Exxon Mobil $ XOM Raised by $483,208 as Shares Rose; Tjx Cos New $ TJX Shareholder Longview Partners Guernsey LTD Has Raised Its Position by $85.80 Millionhttps://hinewulm.com/2019/03/13/wellington-shields-tjx-cos-new-tjx-shareholder-longview-partners-guernsey-ltd-has-raised-its-position-by-85-80-million/ …";;;;"1105927974250004485";https://twitter.com/UlmHi/status/1105927974250004485
;2019-03-13 20:11;0;0;"Timber Hill Upped Holding in Exxon Mobil $ XOM by $319,940 as Share Value Rose; Commerzbank Aktiengesellschaft Boosted Holding in Avis Budget Group $ CAR as Stock Rosehttps://yomiblog.com/2019/03/13/timber-hill-upped-holding-in-exxon-mobil-xom-by-319940-as-share-value-rose-commerzbank-aktiengesellschaft-boosted-holding-in-avis-budget-group-car-as-stock-rose/ …";;;;"1105924334298779648";https://twitter.com/BlogYomi/status/1105924334298779648
;2019-03-13 20:08;0;0;"Silver Lake Group Trimmed Its Position in Intelsat S A $ I by $37.60 Million as Stock Declined; Reilly Financial Advisors Cut Exxon Mobil $ XOM Holding as Stock Value Rose https://finexaminer.com/2019/03/13/silver-lake-group-trimmed-its-position-in-intelsat-s-a-i-by-37-60-million-as-stock-declined-reilly-financial-advisors-cut-exxon-mobil-xom-holding-as-stock-value-rose/ …";;;;"1105923607362969607";https://twitter.com/thefinreviewer/status/1105923607362969607
;2019-03-13 20:08;0;0;"$ XOM: New Insider Filing on Vice President & Gen. Counsel RANDALL M EBNER: http://insideri.com/34088_000112760219011225_0001127602-19-011225 …";;;;"1105923504803930114";https://twitter.com/InsiderAlertsIA/status/1105923504803930114
;2019-03-13 20:06;0;1;"Today's million dollar CALL # options trade: $ AAPL $ AMZN $ BABA $ BA $ ET $ FB $ MOMO $ SHOP $ ACB $ CMG $ CVS $ MA $ QCOM $ BAC $ GOOG $ NVDA $ ROKU $ XOM $ BIDU $ MELI ...https://appsto.re/i6hH3LG";;;#;"1105922991316258816";https://twitter.com/MinteractApp/status/1105922991316258816
;2019-03-13 19:47;0;0;"$ XOM Exxon Mobil Corporation SEC Filing: Form 4 http://www.sec.gov/Archives/edgar/data/34088/000112760219011225/xslF345X03/form4.xml …";;;;"1105918381725831168";https://twitter.com/StockTexts/status/1105918381725831168
;2019-03-13 19:47;0;0;"$ XOM New Form 4 for Exxon Mobil Corporation From our Stock News Alerts App";;;;"1105918204474466304";https://twitter.com/Allstocknews/status/1105918204474466304
;2019-03-13 19:31;0;0;"Iberiabank Has Raised Its Exxon Mobil $ XOM Position; ABN AMRO GROUP NV DEPOSITARY RECEIPTS N $ ABMRF Shorts Decreased By 30.01%https://yomiblog.com/2019/03/13/iberiabank-has-raised-its-exxon-mobil-xom-position-abn-amro-group-nv-depositary-receipts-n-abmrf-shorts-decreased-by-30-01/ …";;;;"1105914396776325120";https://twitter.com/BlogYomi/status/1105914396776325120
;2019-03-13 19:25;0;3;"$ BA - credit crisis- $ GS - $ XOM - $ FB You can rip the world to shreds as a company and see less jail time than your local pot dealer will selling you a gram";;;;"1105912830908219392";https://twitter.com/TheLincolnList/status/1105912830908219392
;2019-03-13 19:23;0;0;"American Investment Services Upped Its Position in Exxon Mobil $ XOM by $435,472 as Share Value Rose; As Ppl $ PPL Stock Value Rose, Schnieders Capital Management Has Increased Its Positionhttps://finheadlines.com/2019/03/13/american-investment-services-upped-its-position-in-exxon-mobil-xom-by-435472-as-share-value-rose-as-ppl-ppl-stock-value-rose-schnieders-capital-management-has-increased-its-position/ …";;;;"1105912236504162304";https://twitter.com/HeadlinesFin/status/1105912236504162304
;2019-03-13 19:15;0;0;"As Norwegian Cruise Lines $ NCLH Share Value Rose, Shareholder Halsey Associates Decreased Its Position; Exxon Mobil $ XOM Shareholder Wedbush Securities Has Upped Holding by $671,704 https://hinewulm.com/2019/03/13/as-norwegian-cruise-lines-nclh-share-value-rose-shareholder-halsey-associates-decreased-its-position-exxon-mobil-xom-shareholder-wedbush-securities-has-upped-holding-by-671704/ …";;;;"1105910378163290112";https://twitter.com/UlmHi/status/1105910378163290112
;2019-03-13 18:53;0;0;"Qv Investors Decreased By $4.33 Million Its Exxon Mobil $ XOM Position; ZHAOJIN MINING INDUSTRY CO LTD SHS -H- $ ZHAOF Shorts Up By 12.08%https://finreviewer.com/2019/03/13/qv-investors-decreased-by-4-33-million-its-exxon-mobil-xom-position-zhaojin-mining-industry-co-ltd-shs-h-zhaof-shorts-up-by-12-08/ …";;;;"1105904658017632258";https://twitter.com/thefinreviewer/status/1105904658017632258
;2019-03-13 18:49;0;1;"Caterpillar $ CAT Market Value Rose While Callahan Advisors Boosted Stake; Lynch & Associates Trimmed Its Holding in Exxon Mobil $ XOM by $586,704 https://hinewulm.com/2019/03/13/caterpillar-cat-market-value-rose-while-callahan-advisors-boosted-stake-lynch-associates-trimmed-its-holding-in-exxon-mobil-xom-by-586704/ …";;;;"1105903643587477506";https://twitter.com/UlmHi/status/1105903643587477506
;2019-03-13 18:43;0;0;"Made $20K today. Thanks to the option trade alerts from http://Optionsbypros.com $ GG $ PDD $ SEP $ BAC $ CTRP $ ZBRA $ SAN $ HBI $ DKS $ CTL $ ESV $ NXPI $ RF $ KEYS $ BB $ BBY $ BBBY $ LOW $ HD $ XOM $ CVX $ APA $ HES $ MUR $ PRU $ USB $ ESV $ ETE $ OAS $ BPR $ ING $ HST $ BA";;;;"1105902243272896512";https://twitter.com/TaylorG30871424/status/1105902243272896512
