username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-03-14 23:59;0;0;"How I turned $5k into $37k - https://mailchi.mp/exactoptionpicks/the-option-triggers-with-100-694873 … $ FB $ AMZN $ NFLX $ AAPL $ BABA $ TSLA $ EA $ BA $ TLRY $ GOOGL $ NVDA $ AMD $ CRM $ MSFT";;;;"1106344058509762560";https://twitter.com/ExactOptionPick/status/1106344058509762560
;2019-03-14 23:57;0;0;"Join @ RobinhoodApp and we'll both get a stock like $ AAPL, $ F, or $ S for free. Make sure to use my link.https://share.robinhood.com/evelynb101";;@;;"1106343732138426369";https://twitter.com/wefeed8/status/1106343732138426369
;2019-03-14 23:55;0;0;"$ AAPL # patent 20190080180 AUTOMATED CAPTURE OF IMAGE DATA FOR POINTS OF INTEREST # tech # IP # research http://trea.com/doc/20190080180 pic.twitter.com/kVxxY4qvtP";;;# # # #;"1106343143438471169";https://twitter.com/treabase/status/1106343143438471169
;2019-03-14 23:54;0;0;"$ AAPL as said by prior poster AVGO beat, great sign to help AAPL reach the $190.50 (200DMA). Is Cook have things to help break the 200DMA?";;;;"1106342938143936513";https://twitter.com/JustTradingHoy/status/1106342938143936513
;2019-03-14 23:52;0;0;"Join @ RobinhoodApp and we'll both get a stock like $ AAPL, $ F, or $ S for free. Make sure to use my link. https://share.robinhood.com/jacobm4453";;@;;"1106342436664676354";https://twitter.com/JacobMusic8/status/1106342436664676354
;2019-03-14 23:49;1;1;"Complete Disconnect: Debt Contagion Risk vs. the See-No-Evil Market -- my latest article for @ CrushTheStreet https://www.crushthestreet.com/cts-news/complete-disconnect-debt-contagion-risk-vs-the-see-no-evil-market … $ SLV $ GLD $ QQQ $ DJIA $ DIA $ SPY # stockmarket # commodities # investing # finance # stocks # gold # silver $ FB $ TWTR $ AAPL $ AMZN $ TSLA $ INTC $ AMD $ NFLX $ C";;@;# # # # # # #;"1106341645379878912";https://twitter.com/davidmoadel/status/1106341645379878912
;2019-03-14 23:49;0;0;"Check out Set of 4 Coconut Bowls - New Unused - Beige to Brown - ONLY $19.99 - GET NOW! $ BPTH $ AAPL $ K $ GIS $ KO $ LLY $ PSP $ ATOS https://ebay.us/mOhnKp via @ eBay";;@;;"1106341546994077698";https://twitter.com/NelliesTrove/status/1106341546994077698
;2019-03-14 23:48;0;1;"$ AVGO $ ULTA $ MU $ AMD $ SWKS $ FOXA $ NVDA $ LULU $ DLTR $ AMAT $ SIRI $ CDNS $ AAPL $ INTC $ KHC $ MSFT $ ROST $ AAL $ LRCX $ QQQ NASDAQ 100 : BULL (After Hours) https://bullbearcharts.blogspot.com/2019/03/nasdaq-100-bull-after-hours_14.html …";;;;"1106341469718233090";https://twitter.com/BullBearCharts/status/1106341469718233090
;2019-03-14 23:47;1;1;"Join @ RobinhoodApp and we'll both get a stock like $ AAPL, $ F, or $ S for FREE. Make sure to use my link. https://share.robinhood.com/ahmadn88";;@;;"1106341215719620609";https://twitter.com/modproductionz/status/1106341215719620609
;2019-03-14 23:47;1;3;"$ SLV $ GLD $ QQQ $ DJIA $ DIA $ SPY # stockmarket # commodities # investing # finance # stocks # gold # silver $ FB $ TWTR $ AAPL $ AMZN $ TSLA $ INTC $ AMD $ NFLX $ BA $ CGC $ CRON $ NVDA $ MU $ TLT $ APHA $ ACB $ TLRY $ IBB $ UVXY $ VIX $ F $ VXXB $ TVIXhttps://twitter.com/CrushTheStreet/status/1106332638875447296 …";;;# # # # # # #;"1106341194420891654";https://twitter.com/davidmoadel/status/1106341194420891654
