username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-03-18 21:04;2;7;"Worth noting, initial offers from 3 different big biopharmas (Unknown likely $ JNJ, Roche, $ LLY) for 3 different companies $ NITE $ ONCE $ LOXO respectively with remarkably similar premium over stock prices at the time: around 70%.";;;;"1107749665578119169";https://twitter.com/jq1234t/status/1107749665578119169
;2019-03-18 20:47;0;0;"another bullshit story bites the big one. how many other myths still float around from the medical profession ? https://www.usatoday.com/story/news/health/2019/03/18/aspirin-prevent-heart-attacks-strokes-doctors/3199831002/ … # heartattack # asprin # fakenews # fakemedicine $ lly # bayer $ tlrypic.twitter.com/3uBwG0mGXd";;;# # # # #;"1107745294861717505";https://twitter.com/JGwizard/status/1107745294861717505
;2019-03-18 20:33;0;1;"Largest $Notional Buy On Close Order Imbalances $ NOW $ LLY $ DIS $ KEYS $ BRK.B $ WFC $ XOM $ WPC $ TWLO $ JNJ https://marketchameleon.com/Reports/StockOrderImbalanceReport/ …";;;;"1107741729330024451";https://twitter.com/MarketChmln/status/1107741729330024451
;2019-03-18 20:23;0;1;"$ NOW $ LLY $ DIS $ KEYS $ BRK $ WFC $ XOM $ WPC $ TWLO $ JNJ $ W $ BABA $ DUK $ LMT $ MPC $ D $ JPM $ USB $ DWDP $ DG $ CVX Largest MOC BUYSpic.twitter.com/wDNkSiqis3";;;;"1107739362370813952";https://twitter.com/TeresaTrades/status/1107739362370813952
;2019-03-18 20:08;1;0;"Capital Alpha's Healthcare Analyst, @ kimmonkk, released note discussing possible legislative delay of rebate rule and potential path to # Medicare # PartD reform. # DrugPrices # DrugPricing $ ESRX $ CVS $ UNH $ JNJ $ PFE $ LLY $ BMY $ AGN & more.";;@;# # # #;"1107735464050597888";https://twitter.com/capitalalpha/status/1107735464050597888
;2019-03-18 19:58;0;0;"http://42stocks.com $ AA $ ACB $ AMX $ ATI $ BEN $ BHF $ CDK $ COF $ DOMO $ EC $ ECA $ EDU $ EW $ FICO $ GGAL $ GGB $ GOL $ HDB $ HQY $ IEX $ JHG $ LB $ LLY $ MPC $ MSFT $ MT $ PBR $ PFG $ PS $ SBNY $ SID $ TEO $ TGS $ ULTA $ VIV $ WFC $ WP $ ZION # stockmarket # stocks # trading # marketpic.twitter.com/ujF897oho7";;;# # # #;"1107732946637725697";https://twitter.com/42Stocks/status/1107732946637725697
;2019-03-18 19:55;0;0;"# estate asset watch - top money flow on Monday (share price x volume traded) $ AMZN $ FB $ BA $ AAPL $ WP $ TSLA $ NFLX $ MSFT $ NVDA $ DIS $ FIS $ BAC $ AVGO $ GOOGL $ BABA $ GOOG $ JPM $ ORCL $ SQ $ ADBE $ ACB $ MU $ CSCO $ AMD $ WFC $ GE $ C $ V $ UNH $ EW $ ROKU $ BSK $ INTC $ INTC $ CVS $ LLY $ GS $ BKNG $ PGpic.twitter.com/RBETAPnco2";;;#;"1107732151502409728";https://twitter.com/TheBurdetteLawF/status/1107732151502409728
;2019-03-18 19:41;0;0;"Lilly Eli & Co $ LLY Valuation Rose While West Family Investments Has Trimmed Stake; Abbvie $ ABBV Holder Spectrum Asset Management Nb Has Decreased Stake by $368,000 as Market Valuation Declinedhttps://yomiblog.com/2019/03/18/lilly-eli-abbvie-abbv-holder-spectrum-asset-management-nb-has-decreased-stake-by-368000-as-market-valuation-declined/ …";;;;"1107728858176991232";https://twitter.com/BlogYomi/status/1107728858176991232
;2019-03-18 19:41;0;0;"http://42stocks.com $ AA $ ACB $ AMX $ ATI $ BEN $ BHF $ CDK $ COF $ EC $ ECA $ EDU $ EW $ FICO $ GGAL $ GGB $ GOL $ HDB $ HQY $ IEX $ JHG $ LB $ LLY $ MPC $ MSFT $ MT $ PBR $ PFG $ PS $ SBNY $ SID $ TGS $ ULTA $ VIV $ WFC $ WP $ ZION # stockmarket # stocks # trading # marketpic.twitter.com/7CMvWTFE3D";;;# # # #;"1107728820050817024";https://twitter.com/42Stocks/status/1107728820050817024
;2019-03-18 19:30;3;1;"It’s better to hang out with people better than you, you will gain more https://askwarrenhq.blogspot.com/2019/03/its-better-to-hang-out-with-people_18.html … The Best Stock Investment For 2019 https://askwarrenhq.blogspot.com/p/best-stock-investment-for-2019-is.html … $ FPVD $ LLY $ CFG $ UTX $ AAL $ LB $ SBGL $ RBNW $ NLSN $ HON $ APC $ WMB $ GILD $ APA $ DISCA $ ABHI $ CBL $ PCG $ KMB $ MGM";;;;"1107726054825680896";https://twitter.com/smallinvestorhq/status/1107726054825680896
