username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-03-19 23:59;0;0;"$ DE $ DIS $ MCD $ NICE $ AAPL $ CHK $ SWKS $ SWN $ HON $ NFLX $ GILD $ IWM $ QQQ $ CRON $ BABA $ WATT $ CRON $ ROKU $ BMY $ ABBV $ ADBE $ GE For Trade Ideas/Alerts/Live trading 9-4pm Join the community at http://discord.gg/xw4JmHf It's FREEpic.twitter.com/6ehFmeCruM";;;;"1108156132302950400";https://twitter.com/TraderHangout/status/1108156132302950400
;2019-03-19 23:59;1;13;"$ DIS ... wow! Someone went down splash mountain! Broke 50 and 200 daily sma! pic.twitter.com/6EAVSYYKo2";;;;"1108155986261565443";https://twitter.com/TrueBubbleHead/status/1108155986261565443
;2019-03-19 23:58;0;0;"$ DIS $ FOX $ FOXA - Disney, Fox set merger consideration value for Fox stockhttps://seekingalpha.com/news/3444261-disney-fox-set-merger-consideration-value-fox-stock?source=tweet …";;;;"1108155820553003008";https://twitter.com/jjjinvesting/status/1108155820553003008
;2019-03-19 23:42;0;0;"$ FB $ DIS Five Things You Need to Know to Start Your Day via http://www.hvper.com/?ref=s";;;;"1108151667281850368";https://twitter.com/finzine/status/1108151667281850368
;2019-03-19 23:41;0;0;"Wall Street's top stories for Tuesday $ GOOG, $ FOXA, $ DIS, $ JLL, $ DBI, $ TACO, $ AAPL http://crweworld.com/symbol/JLL";;;;"1108151474247208960";https://twitter.com/HottestStockNow/status/1108151474247208960
;2019-03-19 23:38;0;1;"$ DIS $ FOXA $ FOX: After-Hours News: Disney Prepares to Close on Fox Deal; Tencent …: https://www.StockNewsWires.com/dis-foxa-fox-after-hours-news-disney-prepares-to-close-on-fox-deal-tencent/ …";;;;"1108150672250359813";https://twitter.com/NewsToDesk/status/1108150672250359813
;2019-03-19 23:27;1;28;"Ah, the stock market. What a beautiful place where a one day volume driven dump of 2%+ on $ DIS is considered shocking. Crypto has made me immune (as has the macro around Disney)! # CryptoStrong # Numb";;;# #;"1108148069227327488";https://twitter.com/EDadoun/status/1108148069227327488
;2019-03-19 23:26;0;1;"$ DIS, media company. PE @15.07. $ NFLX CEO Hastings: "company is actually a media company, like Disney". PE @133.87. Sigh";;@15 @133;;"1108147752695971842";https://twitter.com/monting/status/1108147752695971842
;2019-03-19 23:21;1;1;"$ DIS 2018 DAY https://www.tradingview.com/x/Ij7kMIAo/ 50% retrace";;;;"1108146489916706816";https://twitter.com/TEEELAZER/status/1108146489916706816
;2019-03-19 23:21;0;5;"Walt Disney $ DIS settled -2.8% at $110.00. Today's weakness can be argued as an anomaly, due to the overnight finalisation of the purchase of $ FOX . https://finance.yahoo.com/news/disney-21st-century-fox-announce-211200948.html … I like the company, but the cautious will arguably wait to chase >120. S/t support 109/107s. @ kpongyupic.twitter.com/HoHBLIBU6U";;@;;"1108146468676866048";https://twitter.com/permabear_uk/status/1108146468676866048
;2019-03-19 23:19;0;1;"$ COTY $ F $ AVGO $ AAPL $ AMD $ AAPL $ AMD $ RCII $ BAC $ FB $ NVDA $ PBR $ GIS $ AAPL $ DIS Highest volume strikes pic.twitter.com/J7SMsEIKv9";;;;"1108146021375201280";https://twitter.com/TeresaTrades/status/1108146021375201280
;2019-03-19 23:18;0;0;"For the first time, more Americans pay for Internet video than for traditional cable and satellite TV http://fortune.com/2019/03/19/cord-cutting-record-netflix-deloitte/?utm_source=twitter.com&utm_medium=social&utm_campaign=social-share-article … $ NFLX $ DIS $ CMCS $ AAPL";;;;"1108145855461289984";https://twitter.com/RaviRomo/status/1108145855461289984
;2019-03-19 23:18;0;0;"We calculated 21-day Expected Return of $ DIS for you: 2.02% https://unicornbay.com/t/DIS.US?utm_medium=tweet&utm_campaign=expreturn&utm_source=twitter …";;;;"1108145636652638208";https://twitter.com/1MinuteStock/status/1108145636652638208
;2019-03-19 23:10;0;2;"$ AMD $ AAPL $ NVDA $ FB $ BAC $ COTY $ AMZN $ TSLA $ AVGO $ MU $ BA $ DIS $ MSFT $ F $ NFLX $ ACB $ FDX $ BABA $ PBR $ NIO $ GE $ DWDP $ QCOM $ BMY $ JD Most active optionspic.twitter.com/bcK10ZaIhh";;;;"1108143807629934592";https://twitter.com/TeresaTrades/status/1108143807629934592
;2019-03-19 23:09;0;0;"$ DIS trading like a steal mill that’s about to...";;;;"1108143408642551808";https://twitter.com/realmichalak/status/1108143408642551808
;2019-03-19 23:08;1;3;"Bought some $ DIS on today’s whoosh down. ~41M shares traded clearly related to 21st Century Fox closing. 2019 slate looks incredible and Disney+ unveil on 4/11 right around the corner. PT $140.";;;;"1108143239209594880";https://twitter.com/SkylineGrow/status/1108143239209594880
;2019-03-19 23:06;0;1;"$ DIS obliterated last two days...";;;;"1108142831049170944";https://twitter.com/realmichalak/status/1108142831049170944
;2019-03-19 23:06;6;33;"Disney had very high volume trades at the end of the day bringing it down $5 in two days. This is part of all the merger stuff working out. Creates an opportunity for smaller investors. Tomorrow Disney Fox is now just Disney!!! Netflix watch out. $ DIS $ NFLX";;;;"1108142734194270209";https://twitter.com/GerberKawasaki/status/1108142734194270209
;2019-03-19 23:06;0;0;"$ DIS, thanks!";;;;"1108142627097055232";https://twitter.com/kpongyu/status/1108142627097055232
;2019-03-19 23:05;0;0;"We can all calculate anticipate and try to justify but price is telling the story here.. selling crescendo with huge volume. If market topped for a bit, $ DIS could easily find $108 area or below no?";;;;"1108142590417952768";https://twitter.com/MaxVelocity18/status/1108142590417952768
;2019-03-19 23:02;0;1;"$ AMD $ DSW $ BAC $ WDC $ EBAY $ BHC $ DIS $ PBR $ WFC $ MS $ NVDA $ ATVI $ ET $ IDTI $ CCI $ TME $ NCS $ MU $ KNO $ QCOM $ JPM $ ACB $ BBBY $ SYMC Unusual options activitypic.twitter.com/bRjUy0m0KG";;;;"1108141775288307712";https://twitter.com/TeresaTrades/status/1108141775288307712
;2019-03-19 22:55;2;1;"Unusual option activity alert: $ AVGO 11x average daily volume, $ FDX 6x, $ DWDP 4x, $ DIS 3x, $ BA 3x, $ ATVI 2x, $ AMD 2x";;;;"1108139988233973760";https://twitter.com/getvolatility/status/1108139988233973760
;2019-03-19 22:48;0;0;"Struggling with Trading? Members get full access to Training Center - FREE $ AMD $ FDX $ DIS $ TME http://bit.ly/2z5oOik pic.twitter.com/QVBkLeSi7p";;;;"1108138198926921729";https://twitter.com/IntensityStocks/status/1108138198926921729
;2019-03-19 22:42;0;0;"We calculated 63-day Expected Return of $ DIS for you: 0.2% https://unicornbay.com/t/DIS.US?utm_medium=tweet&utm_campaign=expreturn&utm_source=twitter …";;;;"1108136573973848064";https://twitter.com/1MinuteStock/status/1108136573973848064
;2019-03-19 22:42;0;0;"The Disney-Fox Acquisition Has Been Completed, Announces 21st Century Fox https://buff.ly/2Ti2WYz $ DIS $ TFCFA pic.twitter.com/dEeyeUtLW2";;;;"1108136571029602310";https://twitter.com/OptionSamurai/status/1108136571029602310
;2019-03-19 22:38;0;7;"Like the Tower of Terror drop $ DIS pic.twitter.com/bITScTuKXa";;;;"1108135612970881024";https://twitter.com/FiBelleFi/status/1108135612970881024
;2019-03-19 22:37;0;2;"the putz bought calls just in front of the big sekloff . lol ====================== Jon Najarian Sees Unusual Option Activity in $ DIS and $ DWDPhttp://zpr.io/ghKCx";;;;"1108135506397851648";https://twitter.com/JGwizard/status/1108135506397851648
;2019-03-19 22:36;1;1;"http://TheBitcoinCompany.com FOR SALE! $ GRDO $ RDGL $ IBGR $ AMZN $ TSLA $ WMT $ TGT $ NVDA $ SPY $ GLD $ EBAY $ AAPL $ FB $ TWTR $ GS $ S $ GOOG $ DIS $ IBM $ MSFT $ BIDU $ VZ $ ADBE $ AMAT $ ADSK $ AVGO $ BABA $ CDNS $ CAVM $ CERN $ CHKP $ CSCO $ CTXS # FOREX $ CTSH $ CSC $ DVMT # Cryptocurrency # Domain # for # salepic.twitter.com/rYcnmaq6IN";;;# # # # #;"1108135081175105536";https://twitter.com/PennyLoft/status/1108135081175105536
;2019-03-19 22:34;0;2;"$ SPY Support and Resistance (Pivots) for Wed 3/20/19: $ GE $ UPS $ DIS $ SNAP $ ROKU $ CMG $ CAT $ X $ BIIB $ CVS $ BIDU $ COST $ GILD # stocks # pivots # markets # daytrading # watchlistpic.twitter.com/c3lK5YH1Vl";;;# # # # #;"1108134657143517185";https://twitter.com/SpiderMan_3s/status/1108134657143517185
;2019-03-19 22:31;0;1;"$ DIS $ V $ XOM $ EW $ JPM $ BA $ BRK $ HD $ ORCL $ ABBV $ C $ LMT $ BAC $ JNJ $ CAT $ HON $ MDT $ ELAN $ CRM $ UTX $ COP $ CVX Largest MOC SELLSpic.twitter.com/NhBnfONO6u";;;;"1108133816906870784";https://twitter.com/TeresaTrades/status/1108133816906870784
;2019-03-19 22:29;0;0;"Tues (3/19/19) Tues (3/19/19) trading range % < 9% (Min $5, Vol > 750K, Opt Vol in any strike > 500): $ BEST $ PSEC $ SC $ ESPR $ NSTG $ BK $ GRUB $ NYCB $ ONB $ BBT $ CLF $ PVG $ PAAS $ GG $ DIS $ RF $ KEY $ GS $ RCII $ WFC $ MS $ AIG $ MET $ UNP $ JEC $ TLRY $ TME $ LPX $ STX $ ARCC $ SLCA $ SMAR $ URI $ DHIpic.twitter.com/ikrkJlXBsT";;;;"1108133526178660352";https://twitter.com/15minofPham/status/1108133526178660352
;2019-03-19 22:27;0;0;"Unicorn Bay rating for $ DIS is 2.88 out of 5. https://unicornbay.com/t/DIS.US?utm_medium=tweet&utm_campaign=rank&utm_source=twitter …";;;;"1108132799335170048";https://twitter.com/1MinuteStock/status/1108132799335170048
;2019-03-19 22:22;3;5;"# mixed day $ GOOGL $ FB $ JPM $ C $ BAC $ WFC $ AAPL $ PM $ PG $ GE $ HON $ JNJ $ CSCO $ MSFT $ INTC $ TWTR $ TSLA $ V $ DIS $ UNH $ VZ $ KHC $ SLB $ XOM $ ES_F $ GC_F $ NQ_F $ CL_F $ ZB_F $ TLT $ MET $ PNC $ CTL $ LMT $ WMT $ TGT $ DLTR $ AMZN $ AMGN $ BMY $ IBM $ SPX $ NASDAQ $ DJIA $ CAC $ DAX $ FTSE $ BTC $ COSTpic.twitter.com/ZGLorzWsJa";;;#;"1108131626855383040";https://twitter.com/raymond10mm/status/1108131626855383040
;2019-03-19 22:16;0;0;"$ DIS Dow Snaps Win Streak on U.S.-China Trade Concerns https://ift.tt/2UJGSaD";;;;"1108130069162180608";https://twitter.com/LloydCreekStock/status/1108130069162180608
;2019-03-19 22:16;0;0;"$ DIS Can Apple's Streaming Service Without Netflix Draw Viewers? https://ift.tt/2CsjF5D";;;;"1108130066326794240";https://twitter.com/LloydCreekStock/status/1108130066326794240
;2019-03-19 22:16;0;0;"$ DIS DIS Crosses Below Key Moving Average Level https://ift.tt/2UK57ph";;;;"1108130064452014081";https://twitter.com/LloydCreekStock/status/1108130064452014081
;2019-03-19 22:16;0;0;"$ DIS Market Close Report: NASDAQ Composite index closes at 7,723.95 up 9.47 points https://ift.tt/2Oe0Is3";;;;"1108130062799269888";https://twitter.com/LloydCreekStock/status/1108130062799269888
;2019-03-19 22:16;0;0;"$ DIS Disney Is Ready to Be Crazy Like a Fox https://ift.tt/2CsjCXv";;;;"1108130061226557440";https://twitter.com/LloydCreekStock/status/1108130061226557440
;2019-03-19 22:16;0;0;"$ DIS Tuesday’s Vital Data: Disney, Facebook and Amazon https://ift.tt/2URG4As";;;;"1108130058370191361";https://twitter.com/LloydCreekStock/status/1108130058370191361
;2019-03-19 22:16;0;0;"$ DIS Stock Market News: Fox Sets Out on Its Own; Ford Boosts SUV Lines https://ift.tt/2CsjAPn";;;;"1108130056805728257";https://twitter.com/LloydCreekStock/status/1108130056805728257
;2019-03-19 22:16;0;0;"$ DIS RSX, PEJ: Big ETF Outflows https://ift.tt/2UKTDll";;;;"1108130053970370561";https://twitter.com/LloydCreekStock/status/1108130053970370561
;2019-03-19 22:16;0;0;"$ DIS Hulu's Price Cuts Will Fuel Its Revenue Growth https://ift.tt/2CqkYSM";;;;"1108130050732363777";https://twitter.com/LloydCreekStock/status/1108130050732363777
;2019-03-19 22:10;0;0;"Scan results - Cup with Handle today: $ AIZ $ TWO $ DIS $ FFIN $ HDS $ SCS $ WTR $ CVA $ HIG $ FITB $ CHH $ WES $ DUK $ NTR $ TSU $ ADBE $ CAH $ BDX $ HPT $ WMC ...https://swingtradebot.com/events/61-cup-with-handle/equities?selected_date=2019-03-19 …";;;;"1108128532432080903";https://twitter.com/SwingTradeBot/status/1108128532432080903
;2019-03-19 22:04;0;0;"What’s wrong, Mickey? $ DIS pic.twitter.com/8TP3LM9aui";;;;"1108127175868366850";https://twitter.com/investgocanada/status/1108127175868366850
;2019-03-19 22:03;0;1;"Tired of the stock market rollercoaster? Use it to your advantage� $ DIS $ GOOG $ AMD $ FDX http://goo.gl/KdpgL2 pic.twitter.com/629InaJFY5";;;;"1108126850629292032";https://twitter.com/IntensityStocks/status/1108126850629292032
