username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-03-19 23:49;0;0;"$ CPRT, $ INTC and $ FND are showing a bull flag pattern today. https://www.chartmill.com/stockscreener.php?filters=m_us_only,v1_50b500,s_bf&timeframe=DAILY&type=CANDLES&o1=3&op1=200&i1=&ip1=&cl=F&months=0&o2=3&op2=50&i2=&ip2=&width=400&o3=62&op3=&i3=&ip3=&v=9&sid=13&utm_source=twitterUS&utm_medium=screener&utm_content=Stock_Screener:_Bull_Flags&utm_campaign=social_tracking …";;;;"1108153490189234178";https://twitter.com/ChartMill/status/1108153490189234178
;2019-03-19 23:40;2;3;"My Rules for Selling Covered Calls https://chc.li/2HxCOGK $ WDAY $ AAPL Also works for $ MU $ BA $ ORCL $ ZS $ ACB $ ADBE $ GM $ F $ INTC $ ROKU $ TWLOpic.twitter.com/7Xodq6kVHG";;;;"1108151292990578689";https://twitter.com/Jacob_Mintz/status/1108151292990578689
;2019-03-19 23:27;1;5;"$ AMD soared 11.8% to $26.00, on news that $ GOOGL will be using AMD graphics cards in its next gaming device. Its a huge deal for the company, as AMD is seen as a valid alternative to $ INTC by the mainstream. pic.twitter.com/S5Rusdj713";;;;"1108147961131880451";https://twitter.com/permabear_uk/status/1108147961131880451
;2019-03-19 23:18;0;0;"Short sale volume(not short interest) for $ TSM on 2019-03-18 is 56%. http://shortvolumes.com/?t=TSM $ AMAT 41% $ INTC 36% $ TSEM 23% $ XLNX 43%";;;;"1108145631120510976";https://twitter.com/shortvolumes/status/1108145631120510976
;2019-03-19 22:26;0;0;"INTEL INVESTIGATION INITIATED by Former Louisiana Attorney General: Kahn Swick ... https://www.businesswire.com/news/home/20180202005659/en/INTEL-INVESTIGATION-INITIATED-Louisiana-Attorney-General-Kahn … $ INTC # stocks # stockmarket";;;# #;"1108132783933788160";https://twitter.com/StockScoops/status/1108132783933788160
;2019-03-19 22:22;3;5;"# mixed day $ GOOGL $ FB $ JPM $ C $ BAC $ WFC $ AAPL $ PM $ PG $ GE $ HON $ JNJ $ CSCO $ MSFT $ INTC $ TWTR $ TSLA $ V $ DIS $ UNH $ VZ $ KHC $ SLB $ XOM $ ES_F $ GC_F $ NQ_F $ CL_F $ ZB_F $ TLT $ MET $ PNC $ CTL $ LMT $ WMT $ TGT $ DLTR $ AMZN $ AMGN $ BMY $ IBM $ SPX $ NASDAQ $ DJIA $ CAC $ DAX $ FTSE $ BTC $ COSTpic.twitter.com/ZGLorzWsJa";;;#;"1108131626855383040";https://twitter.com/raymond10mm/status/1108131626855383040
;2019-03-19 21:46;0;0;"$ XLK $ INTC: Shenoy Navin (VP) disposed stocks worth $455,738 and disposed stocks worth $464,576 http://www.edgarpulse.com/form4-insider-summary.php?form4=2734656 …";;;;"1108122478835130368";https://twitter.com/EdgarPulse/status/1108122478835130368
;2019-03-19 21:46;0;0;"$ SPY $ INTC: Shenoy Navin (VP) disposed stocks worth $455,738 and disposed stocks worth $464,576 http://www.edgarpulse.com/form4-insider-summary.php?form4=2734656 …";;;;"1108122477601931265";https://twitter.com/EdgarPulse/status/1108122477601931265
;2019-03-19 21:46;0;0;"$ DIA $ INTC: Shenoy Navin (VP) disposed stocks worth $455,738 and disposed stocks worth $464,576 http://www.edgarpulse.com/form4-insider-summary.php?form4=2734656 …";;;;"1108122476683411457";https://twitter.com/EdgarPulse/status/1108122476683411457
;2019-03-19 21:42;0;6;"$ INTC SHould buy $ AMD while they can...";;;;"1108121560009895941";https://twitter.com/punkcap/status/1108121560009895941
