username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-03-20 22:06;5;0;"VIDEO: When the stock Market Rallies, But Your Stocks Don't # youtube # video # finance # stocks # swingtrading $ CVX $ SLB $ XOM $ COP $ HES $ HAL $ APChttp://bit.ly/2Vz2irc";;;# # # # #;"1108489924402204673";https://twitter.com/SharePlanner/status/1108489924402204673
;2019-03-20 21:53;2;25;"Here's Chevron. If those 2014 highs get taken out, and I think they do, there's serious upside. Something to watch... $ CVX pic.twitter.com/nolLbNmUo7";;;;"1108486798450126848";https://twitter.com/allstarcharts/status/1108486798450126848
;2019-03-20 21:36;0;0;"Short sale volume (not short interest) for $ BP on 2019-03-19 is 47%. http://shortvolumes.com/?t=BP $ CVX 33% $ COP 38% $ RDS.A 65%";;;;"1108482353217921024";https://twitter.com/shortvolumes/status/1108482353217921024
;2019-03-20 21:15;0;0;"Oil majors rush to dominate U.S. shale as independents scale back https://reut.rs/2ulkyIJ by @ Jennifer_Hiller # shale # oil @ oott $ XOM $ CVX # permian # texas";;@ @;# # # #;"1108477209717735426";https://twitter.com/ErnestScheyder/status/1108477209717735426
;2019-03-20 21:12;0;1;"$ DIS $ BABA $ HD $ EOG $ MO $ CVX $ XOM $ COP $ EL $ MCD $ ORCL $ BMY $ MRK $ TPR $ RCL $ GS $ COG $ LLY $ SLB $ SPG $ OXY Largest MOC BUYSpic.twitter.com/6qQEo2v3qs";;;;"1108476343761592320";https://twitter.com/TeresaTrades/status/1108476343761592320
;2019-03-20 20:57;0;0;"Wed (3/20/19) trading range % < 5% (Min $5, Vol > 750K, Opt Vol in any strike > 500): $ ONCE $ RBS $ SAN $ NUS $ CVX $ STNE $ STT $ BX $ RF $ AJG $ URBN $ BBT $ KEY $ L $ UAL $ USB $ ATVI $ LITE $ BILI $ SCS $ MIK $ ADNT $ CI $ UAA $ ETFC $ BAC $ TEN $ SAGE $ NTRS $ PRU $ SCHW $ AMTD $ MET $ LPLA $ VIAB $ JPMpic.twitter.com/v4YZQXvlQt";;;;"1108472701922873344";https://twitter.com/15minofPham/status/1108472701922873344
;2019-03-20 20:36;0;0;"Largest $Notional Buy On Close Order Imbalances $ DIS $ BABA $ HD $ EOG $ MO $ CVX $ XOM $ COP $ EL $ MCD https://marketchameleon.com/Reports/StockOrderImbalanceReport/ …";;;;"1108467244462473216";https://twitter.com/MarketChmln/status/1108467244462473216
;2019-03-20 20:17;0;0;"Exxon Mobil And Chevron: Picking Between Them Is Easy https://seekingalpha.com/article/4250060?source=ansh … $ CVX, $ XOM Great Dividend Stock BUY XOM and CVX !";;;;"1108462558141448193";https://twitter.com/pjl001/status/1108462558141448193
;2019-03-20 19:33;2;3;"Oil majors rush to dominate U.S. shale as independents scale back https://reut.rs/2ulkyIJ Key question is how carefully the firms invest when they drill, and on that, the edge goes to Chevron. FD: long $ CVX for clients and me";;;;"1108451463058149376";https://twitter.com/AlephBlog/status/1108451463058149376
;2019-03-20 18:36;0;0;"2019-03-19 Short sale volume (not short interest) for $ KOS is 38%. http://shortvolumes.com/?t=KOS $ CVX 33% $ NBL 73% $ HES 68% $ APC 49%";;;;"1108437051744157696";https://twitter.com/shortvolumes/status/1108437051744157696
;2019-03-20 18:32;0;0;"CL <---------- open outcry closes @$60.25 ABOVE the mental $60.00 resistance number # DayTrading # Futures # Trading # OIL # CL_F # CL $ CL_F $ CL $ CME # OPEC $ RIG $ USO # fintwit # CNBC $ SPX $ ES_F $ ES # ES_F # ES $ NQ_F $ XOM $ BP # Trading $ VLO $ MRO # WTI $ COP $ CVE $ CVE.TO $ CVX $ APC $ OXY $ WTIhttps://twitter.com/InfinitusCap/status/1108386182814224384 …";;@;# # # # # # # # # # # # #;"1108436071484964867";https://twitter.com/InfinitusCap/status/1108436071484964867
;2019-03-20 18:22;0;1;"$ CVX $ XOM - Exxon Mobil And Chevron: Picking Between Them Is Easy https://seekingalpha.com/article/4250060-exxon-mobil-chevron-picking-easy?source=feed_f …";;;;"1108433603946373120";https://twitter.com/SeekingAlpha/status/1108433603946373120
;2019-03-20 17:19;0;0;"I Paid $1.85/Gallon in January. Now $2.49! +35%~ $ aapl $ amzn $ agn $ brk $ bhc $ myl $ mrk $ wfc $ sti $ jpm $ ms $ gs $ bac $ c $ iep $ amgn $ teva $ irwd $ eols $ ibm $ ko $ prgo $ tst $ teva $ flxn $ cs $ unh $ pfe $ mrk $ myl $ azn $ gsk $ wmt $ tgt $ kr $ tsla $ rvnc $ eols $ xom $ cvx https://twitter.com/brianfires/status/1108417129831976960 …";;;;"1108417760848240640";https://twitter.com/brianfires/status/1108417760848240640
;2019-03-20 17:18;0;0;"$ CVX: Update: Chevron (NYSE:CVX) Stock Gained 31% In The Last Three …: https://www.StockNewsWires.com/cvx-update-chevron-nysecvx-stock-gained-31-in-the-last-three/ …";;;;"1108417430286712832";https://twitter.com/ProTradersNews/status/1108417430286712832
