username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-03-20 23:42;0;1;"Chart: $ SPX / $ DJUSHB - S&P 500 vs. Dow Jones U.S. Home # Construction $ SPY $ ES # ES_F # SP500 $ IVV $ VOO $ XHB $ ITB $ PKB # Building # Homebuilders # Housing # RealEstate # HousingMarket $ LEN $ DHI $ NVR $ PHM $ TOL $ HD $ LOW $ BLD $ TMHC $ TPH $ KBH $ SHW $ MHK $ MTH $ MASpic.twitter.com/6IaOe9WC8J";;;# # # # # # # #;"1108514150366490627";https://twitter.com/miroslavpitak/status/1108514150366490627
;2019-03-20 23:20;0;0;"Is Home Depot $ HD Now a Sell? Find Out What Evercore ISI Thinks https://whatsonthorold.com/2019/03/20/is-home-depot-nysehd-now-a-sell-find-out-what-evercore-isi-thinks/ …";;;;"1108508756718039043";https://twitter.com/whatsonthorold2/status/1108508756718039043
;2019-03-20 23:20;0;0;"Home Depot $ HD Seems Tp Be A Stock That Evercore ISI Is Interested In https://www.bibeypost.com/home-depot-nysehd-seems-tp-be-a-stock-that-evercore-isi-is-interested-in/ …";;;;"1108508620281524224";https://twitter.com/bibeypost_stock/status/1108508620281524224
;2019-03-20 23:19;0;1;"$ HD - Pretty bullish move today with good volume. We had a 5/10 SMA crossover. Looking for another bounce at the middle BB on the hourly then focused on 190 calls pic.twitter.com/zOvBedTtFn";;;;"1108508332388769792";https://twitter.com/disciplinedtra1/status/1108508332388769792
;2019-03-20 22:11;1;1;"“MAKE A MOUNTAIN OUT OF A MOLEHILL... FAST.” $ spy $ spx $ aapl $ fb $ tsla $ c $ amzn $ nflx $ googl $ dia $ indu $ dia $ qqq $ ndx $ iwm $ eem $ jpm $ gs $ ms $ btc $ gld $ slv $ vix $ cron $ cgc $ tlry $ dax $ nke $ wmt $ tgt $ lulu $ okta $ crm $ acb $ f $ cat $ hd $ ge $ nvda $ mu $ ibb $ msft $ pypl $ ba $ tlt $ dispic.twitter.com/WqTOhSXQUW";;;;"1108491250339139590";https://twitter.com/GreenStocks2016/status/1108491250339139590
;2019-03-20 21:30;0;0;"Big Gainers today from Long Portfolio!! $ CGC $ WEED.CA $ GWPH $ HD $ MELI";;;;"1108480958351724544";https://twitter.com/silverjet2/status/1108480958351724544
;2019-03-20 21:19;0;0;"Huge move on $ HD from 183 to 187, awesome Apr.187.5 calls that hit nicely today on that rip to 187 res, look to buy 183/184 area for longs https://charts.stocktwits.com/production/original_157818349.png …";;;;"1108478207886573569";https://twitter.com/TheOptionsPros/status/1108478207886573569
;2019-03-20 21:12;0;1;"$ DIS $ BABA $ HD $ EOG $ MO $ CVX $ XOM $ COP $ EL $ MCD $ ORCL $ BMY $ MRK $ TPR $ RCL $ GS $ COG $ LLY $ SLB $ SPG $ OXY Largest MOC BUYSpic.twitter.com/6qQEo2v3qs";;;;"1108476343761592320";https://twitter.com/TeresaTrades/status/1108476343761592320
;2019-03-20 20:47;0;1;"Another good day! $ NFLX weekly 370 calls, $ LLY Apr. call spread, $ HD 187.5 calls and $ SPY puts from yesterday. Going to go over some charts.";;;;"1108470086644441094";https://twitter.com/TheOptionsPros/status/1108470086644441094
;2019-03-20 20:45;0;0;"# WallStreet: # DowJones -0.55% en 25,745.67, # SP500 -0.29% en 2,824.23 y # Nasdaq +0.07% en 7,728.97. Mejor valor: $ HD +1.07% Peor valor: $ GS -3.38%";;;# # # #;"1108469632447512576";https://twitter.com/esbolsa/status/1108469632447512576
;2019-03-20 20:36;0;0;"Largest $Notional Buy On Close Order Imbalances $ DIS $ BABA $ HD $ EOG $ MO $ CVX $ XOM $ COP $ EL $ MCD https://marketchameleon.com/Reports/StockOrderImbalanceReport/ …";;;;"1108467244462473216";https://twitter.com/MarketChmln/status/1108467244462473216
;2019-03-20 20:20;0;0;"It is Time to "Outperform" Home Depot $ HD, Evercore ISI Says. Stock May Be Worth $215 https://whatsonthorold.com/2019/03/20/it-is-time-to-outperform-home-depot-nysehd-evercore-isi-says-stock-may-be-worth-215/ …";;;;"1108463355650551811";https://twitter.com/whatsonthorold2/status/1108463355650551811
