username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-03-20 23:09;0;1;"$ PSIQ $ TLRY $ APHA $ NBEV $ DTEA $ CRON $ IGXT $ STZ $ CGC $ NEPT # MARIJUANA # STOCKS $ PM $ RAI $ MO $ KO $ DEO $ VGR $ BTI $ BUD $ TAP $ BREW $ SAM $ MNST $ GS $ JPM $ GWPH $ CBDS $ ACB $ GTBIF $ TGODF $ ITHUF $ CVSI $ MJ $ IIPR $ AAPL $ TSLA $ CARA $ ZYNE $ ABBV $ SMG $ PYX $ CANN # CBDBeerhttps://twitter.com/EliteHemp_Intl/status/1082298908787830784 …";;;# # #;"1108505975038898176";https://twitter.com/MarketHedgeFund/status/1108505975038898176
;2019-03-20 22:37;0;0;"Made $20K today. Thx to the option trade alerts from http://optionsbypros.com $ UAL $ JNJ $ JNPR $ JPM $ JWN $ K $ KBE $ KIRK $ KKR $ KMI $ KO $ KSS $ LB $ LLY $ LMT $ LOW $ LULU $ LVS $ MDCO $ MIK $ MO $ MOMO $ MRO $ MSFT $ MTCH $ MU $ NBL $ NCR $ NE $ NFLX $ NI $ NKE $ NOK $ NTNX $ NUE $ NVDA $ NXPI $ AMZN $ GOOG";;;;"1108497696233611266";https://twitter.com/KyleJanson13/status/1108497696233611266
;2019-03-20 22:15;0;1;"$ PSIQ $ TLRY $ APHA $ NBEV $ DTEA $ CRON $ IGXT $ STZ $ CGC $ NEPT # MARIJUANA # STOCKS $ PM $ RAI $ MO $ KO $ DEO $ VGR $ BTI $ BUD $ TAP $ BREW $ SAM $ MNST $ GS $ JPM $ GWPH $ CBDS $ ACB $ GTBIF $ TGODF $ ITHUF $ CVSI $ MJ $ IIPR $ AAPL $ TSLA $ CARA $ ZYNE $ ABBV $ SMG $ PYX $ CANN # CBDBeerhttps://twitter.com/MarketHedgeFund/status/1108492099022979074 …";;;# # #;"1108492234750603264";https://twitter.com/MarketHedgeFund/status/1108492234750603264
;2019-03-20 21:54;0;1;"$ PSIQ $ TLRY $ APHA $ NBEV $ DTEA $ CRON $ IGXT $ STZ $ CGC $ NEPT # MARIJUANA # STOCKS $ PM $ RAI $ MO $ KO $ DEO $ VGR $ BTI $ BUD $ TAP $ BREW $ SAM $ MNST $ GS $ JPM $ GWPH $ CBDS $ ACB $ GTBIF $ TGODF $ ITHUF $ CVSI $ MJ $ IIPR $ AAPL $ TSLA $ CARA $ ZYNE $ ABBV $ SMG $ PYX $ CANN # CBDBeerhttps://twitter.com/IncProfile/status/1098283011282518016 …";;;# # #;"1108486891962286081";https://twitter.com/MarketHedgeFund/status/1108486891962286081
;2019-03-20 21:19;0;0;"$ KO nice intraday move higher earlier today off support, looking for 45 area to hold for new long positioning if $ SPY helps the cause https://charts.stocktwits.com/production/original_157818494.png …";;;;"1108478203180580865";https://twitter.com/TheOptionsPros/status/1108478203180580865
;2019-03-20 21:17;0;1;"$ YUM $ C $ STZ $ HUM $ KO $ T $ JPM $ CRM $ PFE $ BRK $ CBS $ RHT $ WFC $ FIS $ PAA $ CMI $ EPD $ BR $ MPLX $ OAK Largest MOC SELLSpic.twitter.com/pginGcHawt";;;;"1108477698366541824";https://twitter.com/TeresaTrades/status/1108477698366541824
;2019-03-20 21:03;0;0;"$ KO looking to add to long calls position in May soon as we get to 45/45.2 support lvls for higher lows, new push higher on daily, target 46 https://charts.stocktwits.com/production/original_157815108.png …";;;;"1108474052405088260";https://twitter.com/TheOptionsPros/status/1108474052405088260
;2019-03-20 20:31;0;0;"Largest $Notional Sell On Close Order Imbalances $ YUM $ C $ STZ $ HUM $ KO $ T $ JPM $ CRM $ PFE $ BRK.B https://marketchameleon.com/Reports/StockOrderImbalanceReport/ …";;;;"1108466009957126144";https://twitter.com/MarketChmln/status/1108466009957126144
;2019-03-20 20:08;0;1;"Monster Beverage Stock Falls as Goldman Sachs Lowers Its Rating $ MNST $ KO $ PEP https://marketrealist.com/2019/03/monster-beverage-stock-falls-as-goldman-sachs-lowers-its-rating …pic.twitter.com/WCkXk5iNfT";;;;"1108460407998595072";https://twitter.com/MarketRealist/status/1108460407998595072
;2019-03-20 20:05;2;1;"RECAP 3/20 Unusual Puts: $ T $ GLD $ COTY $ GRUB $ VALE $ PBR $ FXB $ DSW $ WBA $ DB $ SKT $ S $ KO";;;;"1108459665229299714";https://twitter.com/OpenOutcrier/status/1108459665229299714
