username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-03-20 23:51;0;1;"EPS for PayPal Holdings, Inc. $ PYPL Expected At $0.47 https://whatsonthorold.com/2019/03/20/eps-for-paypal-holdings-inc-pypl-expected-at-0-47/ …";;;;"1108516541266575360";https://twitter.com/whatsonthorold2/status/1108516541266575360
;2019-03-20 23:51;0;1;"PayPal Holdings, Inc. $ PYPL EPS Estimated At $0.47 https://www.bibeypost.com/paypal-holdings-inc-pypl-eps-estimated-at-0-47/ …";;;;"1108516495473238016";https://twitter.com/bibeypost_stock/status/1108516495473238016
;2019-03-20 23:41;0;1;"# JackDorsey's # Square Is Hiring New # CryptoEngineers — And It Wants to Pay Them in # Bitcoin... https://www.coindesk.com/square-hiring-crypto-engineers-bitcoin … $ btc $ xbt $ gbtc $ xbtc $ spy $ spx $ dia $ dji $ qqq $ ixic $ gdx $ gld $ bar $ gbtc # fidelitydigitalassets # bakkt $ sbux $ msft $ sq $ PYPL $ AXP $ MA $ V $ BAC $ JPM $ WFC $ BRK.A";;;# # # # # #;"1108514006363299840";https://twitter.com/BoB2Trader/status/1108514006363299840
;2019-03-20 23:15;0;1;"Paypal $ PYPL Sets New 1-Year High at $101.93 http://zpr.io/ghkRh";;;;"1108507299591700481";https://twitter.com/TranscriptDaily/status/1108507299591700481
;2019-03-20 23:00;0;0;"OPINION: see what he's doing here? he is beating $ PYPL to the punchbowl. Paypal has Wences Caseares on the board and they are flat footed. What a major mistake! Hope $ SQ crushes the shyte out of making $ BTC a means of payment. Im long tons of $ SQ. # obviousgrowth Not advice.https://twitter.com/jack/status/1108487911802966017 …";;;#;"1108503641353269248";https://twitter.com/HODL_Report/status/1108503641353269248
;2019-03-20 22:29;0;1;"Paypal $ PYPL Sets New 1-Year High at $101.93 http://zpr.io/gh2JF";;;;"1108495907681722368";https://twitter.com/TranscriptDaily/status/1108495907681722368
;2019-03-20 22:21;0;1;"Paypal $ PYPL Reaches New 52-Week High at $101.93 http://www.thestockobserver.com/?p=2021258";;;;"1108493846076444674";https://twitter.com/stocknewstimes/status/1108493846076444674
;2019-03-20 22:21;0;1;"Paypal $ PYPL Reaches New 52-Week High at $101.93 http://www.thestockobserver.com/?p=2021260";;;;"1108493841362051072";https://twitter.com/stocknewstimes/status/1108493841362051072
;2019-03-20 22:11;1;1;"“MAKE A MOUNTAIN OUT OF A MOLEHILL... FAST.” $ spy $ spx $ aapl $ fb $ tsla $ c $ amzn $ nflx $ googl $ dia $ indu $ dia $ qqq $ ndx $ iwm $ eem $ jpm $ gs $ ms $ btc $ gld $ slv $ vix $ cron $ cgc $ tlry $ dax $ nke $ wmt $ tgt $ lulu $ okta $ crm $ acb $ f $ cat $ hd $ ge $ nvda $ mu $ ibb $ msft $ pypl $ ba $ tlt $ dispic.twitter.com/WqTOhSXQUW";;;;"1108491250339139590";https://twitter.com/GreenStocks2016/status/1108491250339139590
;2019-03-20 22:08;0;0;"$ PYPL trading within ascending wedge with bearish MACD & RSI divergence. looking for a move lower to 50 ma first. pic.twitter.com/n873g6vdMl";;;;"1108490432323805184";https://twitter.com/Dreamestorical/status/1108490432323805184
