username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-03-29 23:56;0;2;"Report: # USA # blockchain spending expected to see enormous growth of over $37 # billion by 2025. # BerkshireHathaway # JPMorgan # Apple # Microsoft # Alphabet # Walmart # Comcast # Pfizer # Intel # MorganStanley # Amazon # GoldmanSachs # Ford # IBM # SupplyChain # cryptoshttps://www.investinblockchain.com/usa-enormous-growth-blockchain-spending-expected-2025-road-domination/ …";;;# # # # # # # # # # # # # # # # # # #;"1111779117580603393";https://twitter.com/KeyCryptoNews/status/1111779117580603393
;2019-03-29 23:26;0;0;"Rumor has it that Mr. Pickle's Sandwich Shop is one of the best Sandwich restaurants in town. Do you agree? Alfredo Ledesma | VP/Sales Manager INTERO | A Berkshire Hathaway Affiliate 510.406.2274 Aledesma@Intero.com https://www.yelp.com/biz/mr-pickles-sandwich-shop-newark?adjust_creative=oL3IFSLKuAvBuqJLVWV6Dw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=oL3IFSLKuAvBuqJLVWV6Dw …pic.twitter.com/j8H5pb8jH2";;@Intero;;"1111771524904685569";https://twitter.com/ALedesma07/status/1111771524904685569
;2019-03-29 23:19;0;0;"Morning All, Dow Jones 25,929 up 211, Facebook $167, Twitter $32.88, Amazon $1,781, Berkshire Hathaway $201, Google $1,177 # HappySaturday";;;#;"1111769870981488641";https://twitter.com/ASXwatcher007/status/1111769870981488641
;2019-03-29 23:17;0;2;"Check our tour and let us know what you think! # newlisting # FloridaLiving # GoodtoAsk # GoodtoKnow # FloridaRealEstate # BHHSFloridaRealty # RealEstate # ForSale # HomeSweetHome # Home # Househunting # BerkshireHathaway http://pdy.io/84gd";;;# # # # # # # # # # # #;"1111769307422380032";https://twitter.com/BHFloridaRealty/status/1111769307422380032
;2019-03-29 23:16;0;0;"Comparison of Berkshire Hathaway Inc. $ JRVRhttps://finheadlines.com/2019/03/29/comparison-of-berkshire-hathaway-inc-brk-b-and-james-river-group-holdings-ltd-nasdaqjrvr/ …";;;;"1111769192880136202";https://twitter.com/HeadlinesFin/status/1111769192880136202
;2019-03-29 23:15;0;0;"Is this the style of furniture you would have used for this room? Lesley Gambino 504-858-9241 Berkshire Hathaway Home Services pic.twitter.com/zFDMlO7qBi";;;;"1111768919663144960";https://twitter.com/LesleyGambino/status/1111768919663144960
;2019-03-29 23:06;0;0;"Buffett on Apple’s entertainment push: It can afford to make a mistake or two Berkshire Hathaway Chairman Warren";;;;"1111766675387502598";https://twitter.com/stand_4_america/status/1111766675387502598
;2019-03-29 23:00;0;0;"Just Reduced: Rental,$1600/m 77007 http://www.har.com/32776918 Berkshire Hathaway HomeService # Houston";;;#;"1111765001973481472";https://twitter.com/LINDATELLO/status/1111765001973481472
;2019-03-29 22:48;0;0;"# MarchMadness ‘Warren Buffett offered $1 Bln to anyone who filled out a perfect bracket in 2014. Since then, he has offered $1 Mln a year for life to any employee of Berkshire Hathaway or its subsidiaries who accurately predicts the Sweet 16 teams’ -WSJ https://www.wsj.com/articles/heres-why-youll-never-pick-a-perfect-ncaa-bracket-11553856629 …";;;#;"1111762033790386176";https://twitter.com/tonycfa/status/1111762033790386176
;2019-03-29 22:46;0;2;"We'd love to tell you all about this home. You won't want to miss this opportunity! # newlisting # HomeSweetHome # FloridaRealEstate # FloridaLiving # GoodtoAsk # GoodtoKnow # BHHSFloridaRealty # RealEstate # ForSale # Home # Househunting # BerkshireHathaway http://pdy.io/84g9";;;# # # # # # # # # # # #;"1111761648786853888";https://twitter.com/BHFloridaRealty/status/1111761648786853888
;2019-03-29 22:44;0;0;"Berkshire Hathaway Inc. $BERK34 Rises 0.04% on Mar 29 https://whatsonthorold.com/2019/03/29/berkshire-hathaway-inc-berk34-rises-0-04-on-mar-29/ …";;;;"1111760967636078592";https://twitter.com/whatsonthorold2/status/1111760967636078592
;2019-03-29 22:30;0;0;"Berkshire Hathaway HomeServices Simon & Salhany Realty Inc Fall in love with this 3 BD/ 3 BA in Bedford. Call, text or direct message me for more info. http://cpix.me/l/68438458 pic.twitter.com/ffCBhsRPyY";;;;"1111757486879657985";https://twitter.com/margiespicer1/status/1111757486879657985
;2019-03-29 22:28;0;8;"For the past two years I’ve dreamed of changing our business website on 4/1 to match Warren Buffett’s Berkshire Hathaway site (http://www.berkshirehathaway.com/ ); but have failed to execute. Starting Monday, and only Monday, pretend that I actually did it.";;;;"1111757073400905734";https://twitter.com/coreyeulas/status/1111757073400905734
;2019-03-29 22:25;0;0;"BERKSHIRE HATHAWAY HOMESERVICES FLORIDA NETWORK REALTY WELCOMES SCOTT WILEY https://ift.tt/2Ueh4GR";;;;"1111756225778196480";https://twitter.com/michaelfraser21/status/1111756225778196480
;2019-03-29 22:25;0;0;"BERKSHIRE HATHAWAY HOMESERVICES FLORIDA NETWORK REALTY WELCOMES MCKENZIE MANNING https://ift.tt/2JOH2wl";;;;"1111756223630766084";https://twitter.com/michaelfraser21/status/1111756223630766084
;2019-03-29 22:16;0;0;"Check out our property at 2502 BETTY STREET! # ORLANDO # freshstart # newlisting # ForSale # RealEstate # BHHSFloridaRealty # GoodtoKnow # Home # GoodtoAsk # FloridaLiving # Househunting # FloridaRealEstate # HomeSweetHome # BerkshireHathaway http://pdy.io/84g7";;;# # # # # # # # # # # # # #;"1111754000184025089";https://twitter.com/BHFloridaRealty/status/1111754000184025089
;2019-03-29 22:13;0;0;"Homes that are staged properly spend far less time on the # housingmarket before being sold. # hometips http://cpix.me/a/68498823 Berkshire Hathaway HomeServices Premier Properties 1815 38th St. S. Fargo, ND 58103";;;# #;"1111753265866264577";https://twitter.com/diamondRAfargo/status/1111753265866264577
;2019-03-29 22:13;0;0;"Found a note outside Berkshire Hathaway's office. It said to consider selling Hub Group $ HUBG # NotRealInvestingAdvice";;;#;"1111753248673804288";https://twitter.com/StockTipRobot/status/1111753248673804288
;2019-03-29 22:00;0;0;"A beautiful home like this won't stay on the market for very long. 5 bed and 4 bath in great neighborhood! Call, text or direct message me for details. Berkshire Hathaway HomeServices Premier Properties 1815 38th St. S. Fargo, ND 58103 http://homevalueplus.info/l/68440433";;;;"1111749950893895681";https://twitter.com/bhhspremier/status/1111749950893895681
;2019-03-29 21:57;0;1;"Another successful closing for the Roy-Miller Team at Berkshire Hathaway. We love our clients! Congratulations on your new home. # bhhsmirealestate # roymillerteampic.twitter.com/Li2j0avRY2";;;# #;"1111749222347522064";https://twitter.com/shanewrealtor/status/1111749222347522064
;2019-03-29 21:51;0;0;"Looking for a new home in the exciting A2 or Metro Detroit area? Let me support your journey through a personalized customer experience! # AnnArbor # realtor # UofM # ypsilanti # realty # BHHS # michigan # BerkshireHathaway";;;# # # # # # # #;"1111747834192297984";https://twitter.com/Lei_Wu_n_A2/status/1111747834192297984
;2019-03-29 21:49;0;0;"The long house hunt is finally over. Contact me now for a showing! # homesforsale http://cpix.me/l/68443292 Berkshire Hathaway HomeServices Premier Properties 1815 38th St. S. Fargo, ND 58103 pic.twitter.com/Qihofhh3nQ";;;#;"1111747206212698112";https://twitter.com/FMRealtorSteph/status/1111747206212698112
;2019-03-29 21:43;0;0;"Huge Congratulations to HomeServices of America on becoming the Country's largest Real Estate company! I am very happy to be apart of it! # dreamjob # EdinaRealty # BerkshireHathaway # BonnieBrantonhttps://sprou.tt/1vVl1YHtI9v";;;# # # #;"1111745646778830849";https://twitter.com/bonileeLLC/status/1111745646778830849
;2019-03-29 21:40;0;0;"Buying your first home can feel like a daunting task, but don't worry, we've got answers to every question you have. Check out this article and then, let's talk! Berkshire Hathaway HomeServices FNR From Bungalows to Beachfronts https://www.apartmenttherapy.com/answers-for-all-your-first-time-homebuying-questions-239121 …pic.twitter.com/yCwa88EGCB";;;;"1111745061300035585";https://twitter.com/salexanderpvb/status/1111745061300035585
;2019-03-29 21:36;0;0;"Take a look inside Ronald Reagan's former home and find out what recent TV show used it during filming! Berkshire Hathaway HomeServices Texas Realty | 512.483.6000 https://www.mansionglobal.com/articles/former-california-home-of-ronald-reagan-sells-for-6-45-million-108997 …pic.twitter.com/CEFrn1uvTg";;;;"1111743973343805440";https://twitter.com/BHHSTEXREALTY/status/1111743973343805440
;2019-03-29 21:31;0;0;"Berkshire Hathaway HomeServices Simon & Salhany Realty Inc Do you know someone looking for a great # property in # Tallmadge? # realestatehttp://tour.circlepix.com/home/MU6BJD";;;# # #;"1111742706504605696";https://twitter.com/SimonSalhanyRE/status/1111742706504605696
;2019-03-29 21:31;0;0;"See a virtual tour of my listing on 5910 SW 33rd ST # Topeka # KS # realestate http://tour.circlepix.com/home/49UMBH Berkshire Hathaway HomeServices First, REALTORS";;;# # #;"1111742666088349696";https://twitter.com/TopekaRealtor/status/1111742666088349696
;2019-03-29 21:23;0;0;"You've got to see this beautiful home! Message me for details or a showing! # homesforsale # realestate http://cpix.me/l/68442842 Berkshire Hathaway HomeServices Premier Properties 1815 38th St. S. Fargo, ND 58103 pic.twitter.com/ctCO1PiCvg";;;# #;"1111740614738104321";https://twitter.com/kimvanhal/status/1111740614738104321
;2019-03-29 21:00;0;0;"HomeServices of America, a Berkshire Hathaway affiliate, today announced that it has earned the title of the country’s largest residential real estate company based on transaction sides, according to the REAL Trends 500 report. https://www.businesswire.com/news/home/20190327005176/en/HomeServices-America%C2%AE-Country%E2%80%99s-Largest-Real-Estate-Company …";;;;"1111734998053330949";https://twitter.com/HitzHeather/status/1111734998053330949
;2019-03-29 20:57;0;0;"Berkshire Hathaway HomeServices Simon & Salhany Realty Inc The long house hunt is finally over. Contact me now for a showing! # homesforsale http://cpix.me/l/68438456 pic.twitter.com/mPbGtD6bq3";;;#;"1111734215337488384";https://twitter.com/mcgeesold/status/1111734215337488384
;2019-03-29 20:55;0;0;"You have to see this home! 3 BD/ 2 BA in Mapleton. Call/text/DM me for details. http://cpix.me/l/68441089 Berkshire Hathaway HomeServices Premier Properties 1815 38th St. S. Fargo, ND 58103 pic.twitter.com/A86ZweJJ9q";;;;"1111733541799428099";https://twitter.com/rundmc_dawn/status/1111733541799428099
;2019-03-29 20:52;1;1;"# Amazon seeks to disrupt major # industry titans in # logistics / # SupplyChain & # healthcare application development & may exceed aspirations of # Haven joint venture of @ jpmorgan & Berkshire Hathaway with @ amazon # acquisition of @ PillPack on # transformation of # pharmacy # businesshttps://twitter.com/TV_HIEC_Chair/status/1111602226340990976 …";;@ @ @;# # # # # # # # # #;"1111732998091747330";https://twitter.com/ayokasystems/status/1111732998091747330
;2019-03-29 20:43;0;0;"BLOGUE INVITÉ. Ironiquement, sa plus grande erreur aura peut-être été de prendre le contrôle de Berkshire Hathaway. Difficile à croire? https://www.lesaffaires.com/blogues/les-investigateurs-financiers/la-pire-erreur-de-warren-buffett/609175?utm_source=Twitter&utm_medium=Social&utm_content=29-03-2018 …pic.twitter.com/K8AbdUSZJS";;;;"1111730746555686912";https://twitter.com/la_lesaffaires/status/1111730746555686912
;2019-03-29 20:40;0;1;"We just put together this tour and would love to get your thoughts on it! # newlisting # Home # ForSale # Househunting # RealEstate # BHHSFloridaRealty # GoodtoKnow # GoodtoAsk # FloridaLiving # FloridaRealEstate # HomeSweetHome # BerkshireHathaway http://pdy.io/84fq";;;# # # # # # # # # # # #;"1111729843551518720";https://twitter.com/BHFloridaRealty/status/1111729843551518720
;2019-03-29 20:36;0;0;"CNH Industrial N.V. $ CNHI Analysts See $0.15 EPS; Berkshire Hathaway Inc. New Co $ BRKB Shorts Decreased By 9.2%https://finheadlines.com/2019/03/29/cnh-industrial-n-v-cnhi-analysts-see-0-15-eps-berkshire-hathaway-inc-new-co-brkb-shorts-decreased-by-9-2/ …";;;;"1111728798930735105";https://twitter.com/HeadlinesFin/status/1111728798930735105
;2019-03-29 20:29;0;2;"What's Your Home Worth? Get 3 free estimates instantly below. https://buff.ly/2TK9lfq Call today to learn how I can help you get top dollar for your home. 267-694-4394 http://adambell.foxroach.com # BerkshireHathaway # homeselling # homesellers # Philadelphia # Realestatepic.twitter.com/B694fZQnJE";;;# # # # #;"1111726980960059392";https://twitter.com/AdamBellRealty/status/1111726980960059392
;2019-03-29 20:27;0;0;"The Extra Mile Realty Ribbon-Cutting took place on March 28th and was met with wonderful support from their family, staff and other Chamber members. Extra Mile Realty is part of Berkshire Hathaway... https://www.facebook.com/GreaterAnnaChamber/posts/2239638419408220 …";;;;"1111726536573353984";https://twitter.com/AnnaChamber/status/1111726536573353984
