username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-03-29 23:59;0;1;"Citigroup y Bank of America podrían recuperarse rápidamente a corto plazo https://invst.ly/aeu-0 pic.twitter.com/OobXVJ0zF6";;;;"1111779927710408704";https://twitter.com/mcortess_2010/status/1111779927710408704
;2019-03-29 23:19;1;0;"Citigroup is warning that investors should brace for a pick-up in turbulence next week https://bloom.bg/2FBrOpf";;;;"1111769849716461568";https://twitter.com/BloombergAU/status/1111769849716461568
;2019-03-29 23:16;0;0;"‘Crucial’ Week Has Citigroup Touting a Bet on Higher Volatility https://bloom.bg/2FA72q4";;;;"1111769138123423749";https://twitter.com/Jsultan77/status/1111769138123423749
;2019-03-29 22:49;0;0;"Investors Sell Shares of Citigroup $ C on Strength $ Chttp://dakotafinancialnews.com/?p=940575";;;;"1111762403644112897";https://twitter.com/dakotafinancial/status/1111762403644112897
;2019-03-29 22:43;0;0;"2011KERIMOV flew PARSONS》CITIGROUP Chairman DIMON SCHWARZMAN》advises 45Kushners to RUSSIA re https://www.google.com/amp/s/amp.ft.com/content/ad4e8816-52d0-11e1-ae2c-00144feabdc0 …";;;;"1111760721732423690";https://twitter.com/Holly_not_Dolly/status/1111760721732423690
;2019-03-29 22:40;0;0;"Citigroup plans to sell US$ 1.6bn of Venezuelan gold held on collateral https://goo.gl/G9sgw8 pic.twitter.com/jr8qExdtmN";;;;"1111759993907408897";https://twitter.com/MercoPressNews/status/1111759993907408897
;2019-03-29 22:33;4;2;"The one certain thing that will bring # trump down in 2020 (if he isn't forced to resign in disgrace before then) is a # recession. And now, # Citigroup says a recession is on its way. "It's 15 minutes before midnight."";;;# # #;"1111758208580743169";https://twitter.com/CorporatePiggie/status/1111758208580743169
;2019-03-29 22:00;0;2;"# Citigroup announced it is developing a consumer- # payments platform, in a move to enter the rapidly growing digital payments industry. http://www.linkedin.com/pulse/weekly-fintech-digest-week-13-linas-beli%C5%ABnas … # banking # fintech";;;# # # #;"1111750030770225156";https://twitter.com/kirsikkalar/status/1111750030770225156
;2019-03-29 22:00;0;0;"‘Crucial’ Week Has Citigroup Touting a Bet on Higher Volatility - https://invst.ly/aez5e";;;;"1111749907499679746";https://twitter.com/newsinvesting/status/1111749907499679746
;2019-03-29 21:53;0;0;"Non-deliverable forward Wikipedia article edited anonymously from Citigroup https://en.wikipedia.org/w/index.php?diff=890074737&oldid=843242312 …";;;;"1111748141630586885";https://twitter.com/bankedits/status/1111748141630586885
;2019-03-29 21:49;1;0;"Citigroup is warning that investors should brace for a pick-up in turbulence next week https://bloom.bg/2FBmO3X";;;;"1111747199174623232";https://twitter.com/BloombergAsia/status/1111747199174623232
;2019-03-29 21:40;11;27;"Citigroup is warning that investors should brace for a pick-up in turbulence next week https://bloom.bg/2FA72q4";;;;"1111744856987262981";https://twitter.com/business/status/1111744856987262981
;2019-03-29 21:27;0;0;"$ C CrucialWeek Has Citigroup Touting a Bet on Higher Volatility via http://www.hvper.com/?ref=s";;;;"1111741571567898624";https://twitter.com/finzine/status/1111741571567898624
;2019-03-29 20:57;0;1;""We think the most potent and short-term threat would be societies demanding a more ‘equitable’ share of wealth." -Citigroup Equity Strategy (Sept 2006) https://app.box.com/s/9if6v2hr9h If you view an equitable society as a threat then your values probably aren't that great";;;;"1111734023238238208";https://twitter.com/crapnicknameDan/status/1111734023238238208
;2019-03-29 20:37;0;0;"Kiltearn Partners Llp Boosted Citigroup $ C Stake; Jcsd Capital Cut Sandy Spring Bancorp $ SASR Positionhttps://finheadlines.com/2019/03/29/kiltearn-partners-llp-boosted-citigroup-c-stake-jcsd-capital-cut-sandy-spring-bancorp-sasr-position/ …";;;;"1111729190225829891";https://twitter.com/HeadlinesFin/status/1111729190225829891
