username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-03-29 23:14;0;0;"I got the oilest skin !! Just wiped my hand across my face and I could have sworn I had some Johnson and Johnson on my hands !";;;;"1111768687726510085";https://twitter.com/GBaby_Strutz/status/1111768687726510085
;2019-03-29 20:37;0;1;"Johnson and Johnson? Wow";;;;"1111729163063431168";https://twitter.com/vybiral_ashley/status/1111729163063431168
;2019-03-29 17:26;3;38;"Big day as Ace York was added to the Fairbury Jeff 100-win club plaque! Thanks to Jeff Johnson and Johnson Family Vision Care for the donation and maintenance of the plaque! Ace becomes the 14th Jeff wrestler to join this elite group! Awesome accomplishment!! # JeffWrestlingpic.twitter.com/fpCGroPp3t";;;#;"1111681104656941063";https://twitter.com/DerekGarfield/status/1111681104656941063
;2019-03-29 15:21;0;1;"ABC's of # Baby Products: - Alphabet # Books - Bottles - Bibs - Cribs - Diapers - Ear thermometers - Face cloths - Gripe Water - Hat - # Insect repellant - Johnson and Johnson’s - # Kangaroo carrier - Lullabies - ... # Babies # BabyWear # BabyShower # BabyClotheshttps://buff.ly/2W1Oeqr";;;# # # # # # # #;"1111649466166190080";https://twitter.com/BabyDaulia/status/1111649466166190080
;2019-03-29 12:50;0;1;"Johnson and Johnson Knew Their Baby Powder Had Toxic Asbestos and Did Nothing # care2 https://www.thepetitionsite.com/tell-a-friend/60604186 …pic.twitter.com/a8iMEu9SqB";;;#;"1111611489511714818";https://twitter.com/mikecoulson48/status/1111611489511714818
;2019-03-29 12:01;1;0;"Johnson and Johnson fails to block experts from testifying at upcoming trial http://www.total-pharma-news.com/news/johnson-and-johnson-fails-to-block-experts-from-testifying-at-upcoming-trial-2163967 …";;;;"1111599203736870913";https://twitter.com/total_pharma/status/1111599203736870913
;2019-03-29 11:00;0;0;"New Jersey Jury Clears Johnson And Johnson Liabilities Over Cancer Trial Cases # TheEconomyClub # NewJersey # Jury # JohnsonAndJohnson # Liabilities # Cancer # TrialCases Read More athttps://www.theeconomyclub.com/new-jersey-jury-clears-johnson-johnson-liabilities-cancer-trial-cases/ …";;;# # # # # # #;"1111583867826262016";https://twitter.com/theeconomyclub/status/1111583867826262016
;2019-03-29 10:22;0;0;"Johnson and Johnson and Johnson";;;;"1111574294079782912";https://twitter.com/dasoku_bot1/status/1111574294079782912
;2019-03-29 09:50;0;0;"Johnson and johnson # iyiliğiseç diye başlık ile reklam yapıyor, Bir Amerikan firması , " iyi liği seç " derken Fetöcü Meralin iyi partisine oy toplamak içi sübliminal mesaj veriyor.";;;#;"1111566323673452545";https://twitter.com/TrendyTurkiye/status/1111566323673452545
;2019-03-29 09:17;0;0;"@ CDSCO_INDIA_INF Hi, This is regarding ASR hip implant faulty product of Johnson and Johnson. I need to request for compensation, from where can I initiate the process ? I read I have to fill a form on CDSCO website but I am unable to find those details. Can you please guide ?";;@;;"1111558081555644416";https://twitter.com/nikhilrai206/status/1111558081555644416
;2019-03-29 09:12;0;0;"Μόλις ζήτησα από τις μεγάλες εταιρείες, Nestlé, Procter and Gamble, Unilever, Coca-Cola, Kraft Heinz, Colgate-Palmolive, Johnson and Johnson να καταργήσουν τις πλαστικές συσκευασίες μίας χρήσης https://act.gp/2PxUHug # BreakFreeFromPlastic";;;#;"1111556719698694144";https://twitter.com/sofikar/status/1111556719698694144
;2019-03-29 09:06;0;0;"@johnsonandjohnson @himalayababycare";;@johnsonandjohnson @himalayababycare;;"1111555217768607744";https://twitter.com/roma_bhavsar/status/1111555217768607744
;2019-03-29 09:05;0;0;"Hello, I am MBA marketing student, conducting a survey on "COMPARATIVE STUDY of JOHNSON AND JOHNSON AND HIMALAYA BABY CARE" from mothers and fathers. Taking care is sharing information and your opinions. Kindly spare few moments. Thank you. https://lnkd.in/dqDdCw5";;;;"1111554844437839872";https://twitter.com/roma_bhavsar/status/1111554844437839872
