username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-03-29 23:11;0;0;"$ PFE $ MRK $ LLY $ XLV: This Dow stock could be a way to play catch-up to the rally: https://www.StockNewsWires.com/pfe-mrk-lly-xlv-this-dow-stock-could-be-a-way-to-play-catch-up-to-the-rally/ …";;;;"1111767752828698629";https://twitter.com/newswithvalue/status/1111767752828698629
;2019-03-29 21:10;0;0;"Baytex Energy $ BTE Holder Pcj Investment Counsel LTD Trimmed Its Stake as Share Price Rose; First American Bank Continues to Hold Holding in Eli Lily & Co $ LLY https://whatsonthorold.com/2019/03/29/baytex-energy-bte-holder-pcj-investment-counsel-ltd-trimmed-its-stake-as-share-price-rose-first-american-bank-continues-to-hold-holding-in-eli-lily-co-lly/ …";;;;"1111737400189833216";https://twitter.com/whatsonthorold2/status/1111737400189833216
;2019-03-29 20:10;0;0;"Rhenman & Partners Asset Management Ab Has Decreased Stake in Eli Lilly & Co $ LLY by $5.33 Million as Market Valuation Rose; As Campbell Soup Co $ CPB Share Value Declined, Holder Franklin Resources Has Trimmed Stake https://www.mmahotstuff.com/2019/03/29/rhenman-as-campbell-soup-co-cpb-share-value-declined-holder-franklin-resources.html …";;;;"1111722392911527937";https://twitter.com/mmahotstuff1/status/1111722392911527937
;2019-03-29 20:07;0;0;"Lilly Eli & Co $ LLY Shareholder Pitcairn Company Boosted Its Holding by $697,015; South State Holds Stake in Anthem $ ANTM https://reurope.com/2019/03/29/lilly-eli-south-state-holds-stake-in-anthem-antm/ …";;;;"1111721657763328000";https://twitter.com/reurope_stock/status/1111721657763328000
;2019-03-29 19:57;0;0;"$ LLY open interest for maturity 04/05/2019. High put=129.00 High call=130.00 # maxpain # options http://maximum-pain.com/options/open-interest/LLY …pic.twitter.com/CdpOEKEHdK";;;# #;"1111719014710034432";https://twitter.com/optioncharts/status/1111719014710034432
;2019-03-29 19:54;0;0;"Eli Lilly and Company $ LLY Move Up 12.75% on Mar 29 https://whatsonthorold.com/2019/03/29/eli-lilly-and-company-lly-move-up-12-75-on-mar-29/ …";;;;"1111718296859148290";https://twitter.com/whatsonthorold2/status/1111718296859148290
;2019-03-29 19:52;0;0;"Lilly Eli & Co $ LLY Shares Rose While Mitchell Sinkler & Starr Has Trimmed by $305,670 Its Holding; As Walmart $ WMT Market Valuation Rose, Cambridge Investment Research Advisors Lifted Its Position by $497,457 https://finreviewer.com/2019/03/29/lilly-eli-as-walmart-wmt-market-valuation-rose-cambridge-investment-research-advisors-lifted-its-position/ …";;;;"1111717728983961603";https://twitter.com/thefinreviewer/status/1111717728983961603
;2019-03-29 19:46;0;0;"As Masonite Intl New $ DOOR Stock Price Rose, Shareholder Vaughan Nelson Investment Management LP Decreased Stake; Lilly Eli & Co $ LLY Holder Umb Bank N A Has Trimmed Its Position as Stock Value Rose https://whatsonthorold.com/2019/03/29/as-masonite-intl-new-door-stock-price-rose-shareholder-vaughan-nelson-investment-management-lp-decreased-stake-lilly-eli-co-lly-holder-umb-bank-n-a-has-trimmed-its-position-as-stock-value-rose/ …";;;;"1111716196322344961";https://twitter.com/whatsonthorold2/status/1111716196322344961
;2019-03-29 19:36;0;0;"As Cintas $ CTAS Shares Rose, Shareholder Contravisory Investment Management Has Lowered Position by $413,826; Kessler Investment Group Has Boosted Stake in Lilly Eli & Co $ LLY by $2.74 Million https://reurope.com/2019/03/29/as-cintas-ctas-shares-rose-shareholder-contravisory-investment-management-has-lowered-position-by-413826-kessler-investment-group-has-boosted-stake-in-lilly-eli-co-lly-by-2-74-million/ …";;;;"1111713681119866881";https://twitter.com/reurope_stock/status/1111713681119866881
;2019-03-29 18:35;1;4;"Sometimes website traffic serves as a leading indicator for some unusual type of companies $ A $ LLY $ TEL $ MU # AlternativeDatapic.twitter.com/zEsWhTmvbB";;;#;"1111698477027856384";https://twitter.com/AstutexAi/status/1111698477027856384
