username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-03-29 23:00;0;0;"$ THR short ratio is 4.33 at 2019-03-15 http://sunshineavenue.com/stock/THR/ $ FLR 1.98 $ MMM 4.64 $ VPG 4.34";;;;"1111764991072448512";https://twitter.com/sunshineavenue8/status/1111764991072448512
;2019-03-29 22:39;0;0;"3M $ MMM PT Lowered to $154.00 at JPMorgan Chase & Co. http://americanbankingnews.com/?p=10010343 # stocks";;;#;"1111759897392234501";https://twitter.com/AmericanBanking/status/1111759897392234501
;2019-03-29 22:26;0;0;"JPMorgan Chase & Co. Lowers 3M $ MMM Price Target to $154.00 http://thelincolnianonline.com/?p=2806586";;;;"1111756480909320192";https://twitter.com/ThisLincolnian/status/1111756480909320192
;2019-03-29 22:09;0;0;"$ MMM";;;;"1111752378259247105";https://twitter.com/OptionsAction/status/1111752378259247105
;2019-03-29 22:09;0;0;"Emerson seen as most likely to break up in 2019 by RBC analyst Dray https://seekingalpha.com/news/3446932?source=ansh … $ EMR, $ GE, $ MMM, $ ROP, $ NVT, $ EMR, $ GE, $ MMM, $ ROP, $ NVT, $ ABB Great Dividend Stock BUY EMR!";;;;"1111752301818056705";https://twitter.com/pjl001/status/1111752301818056705
;2019-03-29 22:01;0;0;"3M slips as J.P. Morgan's Tusa grows more bearish https://seekingalpha.com/news/3447004?source=ansh … $ MMM Great Dividend Stock BUY MMM!";;;;"1111750189226831877";https://twitter.com/pjl001/status/1111750189226831877
;2019-03-29 21:47;1;2;"“Out Like A Lion” – Vista Partners Daily Market Recap 3/29/2019 https://www.vistapglobal.com/out-like-a-lion-vista-partners-daily-market-recap-3-29-2019/ … $ LYFT $ ATOS $ CAT $ UNH $ MMM $ DIA # investing # IPO # tech # biotechpic.twitter.com/4jgzQ6AtgT";;;# # # #;"1111746754339196928";https://twitter.com/tribepublic/status/1111746754339196928
;2019-03-29 21:47;0;1;"# Dow Today: +211, Leader: $ CAT, Laggard: $ MMM https://www.thestreet.com/quote/djia/dow-jones-industrial-average-today.html …";;;#;"1111746643924267008";https://twitter.com/Chuckie_T/status/1111746643924267008
;2019-03-29 21:41;1;1;"“Out Like A Lion” – Vista Partners Daily Market Recap 3/29/2019 $ LYFT $ ATOS $ CAT $ UNH $ MMM $ DIA # investing # IPO # tech # biotechhttps://lnkd.in/gg3N3jC";;;# # # #;"1111745108368474112";https://twitter.com/VistaPResearch/status/1111745108368474112
;2019-03-29 21:39;0;4;"Want to play catch-up to the rally? @ Michael_Khouw says $ MMM could be your best bet pic.twitter.com/x6CzpfnUR0";;@;;"1111744802100518917";https://twitter.com/OptionsAction/status/1111744802100518917
;2019-03-29 21:36;4;16;"Stocks soaring in the first quarter, but if you missed the rally casual Carter has a catch-up trade for you $ MMM pic.twitter.com/vVOrTU0KFu";;;;"1111743861485899784";https://twitter.com/OptionsAction/status/1111743861485899784
;2019-03-29 21:34;0;0;"Scan results - Bearish Engulfing today: $ PSDO $ FIVE $ BPR $ HF $ PVH $ CALM $ GTX $ BHR $ KRC $ BHLB $ OFC $ MYGN $ MIK $ BPY $ MMM $ FCF $ HTH $ PNFP $ PPBI $ HTA ...https://swingtradebot.com/events/14-bearish-engulfing/equities?selected_date=2019-03-29 …";;;;"1111743364087627776";https://twitter.com/SwingTradeBot/status/1111743364087627776
;2019-03-29 21:33;0;0;"... so the $ MMM pic.twitter.com/52nQtmqj2D";;;;"1111743308018208773";https://twitter.com/permabear_uk/status/1111743308018208773
;2019-03-29 21:33;4;20;"If you want to catch the rally, Carter and @ Michael_Khouw say 3M is the Dow stock to buy $ MMM pic.twitter.com/67v1R0c9Nu";;@;;"1111743293837230083";https://twitter.com/OptionsAction/status/1111743293837230083
;2019-03-29 20:32;0;0;"# WallStreet: # DowJones +0.82% en 25,928.68, # SP500 +0.67% en 2,834.40 y # Nasdaq +0.78% en 7,729.32. Mejor valor: $ CAT +2.36% Peor valor: $ MMM -0.36%";;;# # # #;"1111727793514209280";https://twitter.com/esbolsa/status/1111727793514209280
;2019-03-29 20:23;0;0;"$ MMM 3M - End of Day Stock Quote From our Stock News Alerts App";;;;"1111725481961943043";https://twitter.com/Allstocknews/status/1111725481961943043
;2019-03-29 20:18;0;0;"https://bit.ly/2II5HNn Best Swing Trader with Stock Alerts!!!!! $ CSX $ MMM $ HII";;;;"1111724263797604354";https://twitter.com/Sw1ng_Trader/status/1111724263797604354
;2019-03-29 20:13;0;0;"USA børsluk: Bedste første kvartal siden 1998 – 3M eneste taber i Dow https://bit.ly/2OyU6oD $ MMM $ CATpic.twitter.com/ClL4LRzd26";;;;"1111723148670578689";https://twitter.com/euroinvestor/status/1111723148670578689
;2019-03-29 20:05;0;0;"Rock Point Advisors Holds Holding in Citigroup $ C; As 3M Co. $ MMM Shares Rose, Tower Bridge Advisors Has Trimmed Position by $5.23 Billion https://reurope.com/2019/03/29/rock-point-advisors-holds-holding-in-citigroup-c-as-3m-co-mmm-shares-rose-tower-bridge-advisors-has-trimmed-position-by-5-23-billion/ …";;;;"1111720990759890945";https://twitter.com/reurope_stock/status/1111720990759890945
;2019-03-29 19:59;0;0;"Essex Investment Management Co Has Trimmed Cypress Semiconductor Com $ CY Holding; Osterweis Capital Management Lifted Its 3M Co $ MMM Position https://hinewulm.com/2019/03/29/essex-investment-management-co-has-trimmed-cypress-semiconductor-com-cy-holding-osterweis-capital-management-lifted-its-3m-co-mmm-position/ …";;;;"1111719449730650114";https://twitter.com/UlmHi/status/1111719449730650114
;2019-03-29 19:53;0;0;"$ MMM - 3M slips as J.P. Morgan's Tusa grows more bearish https://seekingalpha.com/news/3447004-3m-slips-j-p-morgans-tusa-grows-bearish?source=feed_f …";;;;"1111717932218740736";https://twitter.com/MarketCurrents/status/1111717932218740736
;2019-03-29 19:50;0;0;"Pacific Premier Bancorp $ PPBI Share Price Declined While Cardinal Capital Management Trimmed by $1.05 Million Its Stake; Moller Financial Services Boosted Its 3M Co $ MMM Position by $514,368 https://reurope.com/2019/03/29/pacific-premier-bancorp-ppbi-share-price-declined-while-cardinal-capital-management-trimmed-by-1-05-million-its-stake-moller-financial-services-boosted-its-3m-co-mmm-position-by-514368/ …";;;;"1111717381091536900";https://twitter.com/reurope_stock/status/1111717381091536900
