username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-03-29 23:57;0;0;"Paypal Holdings Corp $ PYPL Technical Update https://goo.gl/fb/bKDZnF";;;;"1111779379917541377";https://twitter.com/marketcycles/status/1111779379917541377
;2019-03-29 23:45;0;0;"$ PYPL PayPal Holdings, Inc. SEC Filing: Form 3 http://www.sec.gov/Archives/edgar/data/1207618/000163391719000097/xslF345X02/edgardoc.xml …";;;;"1111776543578247169";https://twitter.com/StockTexts/status/1111776543578247169
;2019-03-29 23:17;13;176;"Portfolio summary - March-end Holdings - $ ALGN $ AMZN $ BABA $ BZUN $ DOCU $ FB $ FTCH $ HDB $ HUYA $ IQ $ LYFT $ MELI $ NFLX $ NOW $ PYPL $ RDFN $ SHOP $ SQ $ STNE $ TME $ WB $ TCEHY 1833 in HK # ES_F Portfolio performance = +32.73% YTD vs. +13.07% for $ SPX No hedges in place.";;;#;"1111769268360638464";https://twitter.com/saxena_puru/status/1111769268360638464
;2019-03-29 23:12;0;3;"$ PYPL new weekly all time highs pic.twitter.com/ad6vayOC1o";;;;"1111768235358281733";https://twitter.com/mikes_nf/status/1111768235358281733
;2019-03-29 23:09;0;0;"$ PYPL Max Pain=98.00. Maturity=04/05/2019. # maxpain # options http://maximum-pain.com/options/max-pain/PYPL …pic.twitter.com/8aSuecBgGL";;;# #;"1111767478537981957";https://twitter.com/optioncharts/status/1111767478537981957
;2019-03-29 22:49;0;0;"# Stockwatch 03/29/2019 $ WP $ PLNT $ PYPL $ TWLO @ NGSFinancial";;@;#;"1111762291010097152";https://twitter.com/NGSFinancial/status/1111762291010097152
;2019-03-29 22:42;0;3;"Square $ SQ settled +0.9% at $74.72. Cyclically low, and the stock is at least finding support at the 200dma. The crazy bold could be long, as recent price action is arguably just consolidation. Superior alt: $ PYPL @ LFS1226pic.twitter.com/6nq7LYHC3g";;@;;"1111760645941350400";https://twitter.com/permabear_uk/status/1111760645941350400
;2019-03-29 21:55;0;0;"OptionAlarm provides Option Swing Trade Alerts With REAL Results! Try It For 10 Days: http://ow.ly/oBeM30o9aXQ It's FREE! No Credit Card Required! $ TLRY $ CGC $ PYPL $ WMT";;;;"1111748652651945985";https://twitter.com/OptionAlarm/status/1111748652651945985
;2019-03-29 20:06;0;0;"Today's million dollar CALL # options trade: $ AAPL $ ALLY $ AMZN $ BB $ C $ GOOGL $ GOOG $ MU $ NFLX $ PYPL $ RIO $ BABA $ CHTR $ NVDA $ TSLA $ BA $ CMCSA $ MS $ ACN $ MLM ...https://appsto.re/i6hH3LG";;;#;"1111721200072441856";https://twitter.com/MinteractApp/status/1111721200072441856
;2019-03-29 19:55;0;2;"Nearly 40 $ SPX # stocks put in new 52 week highs Friday. Largest by # marketcap include $ PG $ PYPL $ TMO $ SBUX $ ADP $ INTU $ EL $ CCI $ NSC $ ZTS $ WM $ APD $ BAX $ FIS $ ROP $ FISV $ GIS $ IR $ AZO and $ DLTR # trading";;;# # #;"1111718519228358656";https://twitter.com/TackleTrading/status/1111718519228358656
;2019-03-29 19:50;0;0;"Paypal $ PYPL Sets New 52-Week High at $104.70 http://zpr.io/gyT7S";;;;"1111717169300156416";https://twitter.com/TranscriptDaily/status/1111717169300156416
;2019-03-29 19:41;0;1;"Paper bills are pretty 20th century & most ppl I know have all of their bills setup w/ auto-pay which is a blessing and curse. it saves time, checks, stamps, hassle but it's like being at a Dave n Busters - you lose track of how much you're spending each month. @ Zelle $ PYPL $ SQ";;@;;"1111715029806694400";https://twitter.com/shonkori/status/1111715029806694400
;2019-03-29 18:44;0;0;"$ PYPL high OI range is 97.00 to 103.00 for option expiration 04/05/2019 # maxpain # options http://maximum-pain.com/options/open-interest/PYPL …pic.twitter.com/Rtw8DXbPuu";;;# #;"1111700603045064704";https://twitter.com/optioncharts/status/1111700603045064704
;2019-03-29 18:18;0;1;"https://bit.ly/2NEzhWs < A Millionaire WOMAN trader!!!!! $ PYPL $ CGC $ SQ";;;;"1111694058303442944";https://twitter.com/Sw1ng_Trader/status/1111694058303442944
;2019-03-29 18:02;0;0;"$ GE $ PYPL Wirecard Compliance Executive Is Said to Have Left the Company via http://www.hvper.com/?ref=s";;;;"1111689984615088128";https://twitter.com/finzine/status/1111689984615088128
