username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-03-29 22:59;0;2;"Today 36 stocks have entered an uptrend and 9 stocks have entered a downtrend. Among the new uptrends are: $ AAL $ ARNC $ CNP $ DAL $ GILD $ GPS $ LUV $ UNP $ UPS $ VIAB 38.3% of stocks in the $ SPX index are currently in an uptrend.http://cartadomago.com/spx-macd-radar/";;;;"1111764729477902337";https://twitter.com/spxmacdradar/status/1111764729477902337
;2019-03-29 21:55;0;0;"$ UNP has crossed above is 200 day moving average & bounced off it while its relative performance continues in an uptrend. $ UNP is a buy. — Robert Sluymer, Fast Money 3/28/19 # TradersEdge # TechnicalAnalysispic.twitter.com/FW4tHgmNrO";;;# #;"1111748717630107648";https://twitter.com/Flower_Power_67/status/1111748717630107648
;2019-03-29 21:50;0;1;"16 March UPDATE Video on @ PBratbyOfficial 5 # HotStocks for 2019, Locked in more Profits on $ COST, New # Trading Setup for $ UNP! Watch latest Video >>HERE>>> http://ow.ly/ddez30oe0PI pic.twitter.com/h3Lms0eYOq";;@;# #;"1111747378099507200";https://twitter.com/mytradingbuddy/status/1111747378099507200
;2019-03-29 21:38;0;0;"$ UNP: Lower Rail Volumes Indicate Sluggish Demand But Not A Recession: https://www.StockNewsWires.com/unp-lower-rail-volumes-indicate-sluggish-demand-but-not-a-recession/ …";;;;"1111744356359327744";https://twitter.com/newswelldone/status/1111744356359327744
;2019-03-29 21:36;1;1;"$ UNP Lower Rail Volumes Indicate Sluggish Demand But Not A Recession - http://tinyurl.com/y64m7bm9";;;;"1111743850844950529";https://twitter.com/BenzingaMedia/status/1111743850844950529
;2019-03-29 20:13;0;0;"Analysts See $2.02 EPS for Union Pacific $ UNP; Echo Street Capital Management Lowered Its Intuit $ INTU Stakehttps://hinewulm.com/2019/03/29/analysts-see-2-02-eps-for-union-pacific-unp-echo-street-capital-management-lowered-its-intuit-intu-stake/ …";;;;"1111723158258753536";https://twitter.com/UlmHi/status/1111723158258753536
;2019-03-29 20:05;0;0;"United Technologies $ UTX Shares Rose While Valmark Advisers Lowered Its Holding; Anderson Hoagland & Co Stake in Union Pacific $ UNP Has Trimmed as Market Valuation Rose https://whatsonthorold.com/2019/03/29/united-technologies-utx-shares-rose-while-valmark-advisers-lowered-its-holding-anderson-hoagland-co-stake-in-union-pacific-unp-has-trimmed-as-market-valuation-rose/ …";;;;"1111721028672204802";https://twitter.com/whatsonthorold2/status/1111721028672204802
;2019-03-29 20:02;0;0;"Sloane Robinson Llp Trimmed Baidu $ BIDU Holding by $9.45 Million; Stock Declined; Union Pac $ UNP Holding Has Increased by Santa Barbara Asset Management Llc https://finreviewer.com/2019/03/29/sloane-robinson-llp-trimmed-baidu-bidu-holding-by-9-45-million-stock-declined-union-pac-unp-holding-has-increased-by-santa-barbara-asset-management-llc/ …";;;;"1111720384905310209";https://twitter.com/thefinreviewer/status/1111720384905310209
;2019-03-29 19:58;0;0;"As Altria Group $ MO Stock Value Declined, Wetherby Asset Management Has Trimmed by $444,871 Its Stake; Union Pac Com $ UNP Holder First National Bank Of Omaha Lowered Holding as Share Price Rose https://reurope.com/2019/03/29/as-altria-group-mo-stock-value-declined-wetherby-asset-management-has-trimmed-by-444871-its-stake-union-pac-com-unp-holder-first-national-bank-of-omaha-lowered-holding-as-share-price-rose/ …";;;;"1111719276707278855";https://twitter.com/reurope_stock/status/1111719276707278855
;2019-03-29 19:55;0;0;"Union Pacific Corp. $ UNP Market Value Rose While Peloton Wealth Strategists Has Lowered Its Stake; Shaw Communications $ SJR Holder Highstreet Asset Management Has Cut Its Holding as Stock Price Rose https://finexaminer.com/2019/03/29/union-pacific-corp-unp-market-value-rose-while-peloton-wealth-strategists-has-lowered-its-stake-shaw-communications-sjr-holder-highstreet-asset-management-has-cut-its-holding-as-stock-price-ros/ …";;;;"1111718532277063680";https://twitter.com/thefinreviewer/status/1111718532277063680
