username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-03-29 23:40;0;0;"Who’s the Manchester rep? We’re fitting Honeywell on pretty much every job. X";;;;"1111775188100829185";https://twitter.com/morrishgp/status/1111775188100829185
;2019-03-29 23:26;0;1;"I did my flight training and renting of airplanes with Mike and Maureen, first class people.";;;;"1111771720514498561";https://twitter.com/flyace/status/1111771720514498561
;2019-03-29 23:25;0;1;"";;;;"1111771298190028800";https://twitter.com/TaurusGemini7/status/1111771298190028800
;2019-03-29 23:24;0;0;"Honeywell International Inc. $ HON Receives $165.34 Average PT from Analystshttp://zpr.io/gyahM";;;;"1111771074356748294";https://twitter.com/ConsumerFeed/status/1111771074356748294
;2019-03-29 23:23;0;0;"Traders Sell Honeywell International $ HON on Strength $ HONhttp://tickerreport.com/?p=4258430";;;;"1111770929984663554";https://twitter.com/TickerReport/status/1111770929984663554
;2019-03-29 23:22;0;0;"Investors Sell Shares of Honeywell International $ HON on Strength $ HONhttp://www.dailypolitical.com/?p=2826444";;;;"1111770613436334080";https://twitter.com/dailypoliticaln/status/1111770613436334080
;2019-03-29 23:10;0;0;"New Honeywell M436A 1116 M436A1116 2-Pos Damper Actuator Motor Free Shipping http://arianrhodw.firefeuer.info/US/categories/twt/?id=http://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10039&campid=5337797091&item=283434524584&vectorid=229466&lgeo=1 …";;;;"1111767592795074560";https://twitter.com/TerrificCrafts/status/1111767592795074560
;2019-03-29 23:07;0;0;"@ WILDsgtDOOM";;@;;"1111766889783541760";https://twitter.com/Leahy_M82/status/1111766889783541760
;2019-03-29 23:04;0;0;"HONEYWELL MOBILITY CT60-L1N-ASC210F CT60 ANDROID 7.1.1 WWAN 802.11 - Free ship coupons Promotions CAD2122.26. Best deals Consumer Electronics->Wholesale Lots->PDAs & Pocket PCs. Shopping search engine https://oc2o.com/en/sales/honeywell-mobility-ct60-l1n-asc210f-android-wwan-802-free-ship/273660216426 …";;;;"1111766138604666882";https://twitter.com/on2offline/status/1111766138604666882
;2019-03-29 23:01;0;0;"# HONEYWELL # CONTACTORES # TRANSFORMADORES # FANRELAY # FILTROSABSOLUTOS # REFRIGERATION TENEMOS LA LINEAS COMPLETA DE # HONEYWELL EN COMPONENTES ELÉCTRICOS PARA VZLA 001 3055149690 tesyreimexusa2@gmail.com pedir precios por este medios # tesyreimexpic.twitter.com/ir2WQfAChQ";;@gmail;# # # # # # # #;"1111765375685791744";https://twitter.com/texcompras35/status/1111765375685791744
;2019-03-29 22:59;0;0;"Honeywell's RM7897A1002 is a microprocessor-based integrated full-function primary burner control for automatically fired gas, oil, or combination fuel single burner applications. # HVAC # Honeywell # Burner http://bit.ly/2IA78T9";;;# # #;"1111764973024235520";https://twitter.com/Controlco_USA/status/1111764973024235520
;2019-03-29 22:56;0;0;"Geode Capital Management Holding in Investors Real Estate Trust (IRET) Has Raised by $426,730 as Valuation Declined; Sva Plumb Wealth Management Has Upped Position in Honeywell International (HON) by $915,822 - The FinHeadLines http://realestate.rent?h=b2643b86e442e7drealestate.rent/?h=b2643b86e44 … # PropertyNews # SouthAfrica";;;# #;"1111764197048807425";https://twitter.com/10antsRent/status/1111764197048807425
;2019-03-29 22:50;1;0;"# REFRIGERATIONTrabajando ando! # hvac # hvaclife # hvactools # hvactechnician # work # working # mastercool # tecumseh # honeywell # refrigeration # mountains # royalmfgusa # california # venezuela # acarigua # fremontpic.twitter.com/muSWtH7eAz";;;# # # # # # # # # # # # # # # # #;"1111762513287208962";https://twitter.com/texcompras35/status/1111762513287208962
;2019-03-29 22:32;0;8;"Loving this project! # knight_vision2pic.twitter.com/xJc8Bmwp7k";;;#;"1111758013193469959";https://twitter.com/honeywellg/status/1111758013193469959
;2019-03-29 22:30;0;3;"Lent in a box.pic.twitter.com/rxRtngI1bT";;;;"1111757457141968898";https://twitter.com/honeywellg/status/1111757457141968898
;2019-03-29 22:22;0;0;"シャドウバース攻略まとめアンテナ「HONEYWELL SCANNER 2020-5 DRIVER DOWNLOAD」 http://bit.ly/2OyBoNI # シャドウバース # シャドバ";;;# #;"1111755530257592321";https://twitter.com/shadoverseante/status/1111755530257592321
;2019-03-29 22:21;0;0;"HONEYWELL SCANNER 2020-5 DRIVER DOWNLOAD https://goo.gl/dyMqYJ";;;;"1111755231958720512";https://twitter.com/shadowverse_atn/status/1111755231958720512
;2019-03-29 22:17;0;0;"Honeywell products, good brand, good quality. http://mmsns.qpic.cn/mmsns/pKuSeMf5pico5GIbxhYt0oatMns2PIr5n16SGnnfA3gWz3skqYlJYY5MSW7ppibcqBBM1XaeS9QFM/0 …";;;;"1111754380217368576";https://twitter.com/skfurnace/status/1111754380217368576
;2019-03-29 22:15;0;0;"The @ honeywell Fire Alarm Detector Connect to your home to see if it’s still there. pic.twitter.com/YQIc8Bwl6r";;@;;"1111753765680484352";https://twitter.com/DeVereJohn/status/1111753765680484352
;2019-03-29 22:00;0;0;"@ snellzilla4";;@;;"1111749891238309888";https://twitter.com/Catfish_Gilly/status/1111749891238309888
;2019-03-29 21:45;0;0;"Honeywell Air Touch-P (White) https://www.maxicount.in/shop/home-and-kitchen/honeywell-air-touch-p-white/ …pic.twitter.com/pryJctIwLD";;;;"1111746327258386432";https://twitter.com/maxicountin/status/1111746327258386432
;2019-03-29 21:45;0;0;"Honeywell Air Touch-P (White) https://www.maxicount.in/shop/home-and-kitchen/honeywell-air-touch-p-white/ …pic.twitter.com/RI230WbK3m";;;;"1111746282316398592";https://twitter.com/maxicountin/status/1111746282316398592
;2019-03-29 21:43;0;0;"Honeywell Is Hiring Sales Professionals! https://lnkd.in/e6uH9g9";;;;"1111745711064911873";https://twitter.com/RobertaJBowens/status/1111745711064911873
;2019-03-29 21:42;0;8;"Thank you for a very informative talk for our 6th Form pupils about the wide-ranging roles available for employees of Vale of Glamorgan Council. @ VOGCouncil @ PencoedtreHS @ PencoedtreHead @ BHWBSixthFormpic.twitter.com/g5XcteRiTR";;@ @ @ @;;"1111745426418475008";https://twitter.com/Barry6thPH/status/1111745426418475008
;2019-03-29 21:41;0;1;"Fabulous!https://twitter.com/anitrangugi/status/1111618918525952001 …";;;;"1111745097207566336";https://twitter.com/dshoneywell/status/1111745097207566336
;2019-03-29 21:31;0;0;"AMERICAS AVIATION - 2014 Gulfstream 650 - Honeywell Plane View II Avionics Suite. Acesse o Portal https://lnkd.in/d4navPm https://lnkd.in/dJhxf3c";;;;"1111742727979450373";https://twitter.com/americasavia/status/1111742727979450373
;2019-03-29 21:26;0;0;"Awesome to be part of the # honeywell partner community in ASEAN ANZ https://lnkd.in/fuq29Sa";;;#;"1111741422959501312";https://twitter.com/richardnetsuite/status/1111741422959501312
;2019-03-29 21:16;0;1;"I wanted to work all weekend but today I give up, I'll try again tomorrow pic.twitter.com/fMZcOZNMV7";;;;"1111738985011912706";https://twitter.com/giltesa/status/1111738985011912706
;2019-03-29 21:16;0;0;"Honeywell Lite Indoor HAC20M1000W (Snow White) https://www.maxicount.in/shop/home-and-kitchen/honeywell-lite-indoor-hac20m1000w-snow-white/ …pic.twitter.com/xkZYDRPtFJ";;;;"1111738842405470208";https://twitter.com/maxicountin/status/1111738842405470208
;2019-03-29 21:16;0;0;"Honeywell Lite Indoor HAC20M1000W (Snow White) https://www.maxicount.in/shop/home-and-kitchen/honeywell-lite-indoor-hac20m1000w-snow-white/ …pic.twitter.com/d8uNZnisp8";;;;"1111738802102398976";https://twitter.com/maxicountin/status/1111738802102398976
;2019-03-29 21:15;0;0;"Compatible Honeywell Air Touch HCMF30M0013 Compound Filter with HEPA and HiSiv -I8 Model https://www.maxicount.in/shop/appliances/heating-cooling-air-quality-home-kitchen-pets/air-purifiers/compatible-honeywell-air-touch-hcmf30m0013-compound-filter-with-hepa-and-hisiv-i8-model/ …pic.twitter.com/5VbtZowEd1";;;;"1111738638696497153";https://twitter.com/maxicountin/status/1111738638696497153
;2019-03-29 21:11;0;0;"Challenger 350, New to Market, One Corporate Owner Since New, Honeywell SB's 72-9080 and 72-9045 Completed, FANS 1/A+/CPDLC/ADS-C, Transferable Warranties, Airframe on Smart Parts Preferred, Engines & APU on MSP Gold, on CAMP # Bombardier # bizav # avgeekhttps://www.globalair.com/aircraft-for-sale/ListingDetail/Challenger?AdId=87536 …";;;# # #;"1111737745905541127";https://twitter.com/aircraftseller/status/1111737745905541127
;2019-03-29 21:10;1;1;"Honeywell should not have been given a fucking reward for "cleaning up" Onondaga Lake. They bought the company that polluted it for 100 years. That's like burning someone's house down and rebuilding a shed for them";;;;"1111737521845792769";https://twitter.com/Secondfh/status/1111737521845792769
;2019-03-29 21:08;2;9;"Our Falcon 900EX flew to South America for an exclusive JetWave™ demo tour. # WifiThatFlies Learn more » https://hwll.co/f2nbm pic.twitter.com/uAH2nZjnbb";;;#;"1111736818138079232";https://twitter.com/Honeywell_Aero/status/1111736818138079232
;2019-03-29 21:06;0;0;"Compatible Honeywell Air Touch HCMF30M0013 Compound Filter with HEPA and HiSiv -I8 Model https://www.maxicount.in/shop/appliances/heating-cooling-air-quality-home-kitchen-pets/air-purifiers/compatible-honeywell-air-touch-hcmf30m0013-compound-filter-with-hepa-and-hisiv-i8-model/ …pic.twitter.com/JuM0nf5tGu";;;;"1111736346064805888";https://twitter.com/maxicountin/status/1111736346064805888
;2019-03-29 21:05;0;0;"Descubre el Mejor Nivel de Seguridad que solo los Sistemas de Alarma # HONEYWELL te pueden ofrecer. Los mejores productos de seguridad electrónica solo en Bsai Seguridad y Controles. https://bsaiseguridadycontroles.com.mx/search?type=article%2Cpage%2Cproduct&q=HONEYWELL%2A+VISTA&fbclid=IwAR0iMv84NxTkRei3EzPJo8uw9Cuc0du2zqvG3MipRwHo6dSVqmH2s3V_Pbg …pic.twitter.com/q5EorDO2p5";;;#;"1111736192767324161";https://twitter.com/Bsaiseguridad/status/1111736192767324161
;2019-03-29 21:05;0;0;"Honeywell Air Touch A5 HCMF25M0012 Compound Filter with HEPA and Activated Carbon (Black) Compatible https://www.maxicount.in/shop/appliances/heating-cooling-air-quality-home-kitchen-pets/air-purifiers/honeywell-air-touch-a5-hcmf25m0012-compound-filter-with-hepa-and-activated-carbon-black-compatible/ …pic.twitter.com/8YHIx6ixf7";;;;"1111736185334849536";https://twitter.com/maxicountin/status/1111736185334849536
;2019-03-29 20:57;0;0;"didnt they put mics in those things without anyone knowing?";;;;"1111734195481649153";https://twitter.com/SKREENAGER/status/1111734195481649153
;2019-03-29 20:57;0;1;"Newsletter - 29th March 2019 - https://mailchi.mp/e10eac1edf20/8thptfanewsletter-1482857 …";;;;"1111734035645190144";https://twitter.com/HoneywellPTFA/status/1111734035645190144
;2019-03-29 20:36;0;0;"UTC and Honeywell sued for telemarketing violations – and prevail March 22, 2018 - via @ MyBizMailer";;@;;"1111728919655284736";https://twitter.com/MyBizMailer/status/1111728919655284736
;2019-03-29 20:35;1;0;"# FireAlarms # HomeFireAlarms Honeywell XC70 Carbon Monoxide Detector Alarm - Bnib 7 Yr Guar (Replaces H450EN) - http://bit.ly/2TbyQag";;;# #;"1111728523163680770";https://twitter.com/CCTVCamUK/status/1111728523163680770
;2019-03-29 20:30;0;0;"Ending the week in the best damn way.pic.twitter.com/msvE6JLZ5y";;;;"1111727260581675009";https://twitter.com/TheHoneywellNYC/status/1111727260581675009
;2019-03-29 20:30;0;2;"New to market - 2008 # Bombardier # Global # XRS at @ JetcraftCorp Engines enrolled on Rolls-Royce CorporateCare APU enrolled on Honeywell MSP More details at: http://ow.ly/hHdd30ofFFd # bizjet # bizav # aircraftforsale # privatejet # privateflying # jetforsale # businessaviationpic.twitter.com/GAaXOw0Gdi";;@;# # # # # # # # # #;"1111727257842794502";https://twitter.com/leader_luxury/status/1111727257842794502
;2019-03-29 20:26;2;2;"Honeywell Lane (Oldham) by Cliff Murphy, £155 https://thehawthorngallery.co.uk/cliff-murphy/honeywell-lane-oldham … # AshtonUnderLyne # Hydepic.twitter.com/9toO3CqDmh";;;# #;"1111726457410252807";https://twitter.com/HawthornGallery/status/1111726457410252807
;2019-03-29 20:25;0;0;"Honeywell Air Touch i8 42-Watt Air Purifier https://www.maxicount.in/shop/home-and-kitchen/honeywell-air-touch-i8-42-watt-air-purifier/ …pic.twitter.com/M3gLntrche";;;;"1111726180732817409";https://twitter.com/maxicountin/status/1111726180732817409
;2019-03-29 20:17;0;4;"Omfg";;;;"1111723962512244737";https://twitter.com/hypatiadotca/status/1111723962512244737
;2019-03-29 20:16;0;0;"Honeywell Move Pure (Bold Black) https://www.maxicount.in/shop/car-and-motorbike/honeywell-move-pure-bold-black/ …pic.twitter.com/xDgJPIWRyh";;;;"1111723834715996160";https://twitter.com/maxicountin/status/1111723834715996160
;2019-03-29 20:16;0;0;"Honeywell Move Pure (Bold Black) https://www.maxicount.in/shop/car-and-motorbike/honeywell-move-pure-bold-black/ …pic.twitter.com/7GvfeTCIBp";;;;"1111723790449278976";https://twitter.com/maxicountin/status/1111723790449278976
;2019-03-29 20:08;0;0;"As Honeywell Intl $ HON Market Value Rose, Woodmont Investment Counsel Boosted Its Position; As J P Morgan Chase $ JPM Share Value Declined, Boyd Watterson Asset Management Decreased by $374,905 Its Stake https://finreviewer.com/2019/03/29/as-honeywell-intl-hon-market-value-rose-woodmont-investment-counsel-boosted-its-position-as-j-p-morgan-chase-jpm-share-value-declined-boyd-watterson-asset-management-decreased-by-374905-its-s/ …";;;;"1111721804555603968";https://twitter.com/thefinreviewer/status/1111721804555603968
;2019-03-29 20:04;0;0;"Fiduciary Management Position in Anixter Int'l. $ AXE Has Lowered as Market Valuation Declined; Honeywell Intl $ HON Holder Arvest Trust Company Has Boosted Position by $670,692 as Stock Value Rosehttps://www.mmahotstuff.com/2019/03/29/fiduciary-management-position-in-anixter-intl-axe-has-lowered-as-market-valuation-declined-honeywell-intl-hon-holder-arvest-trust-company-has-boosted-position-by-670692-as-stock-value-rose.html …";;;;"1111720782957330432";https://twitter.com/mmahotstuff1/status/1111720782957330432
;2019-03-29 20:03;0;1;"For soonest impact it would be Hiura and Lowe/Honeywell.";;;;"1111720622093160449";https://twitter.com/EricCross04/status/1111720622093160449
;2019-03-29 20:03;0;0;"Brt Apartments $ BRT Position Upped by Oppenheimer & Close Llc; As Estee Lauder Companies $ EL Stock Value Rose, Honeywell International Has Trimmed Its Position by $5.17 Million https://finexaminer.com/2019/03/29/brt-apartments-brt-position-upped-by-oppenheimer-as-estee-lauder-companies-el-stock-value-rose-honeywell-international-has-trimmed-its-position-by-5-17-million/ …";;;;"1111720472671109120";https://twitter.com/thefinreviewer/status/1111720472671109120
;2019-03-29 20:03;0;0;"As Simon Ppty Group New $ SPG Market Value Declined, Holder Green Street Investors Decreased Its Stake by $2.29 Million; Honeywell International Has Raised Walt Disney Co $ DIS Position by $2.20 Million https://www.mmahotstuff.com/2019/03/29/as-simon-ppty-group-new-spg-market-value-declined-holder-green-street-investors-decreased-its-stake-by-2-29-million-honeywell-international-has-raised-walt-disney-co-dis-position-by-2-20-milli.html …";;;;"1111720454568460288";https://twitter.com/mmahotstuff1/status/1111720454568460288
;2019-03-29 20:01;0;0;"Sign up and hear from 10 startups serving NASA, Airbus, Bentley, Honeywell, DJI, etc. to see the latest innovative and disruptive manufacturing solutions leveraging blockchain, IoT, AI, drone operations, etc. (https://bit.ly/2Fr2GS8 )pic.twitter.com/YXN8iPmhYB";;;;"1111719956142534656";https://twitter.com/DiegoTamburini/status/1111719956142534656
;2019-03-29 20:00;0;1;"Finemark National Bank & Trust Has Upped Honeywell Intl $ HON Stake By $462,264; BACTECH ENVIRONMENTAL ORDINARY SHAR $ BCCEF Shorts Down By 56.28% https://finreviewer.com/2019/03/29/finemark-national-bank-bactech-environmental-ordinary-shar-bccef-shorts-down-by-56-28/ …";;;;"1111719830934245376";https://twitter.com/thefinreviewer/status/1111719830934245376
