username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-03-29 23:54;3;7;"Rail service is occurring during late-night hours on the Union Pacific Railroad, through Downtown SJ neighborhoods disrupting the sleep of our residents. We are exploring all possibilities to restore the peace and quite our residents need. Read the memo below # sjd3pic.twitter.com/9CUoxzBPl3";;;#;"1111778715808096256";https://twitter.com/D3SanJose/status/1111778715808096256
;2019-03-29 23:52;0;0;"We apologize for the inconvenience. Track change information was not provided by Union Pacific. ^AP";;;;"1111778300496613382";https://twitter.com/Metrolink/status/1111778300496613382
;2019-03-29 23:50;0;0;"Union Pacific Corporation (NYSE:UNP) - Lower Rail Volumes Indicate Sluggish Demand But Not A Recession http://feeds.benzinga.com/~r/benzinga/general/~3/usnAMEwYySE/lower-rail-volumes-indicate-sluggish-demand-but-not-a-recession ….";;;;"1111777587985031168";https://twitter.com/vestywaves/status/1111777587985031168
;2019-03-29 22:57;0;0;"Abe Lincoln founded Union Pacific but nare founded his roblox account";;;;"1111764399650299904";https://twitter.com/Nare_xbot/status/1111764399650299904
;2019-03-29 22:53;0;1;"Big changes happening @ UnionPacific Hinkle yard that will have a significant impact to members of our community. Comm PR rep from UP, Aaron Hunt reached out today to give update. Look for more in @ EastOregonian. Change in tech/demands have caused a RIF. But not going away!";;@ @;;"1111763460700823552";https://twitter.com/MayorDrotz/status/1111763460700823552
;2019-03-29 22:25;0;1;"There's a decent sized Union Pacific yard downtown with a road overbridge handily located nearby!";;;;"1111756179888369664";https://twitter.com/Suburban_Jogger/status/1111756179888369664
;2019-03-29 22:12;0;0;"It is 9 hours after the incident on a separate line and Union Pacific has still not gotten back on schedule? Do they not have plans for getting back on time?";;;;"1111752929290137603";https://twitter.com/NorthlandAl/status/1111752929290137603
;2019-03-29 21:29;0;0;"Fantastic work!";;;;"1111742140290347008";https://twitter.com/StoptheBleedSTL/status/1111742140290347008
;2019-03-29 21:21;0;0;"The railroad crossings at Dixie and Muskingum will be closed tonight from midnight to 5 a.m. for work to be performed by Union Pacific contractors.";;;;"1111740139754213376";https://twitter.com/CityofOdessa/status/1111740139754213376
;2019-03-29 21:15;0;0;"**UPDATE: Union Pacific will be keeping the NSL Main Street railroad crossing closed until tomorrow (Saturday) at noon.** pic.twitter.com/s3JjgIy9Of";;;;"1111738657512148992";https://twitter.com/nslchat/status/1111738657512148992
;2019-03-29 21:05;0;0;"Reminder! 24th St is closed at @ UnionPacific tracks this weekend for repaving of the crossing. Crews hope to finish this weekend, but watch here for updates. Use detour or alt routes. Access still available to Subway, Branks & adjacent businesses. pic.twitter.com/fhADeTKSiP";;@;;"1111736070390145024";https://twitter.com/CityOfSumnerWA/status/1111736070390145024
;2019-03-29 21:03;0;0;"Union Pacific Corp (UNP) price at close, 2019-03-29, is 166.955. *I am not a broker.";;;;"1111735703518486528";https://twitter.com/RailYardHobo/status/1111735703518486528
;2019-03-29 20:58;0;0;"Union Pacific and that amazing starter of the tiny Taylor Bay Scallops & Uni https://twitter.com/hels/status/1111602802667802624 …";;;;"1111734275227828224";https://twitter.com/htraeger/status/1111734275227828224
;2019-03-29 20:28;3;5;"Good news for @ Amtrak @ MoRiverRunner & # CaliforniaZephyr customers in MO, CO, NE and IA, with thanks to @ UnionPacific and @ BNSFRailway. http://bit.ly/2CJ4uoM https://lnkd.in/e8rAjCe";;@ @ @ @;#;"1111726731797430272";https://twitter.com/AmtrakMM/status/1111726731797430272
;2019-03-29 20:13;0;0;"Analysts See $2.02 EPS for Union Pacific $ UNP; Echo Street Capital Management Lowered Its Intuit $ INTU Stakehttps://hinewulm.com/2019/03/29/analysts-see-2-02-eps-for-union-pacific-unp-echo-street-capital-management-lowered-its-intuit-intu-stake/ …";;;;"1111723158258753536";https://twitter.com/UlmHi/status/1111723158258753536
;2019-03-29 20:05;0;0;"United Technologies $ UTX Shares Rose While Valmark Advisers Lowered Its Holding; Anderson Hoagland & Co Stake in Union Pacific $ UNP Has Trimmed as Market Valuation Rose https://whatsonthorold.com/2019/03/29/united-technologies-utx-shares-rose-while-valmark-advisers-lowered-its-holding-anderson-hoagland-co-stake-in-union-pacific-unp-has-trimmed-as-market-valuation-rose/ …";;;;"1111721028672204802";https://twitter.com/whatsonthorold2/status/1111721028672204802
;2019-03-29 19:55;0;0;"Union Pacific Corp. $ UNP Market Value Rose While Peloton Wealth Strategists Has Lowered Its Stake; Shaw Communications $ SJR Holder Highstreet Asset Management Has Cut Its Holding as Stock Price Rose https://finexaminer.com/2019/03/29/union-pacific-corp-unp-market-value-rose-while-peloton-wealth-strategists-has-lowered-its-stake-shaw-communications-sjr-holder-highstreet-asset-management-has-cut-its-holding-as-stock-price-ros/ …";;;;"1111718532277063680";https://twitter.com/thefinreviewer/status/1111718532277063680
;2019-03-29 19:43;0;0;"Tiverton Asset Management Has Increased Its Union Pacific $ UNP Stake by $9.18 Million; Valuation Rose; http://Amazon.Com $ AMZN Shareholder Herald Investment Management LTD Has Decreased Position by $1.50 Millionhttps://reurope.com/2019/03/29/tiverton-asset-management-has-increased-its-union-pacific-unp-stake-by-9-18-million-valuation-rose-amazon-com-amzn-shareholder-herald-investment-management-ltd-has-decreased-position-by-1-50-m/ …";;;;"1111715424390004736";https://twitter.com/reurope_stock/status/1111715424390004736
;2019-03-29 19:42;0;0;"As Union Pacific $ UNP Stock Rose, Next Century Growth Investors Has Trimmed Its Position by $1.77 Million; As Pioneer Nat Res Co $ PXD Share Value Declined, Two Creeks Capital Management LP Has Decreased Stake https://reurope.com/2019/03/29/as-union-pacific-unp-stock-rose-next-century-growth-investors-has-trimmed-its-position-by-1-77-million-as-pioneer-nat-res-co-pxd-share-value-declined-two-creeks-capital-management-lp-has-decre/ …";;;;"1111715285206269953";https://twitter.com/reurope_stock/status/1111715285206269953
;2019-03-29 19:40;0;0;"We need to have a railroad history theme, or a transportation theme. Surely you could get one of the major Class 1 RRs ( @ nscorp, @ CSX, @ UnionPacific, @ BNSFRailway, or @ Amtrak), or one of many heritage organizations, to sponsor.";;@ @ @ @ @;;"1111714671952842752";https://twitter.com/trainzman54/status/1111714671952842752
;2019-03-29 19:39;0;0;"Marshfield Associates Increased Union Pacific $ UNP Stake by $992,358; Market Value Rose; Connable Office Has Increased Its Danaher $ DHR Position by $888,787; Share Price Rosehttps://www.mmahotstuff.com/2019/03/29/marshfield-associates-increased-union-pacific-unp-stake-by-992358-market-value-rose-connable-office-has-increased-its-danaher-dhr-position-by-888787-share-price-rose.html …";;;;"1111714400224858113";https://twitter.com/mmahotstuff1/status/1111714400224858113
;2019-03-29 18:58;0;0;"http://42stocks.com/2019/03/29/notable-gains-union-pacific-nyseunp-2/ … $ UNP Union Pacific # UnionPacific up 1.1% = $1.3 billion gain. At $119.4 billion marketCap, UNP represents 35.3% of the $338.4 billion # NASDAQ/ # NYSE # railroads industry. # stockmarket # stocks # trading # market";;;# # # # # # # #;"1111704243680014336";https://twitter.com/42Stocks/status/1111704243680014336
;2019-03-29 18:25;0;0;"Why Union Pacific Builds Its Own Tech - InformationWeek http://www.informationweek.com/global-cio/interviews/why-union-pacific-builds-its-own-tech/240004932 … vía @ InformationWeek";;@;;"1111695819521118214";https://twitter.com/fedeweinhold87/status/1111695819521118214
;2019-03-29 18:00;0;0;"If You Are A Union Pacific Shareholder, You Should Read This https://www.forbes.com/sites/erikkobayashisolomon/2017/04/12/if-you-are-a-union-pacific-shareholder-you-should-read-this/ … From Discover on Google";;;;"1111689643827834880";https://twitter.com/Elizabe32394558/status/1111689643827834880
;2019-03-29 17:25;0;0;"Investors Sell Shares of Union Pacific $ UNP on Strength $ UNPhttp://weekherald.com/?p=3612388";;;;"1111680814671118340";https://twitter.com/WeekHerald/status/1111680814671118340
;2019-03-29 17:22;0;0;"Investors Sell Shares of Union Pacific $ UNP on Strength $ UNP http://thelincolnianonline.com/?p=2805927";;;;"1111679956617179148";https://twitter.com/ThisLincolnian/status/1111679956617179148
;2019-03-29 17:07;0;0;"Metra does not dispatch or dictate train movements on Union Pacific's rail lines. Train 642 will be the next train stopping at Arlington Heights.";;;;"1111676314866667521";https://twitter.com/Metra/status/1111676314866667521
