username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-03-04 21:11;3;1;"Highlight: The big gainers within the Dow today were $ DWDP, $ INTC, $ CAT, $ KO, and $ AAPL, @ scottgamm reports from the @ NYSE. "That's quite an eclectic list and suggests that perhaps the market doesn't know where to go next," he says. http://finance.yahoo.com/ pic.twitter.com/FdV2RM9Ls7";;@ @;;"1102678027341721600";https://twitter.com/YahooFinance/status/1102678027341721600
;2019-03-04 20:52;0;0;"Very impressive action in $ dwdp today.";;;;"1102673236985286662";https://twitter.com/Value_equity/status/1102673236985286662
;2019-03-04 20:31;0;5;"# ppt buying $ FB $ AAPL $ DWDP $ KO to hold the markets";;;#;"1102667882654326784";https://twitter.com/CapitalPrivate1/status/1102667882654326784
;2019-03-04 18:59;0;1;"Sold 55 $ DWDP 55C next week. .3487 -> .44";;;;"1102644857951145984";https://twitter.com/DipBuying/status/1102644857951145984
;2019-03-04 18:28;0;0;"$ DWDP Max Pain is 55.00 for maturity 03/08/2019. # maxpain # options http://maximum-pain.com/options/max-pain/DWDP …pic.twitter.com/oJCoM5ohMO";;;# #;"1102636952996724743";https://twitter.com/optioncharts/status/1102636952996724743
;2019-03-04 18:18;0;1;"Bto 3/15 $ dwdp $55 calls - UOA and conference Wednesday - maybe the break up is going to happen!!!";;;;"1102634345993523210";https://twitter.com/BEARINGT0N/status/1102634345993523210
;2019-03-04 17:48;0;0;"Sold my $ NLSN and bought some $ DWDP 55C here";;;;"1102626917071667205";https://twitter.com/DipBuying/status/1102626917071667205
;2019-03-04 17:33;0;2;"$ DWDP SPEC ACTION THERE AHEAD OF A CONFERENCE, LIKELY TIED TO THAT";;;;"1102623062506246144";https://twitter.com/WallStJesus/status/1102623062506246144
;2019-03-04 17:30;0;0;"$ DWDP Splitting into 3 parts. Common shares will give u three companiesin 3-6 months.15-20% upside .";;;;"1102622401836265474";https://twitter.com/Nitaalp1/status/1102622401836265474
;2019-03-04 17:23;0;0;"Dowdupont $ DWDP Technical Update https://goo.gl/fb/AZVHdM";;;;"1102620567885303808";https://twitter.com/marketcycles/status/1102620567885303808
;2019-03-04 16:47;0;0;"Well, bad time to buy $ dwdp but the other part is helping. https://twitter.com/value_equity/status/1101587855154008065 …";;;;"1102611566254612481";https://twitter.com/Value_equity/status/1102611566254612481
;2019-03-04 16:33;0;2;"$ DWDP DowDuPont call volume above normal and directionally bullish pic.twitter.com/E25tQyfCfy";;;;"1102608068704174080";https://twitter.com/mchaudhry82/status/1102608068704174080
;2019-03-04 16:23;0;0;"This will run on this news $ TER $ COP $ VNQ $ NBR $ BKD $ NRZ $ GPK $ MRK $ WBA $ XME $ VRX $ AQMS $ DISCK $ GSAT $ DWDP $ KIM $ INPX $ LBTYK $ SAN $ GSK $ COG $ DAL $ HPQ $ AES $ SDS $ FII $ LYG $ RAD $ AEO $ SPXL $ TPGE $ HBAN $ DWT $ MAS $ USB $ ATVI $ BUD $ UA $ FDC $ VEA $ BP $ VERhttps://twitter.com/oneoclockdrop/status/1102603265445847040 …";;;;"1102605483167215617";https://twitter.com/OneOClockDrop/status/1102605483167215617
;2019-03-04 16:12;0;0;"Plastic price drop pressuring chemicals companies? https://seekingalpha.com/news/3439416?source=ansh … $ DWDP, $ XOM, $ LYB, $ E, $ CVX, $ TOT, $ RDS.A, $ RDS.B, $ BASFY, $ LNXSY, $ HENKY, $ LNXSF, $ BFFAF, $ HELKF Great Dividend Stock BUY XOM and CVX!";;;;"1102602685927297024";https://twitter.com/pjl001/status/1102602685927297024
;2019-03-04 15:43;0;1;"$ NCAP 006!? 52WKH 06! Only 22 million FLOAT for a # MARIJUANA stock? # STOCKS # blockchain # Crypto # bitcoin # XRP # OTC # ico # startup $ TWTR $ DWDP $ PNC $ CVS $ BABA $ NIO $ TGT $ MER $ MGM $ TLRY $ CHK $ AMZN $ COST $ LULU $ YUM $ VRUS $ LDSR $ FB $ SQ $ VALE $ YELP $ TE $ PSSI $ JD $ BZUN $ XOM $ BP $ LQMT $ Cpic.twitter.com/LvYx67CZjU";;;# # # # # # # # #;"1102595342674079744";https://twitter.com/aaaamhim/status/1102595342674079744
;2019-03-04 15:33;0;0;"No trades yet for me. Missed the initial pop and just watching directions and consolidation. $ AAPL $ NFLX $ BA $ NVDA. Some of my core holding are up nice $ CAT $ INTC $ DWDP, and some down $ FCX $ FSLR";;;;"1102592800510656514";https://twitter.com/BolderTrades/status/1102592800510656514
;2019-03-04 15:03;0;3;"* SWEEPERS LEAN BULLISH OFF THE OPEN .. LAGGING TECH/FANG NAMES SEEING SOME OF THE EARLY BULL FLOW >> $ AMZN $ AAPL $ FB $ DWDP";;;;"1102585339263287296";https://twitter.com/WallStJesus/status/1102585339263287296
;2019-03-04 15:00;0;0;"50 DMA Resistance today: $ BND $ INDA $ AM $ MCF $ TNXP $ TX $ SPG $ ISR $ NEM $ DWDP $ ICPT $ TWO $ EYES $ EAT $ THM $ AMED $ XOG $ RARX ...https://swingtradebot.com/alerts/39-50-dma-resistance …";;;;"1102584562415226880";https://twitter.com/SwingTradeBot/status/1102584562415226880
;2019-03-04 14:41;0;5;"$ DWDP back in play.. last nights homework worked ...";;;;"1102579902597992448";https://twitter.com/TradeWithNinja/status/1102579902597992448
;2019-03-04 14:36;0;1;"Sold $ ea +50% and $ dwdp 200%! Nice start to the week!!";;;;"1102578659372736513";https://twitter.com/BEARINGT0N/status/1102578659372736513
;2019-03-04 14:30;0;0;"DowDuPont, Visa und American Express: Für diese Aktien wurden für.. https://news.stockpulse.de/de/news_19997296/ … $ AXP $ DWDP $0050B $0051B $ V";;;;"1102576975179382784";https://twitter.com/SpnStockpulse/status/1102576975179382784
;2019-03-04 13:37;0;0;"$ DWDP to Present a Corporate Overview at Upcoming Conference http://crweworld.com/symbol/DWDP";;;;"1102563807128281089";https://twitter.com/HottestStockNow/status/1102563807128281089
;2019-03-04 13:18;0;0;"$ DWDP $ XOM $ LYB - Plastic price drop pressuring chemicals companies?https://seekingalpha.com/news/3439416-plastic-price-drop-pressuring-chemicals-companies?source=tweet …";;;;"1102559047688114181";https://twitter.com/InvestSegunda/status/1102559047688114181
;2019-03-04 12:58;0;0;"$ DWDP $ XOM: Plastic price drop pressuring chemicals companies?: https://www.StockNewsWires.com/dwdp-xom-plastic-price-drop-pressuring-chemicals-companies/ …";;;;"1102553795446427648";https://twitter.com/NewsToDesk/status/1102553795446427648
;2019-03-04 12:49;0;0;"$ DWDP $ XOM $ LYB - Plastic price fall pressuring chemicals companies? https://seekingalpha.com/news/3439416-plastic-price-fall-pressuring-chemicals-companies?source=feed_f …";;;;"1102551734834982912";https://twitter.com/MarketCurrents/status/1102551734834982912
;2019-03-04 00:04;0;0;"ANALYZER: Sun Mar 03 21:04:39 ART 2019 $ DWDP has weekly WMA30 in phase 4.0 for SHORT Price -5.08% from WMA30. Last candles Green/Red";;;;"1102359162850295813";https://twitter.com/InsomniaCBot/status/1102359162850295813
