username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-03-04 23:20;0;0;"Monday session broke a green streak of 4 sessions. $ MCD # stocks https://stocks2.com/MCD";;;#;"1102710519033720832";https://twitter.com/stocks2_com/status/1102710519033720832
;2019-03-04 23:00;0;2;"$ SPY Support and Resistance (Pivots) for Mon 3/04/19: $ BABA $ JD $ JPM $ XOM $ MCD $ QCOM $ MU $ SBUX $ TWTR $ SPY $ QQQ $ IWM # stocks # pivots # markets # daytrading # watchlistpic.twitter.com/ro9PSSbdj1";;;# # # # #;"1102705502667096065";https://twitter.com/SpiderMan_3s/status/1102705502667096065
;2019-03-04 22:54;0;3;"Buybacks SHOULD be illegal. That capital should be provided to shareholders in the form of a DIVIDEND not a lower float. That way, ALL shareholders benefit EQUALLY. Buybacks overwhelmingly benefit shareholders with the MOST shares. Its UNFAIR. $ SPY $ SPX $ AMZN $ BABA $ SQ $ MCD $ FB";;;;"1102703934043496449";https://twitter.com/GotPennyStocks/status/1102703934043496449
;2019-03-04 22:48;0;1;"-50 Another losing day in the books - unfortunately didn't do as much as I could have with short market stuff..avoiding the big losing days is my goal this month, the rest will take care of itself. $ BPTH $ TSLA $ MCD $ BA $ IGC $ SPY $ COUP $ IWM $ CIFSpic.twitter.com/Cne67b4IyY";;;;"1102702445895942144";https://twitter.com/SendLlc/status/1102702445895942144
;2019-03-04 22:41;0;0;"Scan results - Stochastic Sell Signal today: $ PSTG $ ENB $ BKE $ NEWR $ FMC $ RP $ QTWO $ KSS $ NFE $ NTLA $ SCVL $ WVE $ ILMN $ FE $ ETFC $ MCD $ LAD $ HALO $ PTCT $ JWN ...https://swingtradebot.com/events/25-stochastic-sell-signal/equities?selected_date=2019-03-04 …";;;;"1102700611345285120";https://twitter.com/SwingTradeBot/status/1102700611345285120
;2019-03-04 21:34;0;5;"$ MCD was an all-day bloodbath, but the morning move in particular had VWAP in the driver's seat every step of the way. Opened just below the prior day VWAP and popped right into the declining resistance, rejected, and proceeded to ride the -1 dev band 3+ points before bottoming. pic.twitter.com/LYhj4m5dIw";;;;"1102683752990429186";https://twitter.com/TheVWAP/status/1102683752990429186
;2019-03-04 21:25;0;0;"As Mcdonald's Ord $ MCD Stock Value Rose, Everence Capital Management Trimmed by $507,680 Its Stake; First Mercantile Trust Co Has Decreased Ebay $ EBAY Position by $567,171https://yomiblog.com/2019/03/04/as-mcdonalds-ord-mcd-stock-value-rose-everence-capital-management-trimmed-by-507680-its-stake-first-mercantile-trust-co-has-decreased-ebay-ebay-position-by-567171/ …";;;;"1102681416599568389";https://twitter.com/BlogYomi/status/1102681416599568389
;2019-03-04 21:20;5;52;"“the perfect short”... here’s last nights video for our $ SPY trade. ENJOY! $ spx $ es_f $ nq_f $ amzn $ fb $ dedp $ mar $ mcd http://bit.ly/2VxBzes";;;;"1102680138473488390";https://twitter.com/TradeWithNinja/status/1102680138473488390
;2019-03-04 21:16;7;10;"Unusual Option Activity # UOA in $ MCD $ VIX & $ JBLU on @ TDANetwork with @ OJRenick. His support each weekend of $ MCD didn't help shares today! # Alldaybreakfast # Callspic.twitter.com/FNH9Egl7mp";;@ @;# # #;"1102679284739641345";https://twitter.com/TomWhite_TDAN/status/1102679284739641345
;2019-03-04 21:16;0;0;"Why McDonald’s and Domino’s better watch out for Wingstop $ MCD $ DPZ $ WING @ wingstophttps://yhoo.it/2EwJamH";;@;;"1102679162484084743";https://twitter.com/JorelLaraKalel/status/1102679162484084743
;2019-03-04 21:15;5;5;"Some of todays most active stock options 3.4.19 $ AAPL $ NIO $ BAC $ PCG $ BMY $ JD $ GE $ MCD $ FB $ NFLXpic.twitter.com/bZCKvwdgiY";;;;"1102679035539271680";https://twitter.com/UPBOptionMil/status/1102679035539271680
