username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-03-04 22:43;0;0;"Stryker Acquires Arrinex For Rhinitis Treatment Tech https://seekingalpha.com/article/4246275?source=ansh … $ SYK, $ CI, $ GSK, $ JNJ, $ MDT, $ MRK, $ SNY";;;;"1102701013151203328";https://twitter.com/CompoundFreedom/status/1102701013151203328
;2019-03-04 22:15;0;1;"$ BTAI Merck KGaA, Darmstadt, Germany, and Pfizer (PFE) joined its clinical collaboration with Nektar Therapeutics(NKTR) evaluating a novel triple combination therapy in pancreatic cancer. $ MRK $ NKTR $ PFE";;;;"1102693992892899328";https://twitter.com/MaisaCorp/status/1102693992892899328
;2019-03-04 21:53;0;0;"As Merck & Co $ MRK Valuation Rose, Tealwood Asset Management Raised by $506,800 Its Holding; Girard Partners LTD Holding in Fidelity Natl Information Svcs Com $ FIS Has Increased by $374,742 as Share Price Declinedhttps://finheadlines.com/2019/03/04/as-merck-girard-partners-ltd-holding-in-fidelity-natl-information-svcs-com-fis-has-increased-by-374742-as-share/ …";;;;"1102688521679224838";https://twitter.com/HeadlinesFin/status/1102688521679224838
;2019-03-04 21:47;0;1;"$ XOM $ ET $ CVX $ TSM $ TSN $ IBM $ AON $ MPC $ HCA $ GS $ ABT $ KMI $ HIG $ EL $ EPD $ PSX $ SLB $ COG $ HD $ MRK $ BRK $ DIS Largest MOC BUYSpic.twitter.com/oq5pqeQ1SN";;;;"1102687088992907264";https://twitter.com/TeresaTrades/status/1102687088992907264
;2019-03-04 21:30;1;0;"@ B3_MillerValue what are your thoughts on XON healthcare portfolio? $ XON $ GILD $ BMY $ MRK https://seekingalpha.com/article/4246250-intrexon-opportunity-lifetime-healthcare-assets-pipeline …";;@;;"1102682798354124800";https://twitter.com/ArjanSharma/status/1102682798354124800
;2019-03-04 21:26;0;0;"Biotech/HC New or revisited 52-Week Highs: $ ABT $ AMPH $ ARRY $ ASND $ ATRS $ BDSI $ BSX $ CDNA $ CHMA $ CSII $ DNLI $ GWPH $ HOLX $ HRC $ IMDZ $ HROW $ LLY $ MRK $ NSTG $ NVCR $ NVTA $ BHVN $ PDLI $ IQV $ QGEN $ QTNT $ QURE $ REGN $ SYK $ TFX $ VAR $ WMGI $ ZTS";;;;"1102681747119058944";https://twitter.com/redacre/status/1102681747119058944
;2019-03-04 21:18;3;3;"Solid day with $ jnsh. More updates coming. Big days ahead! $ unvc $ mrmd $ mrk $ cnab $ tlry $ cobi $ ottv $ cctl $ mfst $ ngbl $ ptah $ gawk $ atyg $ fb $ ko $ tsla $ ahix $ mrnj $ hpnn $ pxyn $ vizc $ efir $ icoa # pennystocks";;;#;"1102679853483081728";https://twitter.com/BeerBubbelah/status/1102679853483081728
;2019-03-04 21:16;0;2;"$ SPX # stocks $ CTL and $ CVS each put in new 52 week lows Monday while over 40 $ SPX companies put in new 52 week highs today. Largest by # marketcap include $ MA $ MRK $ ABT $ LLY $ TMO $ DHR $ AMT $ SYK $ INUT and $ BSX # trading";;;# # #;"1102679347700260864";https://twitter.com/TackleTrading/status/1102679347700260864
;2019-03-04 21:14;0;8;"$ PIRS do have their own checkpoint inhibitor from former $ MRK development partner and now defunct $ ENUMpic.twitter.com/7ciUVrI5x5";;;;"1102678816865046528";https://twitter.com/dhovekamp42/status/1102678816865046528
;2019-03-04 20:30;0;0;"Amgen $ AMGN Holding Held by Brighton Jones Llc; Merck & Co $ MRK Market Value Rose While Bourgeon Capital Management Cut Stake by $1.37 Million https://finexaminer.com/2019/03/04/amgen-amgn-holding-held-by-brighton-jones-llc-merck-co-mrk-market-value-rose-while-bourgeon-capital-management-cut-stake-by-1-37-million/ …";;;;"1102667660939145217";https://twitter.com/thefinreviewer/status/1102667660939145217
;2019-03-04 19:39;0;0;"$ NCAP down 70% last 2 days https://insiderfinancial.com/northsight-capital-inc-otcmktsncap-long-way/177860/amp/?__twitter_impression=true … $ NNRX $ AAPL $ GOOG $ INTC $ AMZN $ MSFT $ CMCSA $ PFE $ MU $ NFLX $ NOK $ XOM $ DIS $ HSY $ NVDA $ UNP $ BAC $ WMT $ CHK $ AKS $ VZ $ CTL $ FCX $ AMAT $ TSLA $ JPM $ WFT $ PTI $ BIDU $ MRK # bitcoin $ CLDX $ KGKG $ SIPC $ PSGR $ BLTA $ DECN $ COTE $ ANDI $ TVOG $ GOSYpic.twitter.com/Bo4OjPLS5W";;;#;"1102654841057361920";https://twitter.com/aaaamhim/status/1102654841057361920
;2019-03-04 19:19;0;0;"Merck & Co New Com $ MRK Market Value Rose While Ftb Advisors Cut by $9.02 Million Its Holding; Microsoft $ MSFT Shareholder Duff & Phelps Investment Management Co Lowered Holdinghttps://hinewulm.com/2019/03/04/merck-microsoft-msft-shareholder-duff-phelps-investment-management-co-lowered-holding/ …";;;;"1102649765886599169";https://twitter.com/UlmHi/status/1102649765886599169
;2019-03-04 19:10;0;0;"Cantor Fitzgerald Reaffirms Buy Rating for Merck & Co., Inc. $ MRK http://americanbankingnews.com/?p=9678862 # stocks";;;#;"1102647623956267009";https://twitter.com/AmericanBanking/status/1102647623956267009
;2019-03-04 17:58;0;0;"$ XLV Should you fail to act, you will one day be subject to a "Liberal Democrat" solution that you won't like. $ NVS $ PFE $ LLY $ MRK $ GILD 3/";;;;"1102629463148384258";https://twitter.com/SunAndStormInv/status/1102629463148384258
;2019-03-04 17:56;0;0;"$ XLV ...one that allows for reasonable profits while not gouging the patients/system that feed you. $ NVS $ PFE $ LLY $ MRK 2/";;;;"1102628993038196738";https://twitter.com/SunAndStormInv/status/1102628993038196738
;2019-03-04 17:52;0;0;"Merck & Co., Inc. $ MRK Receives “Buy” Rating from Cantor Fitzgerald http://zolmax.com/?p=2937732";;;;"1102627806490624000";https://twitter.com/ZolmaxNews/status/1102627806490624000
;2019-03-04 17:50;0;1;"$ NCAP down 70% last 2 days https://insiderfinancial.com/northsight-capital-inc-otcmktsncap-long-way/177860/amp/?__twitter_impression=true … $ NNRX $ AAPL $ GOOG $ INTC $ AMZN $ MSFT $ CMCSA $ PFE $ MU $ NFLX $ NOK $ XOM $ DIS $ HSY $ NVDA $ UNP $ BAC $ WMT $ CHK $ AKS $ VZ $ CTL $ FCX $ AMAT $ TSLA $ JPM $ WFT $ PTI $ BIDU $ MRK # bitcoin $ CLDX $ KGKG $ SIPC $ PSGR $ BLTA $ DECN $ COTE $ LEAS $ TVOG $ GOSYhttps://twitter.com/LowFloatMagic/status/1102624892971831298 …";;;#;"1102627461630754817";https://twitter.com/aaaamhim/status/1102627461630754817
;2019-03-04 17:30;0;0;"Boston Common Asset Management Has Decreased Merck & Co Com $ MRK Holding by $462,840; As Verizon Communications $ VZ Stock Price Rose, Arvest Trust Company Has Increased Its Holdinghttps://yomiblog.com/2019/03/04/boston-common-asset-management-has-decreased-merck-as-verizon-communications-vz-stock-price-rose-arvest-trust-company-has-increased-its-holding/ …";;;;"1102622346660233216";https://twitter.com/BlogYomi/status/1102622346660233216
;2019-03-04 17:25;1;0;"$ LRSV Linkreservations Inc. Announces Plans to Rebrand Company To LinkResPet New Identity Reflects Full Focus on the Petcare industry @ frontpagestocks $ CTL $ FCX $ AMAT $ TSLA $ JPM $ WFT $ PTI $ BIDU $ MRK # bitcoin $ CLDX $ KGKG $ SIPChttps://globenewswire.com/news-release/2019/03/04/1745814/0/en/Linkreservations-Inc-Announces-Plans-to-Rebrand-Company-To-LinkResPet.html …";;@;#;"1102621125828239362";https://twitter.com/FPSwatchlist/status/1102621125828239362
;2019-03-04 17:25;0;0;"Coca $ KO Shareholder Troy Asset Management LTD Has Increased Its Stake by $57.34 Million as Stock Value Rose; Merck & Co. $ MRK Shareholder Opus Investment Management Has Trimmed Its Position by $1.40 Million as Share Price Rose https://yomiblog.com/2019/03/04/coca-ko-shareholder-troy-asset-management-ltd-has-increased-its-stake-by-57-34-million-as-stock-value-rose-merck-co-mrk-shareholder-opus-investment-management-has-trimmed-its-position-by-1/ …";;;;"1102621092278095874";https://twitter.com/BlogYomi/status/1102621092278095874
;2019-03-04 17:24;0;0;"With >1,300 Opioid Legal Matters, Will # allergan Seek Bankruptcy Too? $ aapl $ amzn $ agn $ acad $ endp $ ms $ gs $ jpm $ bac $ c $ mnk $ bhc $ gild $ teva $ eols $ irwd $ myl $ mrk $ jnj $ rvnc $ bmy $ pfe $ azn $ gsk $ tst $ wba $ exrx $ tsla $ prgo $ flxn $ amgn $ googl $ hlf $ iep $ ba https://www.yahoo.com/finance/news/exclusive-oxycontin-maker-purdue-pharma-151955953.html …";;;#;"1102620929585283073";https://twitter.com/brianfires/status/1102620929585283073
;2019-03-04 17:15;0;0;"$ MRK Not looking good !";;;;"1102618483349549056";https://twitter.com/COMMONSENCE10/status/1102618483349549056
;2019-03-04 17:12;0;0;"# estate asset watch - new 30 day highs Monday, by volume - $ CIFS $ LLY $ AAPL $ MSFT $ SWN $ JCP $ NITE $ NBR $ ZNGA $ BABA $ JMU $ INTC $ WFC $ MRVL $ CMCSA $ KMI $ XOM $ ODP $ PDD $ QCOM $ ICON $ MRO $ MS $ TWLO $ WDC $ GM $ AMZN $ AES $ ETSY $ TAK $ MO $ ASND $ TGTX $ V $ MRK $ NKE $ JNJ $ ZS $ CLDR $ STNE $ NLSNpic.twitter.com/fkzv4id6vR";;;#;"1102617942829813760";https://twitter.com/TheBurdetteLawF/status/1102617942829813760
;2019-03-04 17:12;0;0;"As Merck & Co $ MRK Share Value Rose, Holder Baldwin Brothers Cut Its Position; United Services Automobile Association Increased Its Rogers Communications $ RCI Holding by $3.62 Millionhttps://hinewulm.com/2019/03/04/as-merck-united-services-automobile-association-increased-its-rogers-communications-rci-holding-by-3-62-million/ …";;;;"1102617779486818304";https://twitter.com/UlmHi/status/1102617779486818304
;2019-03-04 17:08;0;0;"What is the chance to have a US-China trade deal soon? $ spy $ dia $ iwm $ uso $ gld $ fxi $ xlf $ xle $ xlk $ xlp $ xly $ xlu $ xlv $ xlb $ xli $ cat $ ba $ jnj $ unh $ pfe $ mrk $ mcd $ dis $ ko $ wmt $ pg $ xom $ cvx $ aapl $ intc $ csco $ fcx $ fslr $ amd $ nvda $ jpm $ gs $ axp $ sq $ twtr $ tsla $ nflx $ ebay";;;;"1102616884820746240";https://twitter.com/MarketStatisti1/status/1102616884820746240
;2019-03-04 17:07;0;0;"Hillsdale Investment Management Has Trimmed Its Position in Merck & Co $ MRK by $350,000; Fagan Associates Boosted Its Holding in At&T $ T by $784,278https://finheadlines.com/2019/03/04/hillsdale-investment-management-has-trimmed-its-position-in-merck-fagan-associates-boosted-its-holding-in-att-t-by-784278/ …";;;;"1102616592926629891";https://twitter.com/HeadlinesFin/status/1102616592926629891
;2019-03-04 17:04;0;0;"$ MRK JUMP! SAVE YOURSELF !";;;;"1102615705378123776";https://twitter.com/COMMONSENCE10/status/1102615705378123776
;2019-03-04 16:51;0;0;"Longer Investments Has Decreased Holding in Merck & Co. $ MRK by $639,800; Whittier Trust Co Raised Nxp Semiconductors N V Com $ NXPI Holdinghttps://finreviewer.com/2019/03/04/longer-investments-has-decreased-holding-in-merck-whittier-trust-co-raised-nxp-semiconductors-n-v-com-nxpi-holding/ …";;;;"1102612468050857986";https://twitter.com/thefinreviewer/status/1102612468050857986
;2019-03-04 16:49;0;0;"Merck & Co Com $ MRK Shareholder Corda Investment Management Has Cut Its Holding; Artisan Partners Limited Partnership Has Upped Its Anthem $ ANTM Holding by $40.43 Million; Market Valuation Rosehttps://yomiblog.com/2019/03/04/merck-artisan-partners-limited-partnership-has-upped-its-anthem-antm-holding-by-40-43-million-market-valuation-rose/ …";;;;"1102611955511103492";https://twitter.com/BlogYomi/status/1102611955511103492
;2019-03-04 16:30;0;1;"$ NCAP down 70% last 2 days https://insiderfinancial.com/northsight-capital-inc-otcmktsncap-long-way/177860/amp/?__twitter_impression=true … $ NNRX $ AAPL $ GOOG $ INTC $ AMZN $ MSFT $ CMCSA $ PFE $ MU $ NFLX $ NOK $ XOM $ DIS $ HSY $ NVDA $ UNP $ BAC $ WMT $ CHK $ AKS $ VZ $ CTL $ FCX $ AMAT $ TSLA $ JPM $ WFT $ PTI $ BIDU $ MRK # bitcoin $ CLDX $ KGKG $ SIPC $ PSGR $ BLTA $ DECN $ COTE $ ANDI $ TVOG $ GOSYhttps://twitter.com/Raiderkid841/status/1102343251854389248 …";;;#;"1102607274718187521";https://twitter.com/aaaamhim/status/1102607274718187521
