username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-03-04 23:54;0;0;"ANALYZER: Mon Mar 04 20:53:59 ART 2019 $ UNH has weekly WMA30 in phase 3.0 for SHORT Price -9.12% from WMA30. Last candles Red/Red";;;;"1102718866701078529";https://twitter.com/InsomniaCBot/status/1102718866701078529
;2019-03-04 23:42;0;4;"UnitedHealth Group $ UNH, for example, is up +900% since 2009 vs. +300% for the Health Care ETF $ XLV (not adjusted for dividends). Why not take a little off the table, eh?pic.twitter.com/liI0L1voCR";;;;"1102715963743629313";https://twitter.com/JackDamn/status/1102715963743629313
;2019-03-04 23:41;0;0;"@ jimcramer JIM what should I do with $ UNH and $ CVS ? Will they continue to go down? Should I buy them now?!";;@;;"1102715745824374784";https://twitter.com/vinnymangiamele/status/1102715745824374784
;2019-03-04 23:24;0;0;"Explore # fundamental numbers and pros and cons for $ UNH https://unicornbay.com/t/UNH.US?utm_medium=tweet&utm_campaign=proscons&utm_source=twitter …";;;#;"1102711328404205568";https://twitter.com/1MinuteStock/status/1102711328404205568
;2019-03-04 23:08;0;1;"I like what’s going on in $ unh $ antm et al. On a 30-50 year horizon these stocks are completely uninvestable. Single payer is coming.";;;;"1102707524178989056";https://twitter.com/Lacktivist/status/1102707524178989056
;2019-03-04 22:46;0;0;"Recommendation # HOLD for $ UNH with UB rating - 2.89 out of 5. https://unicornbay.com/t/UNH.US?utm_medium=tweet&utm_campaign=ubrecommendation&utm_source=twitter …";;;#;"1102701762031435776";https://twitter.com/1MinuteStock/status/1102701762031435776
;2019-03-04 22:38;0;1;"Dow Jones cerró con pérdidas del -0.79% colocándose en 25,819.65 unidades con las emisoras $ UNH y $ WBA como las más afectadas. # MercadosFinancierospic.twitter.com/oXcuPkfKb7";;;#;"1102699979746017280";https://twitter.com/FinestraMX/status/1102699979746017280
;2019-03-04 22:21;0;2;"United Health Change in Trend? 6.7% of Healthcare Sector $ UNH $ XLVpic.twitter.com/PMBVxfQD9g";;;;"1102695685890154496";https://twitter.com/360research/status/1102695685890154496
;2019-03-04 22:14;0;2;"$ CTL $ WCG and $ GPS each lost at least 6% and are Monday's worst performing $ SPX # stocks; $ ANTM $ HUM $ CNC $ ILMN $ UNH and $ CAH all lost over 4% while $ K $ CVS $ CPRI $ CI $ CRM $ MCK $ INCY $ XLNX and $ ABC each closed down over 3% on the day # trading";;;# #;"1102693832636821504";https://twitter.com/TackleTrading/status/1102693832636821504
;2019-03-04 22:09;2;3;"Double-whammy: Health providers hit again by fear of Medicare-for-all, while drug distributors fall on Trump drug-pricing plan. Mon. movers: Anthem $ ANTM -4.9% Humana $ HUM -4.6 Cardinal $ CAH -4.1 UnitedHealth $ UNH -4.1 Molina $ MOH -4.1 $ CVS -3.7 Cigna $ CI -3.7 McKesson $ MCK -3.6";;;;"1102692483367034880";https://twitter.com/tpetruno/status/1102692483367034880
