username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-03-05 23:51;4;7;"Very choppy but good to see the team still get some nice trades off. Especially $ GE (400%+) & $ TSLA (250%+) right off our WL & our resident $ TSLAQ was all over it! Also started some $ BA $ NFLX $ FB $ SPY $ SPX $ JPM # OPTIONS # SMALLCAPS # OTC Free Trials —> https://www.utrequities.com pic.twitter.com/L2ghoFw13p";;;# # #;"1103080538615791616";https://twitter.com/UTR_INFO/status/1103080538615791616
;2019-03-05 23:45;0;3;"Order flow sentiment today- MOST ACTIVE: $ GE $ LLY $ TSLA $ FB $ NIO $ BMY $ AAPL $ BAC $ QCOM $ F $ CVS $ CRM $ NFLX $ MU $ AMZN $ ACB $ C $ NVDA $ AMD $ JD $ TGT $ CRON $ TWTR $ BIDU $ BA pic.twitter.com/Ugei414nxk";;;;"1103079180449701888";https://twitter.com/OpinicusHolding/status/1103079180449701888
;2019-03-05 23:17;0;0;"$ BA Boeing Company (The) SEC Filing: Form 4 http://www.sec.gov/Archives/edgar/data/12927/000122520819004673/xslF345X03/doc4.xml …";;;;"1103072069611413506";https://twitter.com/StockTexts/status/1103072069611413506
;2019-03-05 23:13;0;0;"$ BA: New Insider Filing on EVP, Government Operations TIMOTHY JOHN KEATING: http://insideri.com/1436135_000122520819004668_0001225208-19-004668 …";;;;"1103070966261927936";https://twitter.com/InsiderAlertsIA/status/1103070966261927936
;2019-03-05 23:10;0;0;"Trump Organization’s Insurance Policies Under Scrutiny in New York https://nyti.ms/2SMpzE2 $ SPY $ SPX $ ES_F $ QQQ $ DAX $ CAC $ FTSE $ EUR $ DJIA $ GBP $ JPY $ AAPL $ AMZN $ TSLA $ GM $ CAT $ BA $ GOOG $ SQ $ Zb_f $ btc.x $ CL_F $ SAP $ IBB $ FXI $ BABA $ GM $ NKE $ HD $ Msft $ Jnk $ TLT $ TQQQ";;;;"1103070219994570753";https://twitter.com/LarryLivinston/status/1103070219994570753
;2019-03-05 22:55;0;1;"Commented on $ BA - Boeing:?sht=pnx103&shu=5wvtj No Worries About Rising Cancellation Rate https://seekingalpha.com/article/4246069-boeing-worries-rising-cancellation-rate?source=tweet#comment-81192141 …";;;#comment;"1103066471125532672";https://twitter.com/DPBechai/status/1103066471125532672
;2019-03-05 22:55;2;5;"Good day $ AAPL nice opportunity and setup gone over at # TRICKTRADES Market traders come join for true market education at http://bit.ly/TrickTrades $ SPY $ QQQ $ AAPL $ BABA $ AMD $ TWTR $ NVDA $ TSLA $ BA $ MU $ SQ $ EA $ NFLX $ GOOGL $ AMZN # Bear # Bull # Long # Short # Market # Educationhttps://twitter.com/trickmitch1/status/1102955314834489345 …";;;# # # # # # #;"1103066439731298305";https://twitter.com/luke_sosnowski/status/1103066439731298305
;2019-03-05 22:13;0;0;"$ MSFT $ AAPL $ AMZN $ GOOGL $ GOOG $ FB $ XOM $ BAC $ WMT $ BA $ CVX $ WFC $ T $ DIS $ NFLX $ CRM $ GE $ SBUX $ TSLA $ TGT $ AON $ DAL $ LUV $ KR $ WLTW $ DLTR $ GOLD $ NEM $ BBY $ AAL $ VAR $ KSS $ CGC $ ACB $ LB $ HOG $ PLNT $ HTZ $ PZZA $ GNC $ SPX $ SPY $ DIA $ QQQ $ IWM Stocks - Major News https://bullbearcharts.blogspot.com/2019/03/stocks-major-news_5.html …";;;;"1103055873147056132";https://twitter.com/BullBearCharts/status/1103055873147056132
;2019-03-05 22:08;2;22;"+24 Well Earned Points Today! Want To Learn How To Trade? Check Us Out! @ RockSolidTrader & @ cml41987 $ NFLX +4.15 $ ROKU +2 $ BA +1.25 $ NVDA +1.55 $ TSLA +11 $ FB +3.10 $ SQ +.66 STOPPED $ BABA +.50pic.twitter.com/jte9IihTTr";;@ @;;"1103054757340631040";https://twitter.com/RampedDaytrader/status/1103054757340631040
;2019-03-05 22:05;0;1;"US is now paying nearly $50B per month towards debt That is only the interest portion Worried yet? $ SPY $ SPX $ ES_F $ QQQ $ DAX $ CAC $ FTSE $ EUR $ DJIA $ GBP $ JPY $ AAPL $ AMZN $ TSLA $ GM $ CAT $ BA $ GOOG $ SQ $ Zb_f $ btc.x $ CL_F $ SAP $ IBB $ FXI $ BABA $ GM $ NKE $ HD $ Msft $ Jnk $ TLT $ TQQQ";;;;"1103054053104406530";https://twitter.com/LarryLivinston/status/1103054053104406530
