username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-03-05 23:20;0;0;"Oil investor? Pay attention. $ CVX https://twitter.com/CrowleyKev/status/1103068775853813761 …";;;;"1103072705807560704";https://twitter.com/TraceyRyniec/status/1103072705807560704
;2019-03-05 22:58;0;0;"$ CVX open interest for maturity 03/08/2019. High put=120.00 High call=121.00 # maxpain # options http://maximum-pain.com/options/open-interest/CVX …pic.twitter.com/INSih6K7rj";;;# #;"1103067177794617345";https://twitter.com/optioncharts/status/1103067177794617345
;2019-03-05 22:42;0;0;"$ CVX breakout? pic.twitter.com/PvrZuUys6t";;;;"1103063219793473538";https://twitter.com/chrisgilley/status/1103063219793473538
;2019-03-05 22:36;0;1;"Bulk of Chevron assets are fee minerals owned by Chevron. If $ CVX doesn't develop, no one will.";;;;"1103061669062889473";https://twitter.com/yung_prescott/status/1103061669062889473
;2019-03-05 22:22;0;0;"$ XOM $ CVX Exxon, Chevron&aposs Big Permian Output Hike Adds to OPEC&aposs Woes via http://www.hvper.com/?ref=ftw";;;;"1103058106030931968";https://twitter.com/finzine/status/1103058106030931968
;2019-03-05 22:16;0;0;"Tues (3/5/19) trading range % > 90% (Min $5, Vol > 1M, Opt Vol in any strike > 500): $ ACB $ IBN $ QTT $ HUYA $ TWLO $ WPM $ GOLD $ CVX $ HAIN $ SOGO $ GS $ YNDX $ DB $ OKTA $ SERV $ YEXT $ CHS $ ENB $ BJ $ SBGI $ LNG $ KMI $ CRON $ SEE $ CVNA $ PNC $ WMB $ RCIIpic.twitter.com/iwhk0wf54D";;;;"1103056701765246978";https://twitter.com/15minofPham/status/1103056701765246978
;2019-03-05 22:13;0;0;"$ MSFT $ AAPL $ AMZN $ GOOGL $ GOOG $ FB $ XOM $ BAC $ WMT $ BA $ CVX $ WFC $ T $ DIS $ NFLX $ CRM $ GE $ SBUX $ TSLA $ TGT $ AON $ DAL $ LUV $ KR $ WLTW $ DLTR $ GOLD $ NEM $ BBY $ AAL $ VAR $ KSS $ CGC $ ACB $ LB $ HOG $ PLNT $ HTZ $ PZZA $ GNC $ SPX $ SPY $ DIA $ QQQ $ IWM Stocks - Major News https://bullbearcharts.blogspot.com/2019/03/stocks-major-news_5.html …";;;;"1103055873147056132";https://twitter.com/BullBearCharts/status/1103055873147056132
;2019-03-05 22:04;0;0;"Still believe in @ elonmusk & $ TSLA? $ SPY $ dia $ iwm $ uso $ gld $ ezu $ fxi $ xlf $ xle $ xlk $ xlb $ xli $ xlu $ xlv $ xlp $ xly $ jpm $ gs $ axp $ ba $ utx $ gm $ f $ mmm $ wmt $ dis $ aapl $ intc $ xom $ cvx $ nflx $ fb $ csco $ twtr $ pypl $ nvda $ sq $ fcx $ mat $ mu $ gild $ tgt $ hd $ low $ cvs $ mrk $ lwt $ nke";;@;;"1103053791799230464";https://twitter.com/MarketStatisti1/status/1103053791799230464
;2019-03-05 21:52;0;0;"Chevron and Exxon plan to sharply increase # oil production in the world’s largest # shale basin, flooding markets with new supplies as demand growth is slowing. https://bloom.bg/2TxtpFw By CrowleyKev JavierBlas $ XOM $ CVX ( # RT)";;;# # #;"1103050579411116033";https://twitter.com/peteroferiksson/status/1103050579411116033
;2019-03-05 21:49;4;7;"Chevron and Exxon plan to sharply increase # oil production in the world’s largest # shale basin, flooding markets with new supplies as demand growth is slowing. https://bloom.bg/2TxtpFw By @ CrowleyKev @ JavierBlas $ XOM $ CVX";;@ @;# #;"1103049818740527107";https://twitter.com/BloombergNRG/status/1103049818740527107
