username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-03-06 23:52;1;1;""Two Ways to Profit from the Great Retail Apocalypse" https://chc.li/2ERdUQB $ AMZN $ STOR $ HD pic.twitter.com/ZYG1bqwCcm";;;;"1103443199757115392";https://twitter.com/Jacob_Mintz/status/1103443199757115392
;2019-03-06 23:29;0;0;"Oversold chart and expecting MERGER news $ msft $ amzn $ fb $ goog $ jnj $ jpm $ googol $ abc $ wfc $ wmt $ cvx $ hd $ pg $ unh $ pfe $ qcom $ adbe $ v $ cmcsa $ nflx $ chtr $ cost # StockMarket # earnings # investing # NYSE # WallStreet # NASDAQ # stockshttps://twitter.com/OneOClockDrop/status/1103409675788115971 …";;;# # # # # # #;"1103437552122380289";https://twitter.com/OneOClockDrop/status/1103437552122380289
;2019-03-06 22:48;0;0;"Commented on $ HD - Home Depot:?sht=pnyvd3&shu=4bk0v DGI For The DIY Investor https://seekingalpha.com/article/4246408-home-depot-dgi-diy-investor?source=tweet#comment-81202811 …";;;#comment;"1103427199284043776";https://twitter.com/JC_PIP/status/1103427199284043776
;2019-03-06 22:26;0;1;"$ RUT Even after the recent drop, the Russell 2000 is still trading at 50X earnings! $ SPY $ SPX $ ES_F $ QQQ $ DAX $ CAC $ FTSE $ EUR $ DJIA $ GBP $ JPY $ AAPL $ AMZN $ TSLA $ FDX $ CAT $ BA $ GOOG $ SQ $ UPS $ CL_F $ SAP $ IBB $ FXI $ BABA $ GM $ NKE $ HD $ BA $ TLT $ FB $ DE $ IWM $ LABU $ SHOP $ TWLO $ TTD $ TZApic.twitter.com/ptt4XZLobW";;;;"1103421740200484864";https://twitter.com/LarryLivinston/status/1103421740200484864
;2019-03-06 22:21;0;0;"Investors Sell Shares of Home Depot $ HD on Strength Following Insider Selling http://www.thestockobserver.com/?p=1986863";;;;"1103420303139631107";https://twitter.com/stocknewstimes/status/1103420303139631107
;2019-03-06 22:20;0;0;"Traders Sell Shares of Home Depot $ HD on Strength Following Insider Selling http://zpr.io/gMTtg";;;;"1103420070074728451";https://twitter.com/TranscriptDaily/status/1103420070074728451
;2019-03-06 21:47;0;0;"$ IBM $ LMT $ AAPL $ HD # CEO meet # trump and brainstorm issues from # skills to # labour shortage to # wage $ SPY $ QQQ $ DIA https://www.youtube.com/watch?v=hWi_Fbl5qiQ …pic.twitter.com/DbpVOEeK88";;;# # # # #;"1103411766652952576";https://twitter.com/naashonomics/status/1103411766652952576
;2019-03-06 21:17;0;0;"Home Depot $ HD Shareholder Provident Trust Co Has Lowered Its Holding; Marriott Intl New $ MAR Holder Incline Global Management Boosted Holdinghttps://hinewulm.com/2019/03/06/home-depot-hd-shareholder-provident-trust-co-has-lowered-its-holding-marriott-intl-new-mar-holder-incline-global-management-boosted-holding/ …";;;;"1103404313647476759";https://twitter.com/UlmHi/status/1103404313647476759
;2019-03-06 20:51;0;0;"$ LOW short interest ratio on 2019-02-15 is 2.32 http://sunshineavenue.com/stock/LOW/ $ LL 7.67 $ HD 1.97";;;;"1103397600810680320";https://twitter.com/sunshineavenue8/status/1103397600810680320
;2019-03-06 20:45;0;0;"$ HD next week 187.5C starters into the close, good stop here below LOD.";;;;"1103396316187709440";https://twitter.com/maginarydragons/status/1103396316187709440
