username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-03-08 23:46;0;0;"Hi @ brentlsaunders, Will you agree to a drug test & a mental competence exam? $ amzn $ agn $ brk $ bhc $ crm $ dis $ esrx $ unh $ jnj $ endp $ mnk $ myl $ mrk $ eols $ rvnc $ ko $ pep $ tst $ iep $ ibm $ lly $ pfe $ amgn $ hlf $ iep $ wfc $ ms $ gs $ jpm $ bac $ c $ prgo $ tsla $ googl $ fred $ azn $ gsk $ rad $ endp";;@;;"1104166560577523713";https://twitter.com/brianfires/status/1104166560577523713
;2019-03-08 23:41;0;0;"This Is Not a Game or Fake News! This is FOR REAL! $ amzn $ agn $ brk $ bhc $ crm $ dis $ esrx $ unh $ jnj $ endp $ mnk $ myl $ mrk $ eols $ rvnc $ ko $ pep $ tst $ iep $ ibm $ lly $ pfe $ amgn $ hlf $ iep $ wfc $ ms $ gs $ jpm $ bac $ c $ prgo $ tsla $ googl $ fred $ azn $ gsk $ rad $ endphttps://twitter.com/brianfires/status/1104163993831251968 …";;;;"1104165288805875722";https://twitter.com/brianfires/status/1104165288805875722
;2019-03-08 23:36;0;0;"Weak Fraudsters Don't Belong Leading Drug Companies Doing Business in the US Mr @ POTUS @ realDonaldTrump , We Want YOU To Do Something About The FRAUDSTER # Botox Maker # Allergan Thank you Mr @ POTUS & Votes Matter NOW! $ agn $ brk $ bhc $ iep $ rvnc $ eols $ irwd $ myl $ teva $ ms $ amgn";;@ @ @;# #;"1104163993831251968";https://twitter.com/brianfires/status/1104163993831251968
;2019-03-08 22:46;4;36;"$ ARWR Had some amazing conversations with knowledgeable souls regarding how the Locarnini revelations essentially slipped under the market radar. The preeminent HBV expert and World Health Organization icon is seriously jacked about Arrowhead. $ JNJ $ AMGN pic.twitter.com/5qaQnOK9rl";;;;"1104151328626888705";https://twitter.com/truthtracer/status/1104151328626888705
;2019-03-08 21:21;0;0;"Putnam Investments Has Lifted Its Position in Amgen $ AMGN as Valuation Declined; Bank New York Mellon $ BK Market Value Rose While Schnieders Capital Management Lowered Holdinghttps://finheadlines.com/2019/03/08/putnam-investments-has-lifted-its-position-in-amgen-amgn-as-valuation-declined-bank-new-york-mellon-bk-market-value-rose-while-schnieders-capital-management-lowered-holding/ …";;;;"1104130106929364992";https://twitter.com/HeadlinesFin/status/1104130106929364992
;2019-03-08 21:01;0;0;"@ shaolintrader88 can you please shine some light please. What might be the price target and time line for $ AMGN and $ UNH?";;@;;"1104124932726808576";https://twitter.com/Calgary_snow/status/1104124932726808576
;2019-03-08 20:46;0;0;"As Amgen $ AMGN Share Value Declined, Valueworks Lowered Its Position by $934,080; As Delta Air Lines Del $ DAL Stock Value Declined, Holder Westover Capital Advisors Has Lifted Its Stakehttps://finheadlines.com/2019/03/08/as-amgen-amgn-share-value-declined-valueworks-lowered-its-position-by-934080-as-delta-air-lines-del-dal-stock-value-declined-holder-westover-capital-advisors-has-lifted-its-stake/ …";;;;"1104121281681735686";https://twitter.com/HeadlinesFin/status/1104121281681735686
;2019-03-08 20:43;0;0;"Jump Trading Cut Its Stake in Advanced Micro Devices $ Call $ AMD by $2.82 Million; Beutel Goodman & Co LTD Position in Amgen $ AMGN Has Boosted as Stock Price Declined https://finheadlines.com/2019/03/08/jump-trading-cut-its-stake-in-advanced-micro-devices-call-amd-by-2-82-million-beutel-goodman-co-ltd-position-in-amgen-amgn-has-boosted-as-stock-price-declined/ …";;;;"1104120411720171523";https://twitter.com/HeadlinesFin/status/1104120411720171523
;2019-03-08 20:41;0;1;"if its working who am i to say no way. but big money if $ AMGN $ UNH go";;;;"1104120074045132800";https://twitter.com/shaolintrader88/status/1104120074045132800
;2019-03-08 20:32;0;0;"$ AMGN is short, in my book. $ VRTX is overvalued for CF, $ ALXN is so far free from competition (monopoly, like VRTX they can charge whatevertheywant, until),...so it is not comparable to REGN. Why REGN went to 440?";;;;"1104117705223766016";https://twitter.com/Miljenkoz/status/1104117705223766016
