username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-03-10 23:58;0;0;"Here Are the Best-Performing Tech Stocks of the 10-Year Bull Market https://www.thestreet.com/investing/stocks/best-performing-tech-stocks-of-bull-market-14890403 … via @ TheStreet $ NFLX $ AMZN $ STX";;@;;"1104894282421407744";https://twitter.com/Cornboy1968/status/1104894282421407744
;2019-03-10 23:57;0;0;"[NEW VIDEO] How To Predict The Next Market Crash $ SPX $ SPY $ QQQ $ AAPL $ FB $ GOOGL $ AMZN $ MSFT $ VIX $ VXX click link >> https://www.thetradinganalyst.com/how-to-predict-the-next-market-crash-by-thetradinganalyst-co/ …pic.twitter.com/LFBybQOCY2";;;;"1104894081472360448";https://twitter.com/Trading_Analyst/status/1104894081472360448
;2019-03-10 23:55;0;0;"OptionAlarm provides Option Swing Trade Alerts With REAL Results! Try It For 10 Days: http://ow.ly/5hoC30nXUEO It's FREE! No Credit Card Required! $ AMZN $ NVDA $ TSLA $ BABA";;;;"1104893473981894656";https://twitter.com/OptionAlarm/status/1104893473981894656
;2019-03-10 23:41;0;0;"WANALYZER: Sun Mar 10 20:41:46 ART 2019 $ AMZN has weekly WMA30 in phase 3.0 for SHORT Price -1.41% from WMA30. Last candles Green/Red";;;;"1104890121411809280";https://twitter.com/InsomniaCBot/status/1104890121411809280
;2019-03-10 23:30;0;0;"ACTIVE TRADERS Try one of these FREE trading guides: http://ow.ly/wpMN30nXUDv $ NFLX $ TSLA $ AAPL $ TWTR $ GS $ FB $ AMZN $ GOOGL $ NVDA";;;;"1104887178893627392";https://twitter.com/ExactOptionPick/status/1104887178893627392
;2019-03-10 23:28;0;0;"$ AMZN $ FB $ AAPL $ GOOGL $ GOOG $ COST $ FIZZ $ TSLA $ XOM $ WMT $ LUV $ BIG $ NFLX $ COP $ WTW $ GE Major News: Performance https://bullbearcharts.blogspot.com/2019/03/stocks-major-news_10.html …";;;;"1104886656916746240";https://twitter.com/BullBearCharts/status/1104886656916746240
;2019-03-10 23:21;1;1;"Really saw a CONFIDENT, ARTICULATE FED Chair on @ 60Minutes . Very clear. Patient. Will not react if inflation exceeds 2% for a while. THIS FED has your back - stock investors. No more rate hikes foreseen. BULLISH $ AMZN $ GOOGL $ NVDA $ NFLX $ XLNK $ WDAY $ TWLO";;@;;"1104884998937694208";https://twitter.com/RaviRomo/status/1104884998937694208
;2019-03-10 23:07;0;0;"Just charted $ SPY $ AMZN $ GS and more in the # SNM room >>>> https://www.stocktwits.com/r/snm/ pic.twitter.com/C9EMKntGzq";;;#;"1104881421007667205";https://twitter.com/Robertlesnicki/status/1104881421007667205
;2019-03-10 23:04;2;1;"POWELL SAYS WHO CARES ABOUT RECORD WEALTH INEQUALITY AND THE SLAUGHTER OF THE MIDDLE CLASS AS LONG AS STOCKS ARE UP FOR THE ELITE $ ES $ ES_F $ SPX $ SPY $ VIX $ QQQ $ DIA $ IWM $ BA $ AAPL $ AMZN https://twitter.com/StockBoardAsset/status/1104880148598407171?s=19 …";;;;"1104880836204204032";https://twitter.com/mikeo188/status/1104880836204204032
;2019-03-10 23:03;0;0;"POWELL SAYS PLEASE BUY TECH STOCKS AT ANY PRICE TO KEEP THE BUBBLE INFLATED $ ES $ ES_F $ SPX $ SPY $ VIX $ QQQ $ DIA $ IWM $ BA $ AAPL $ AMZN https://twitter.com/StockBoardAsset/status/1104880148598407171?s=19 …";;;;"1104880479705227269";https://twitter.com/mikeo188/status/1104880479705227269
;2019-03-10 23:03;2;1;"Still available at a big discount on @ Google: https://play.google.com/store/books/details?id=9Zh7DwAAQBAJ … $ SPX $ IWM $ AAPL $ NFLX $ AMZN $ TSLA $ VIX $ QQQ # books # ebooks # Applebooks # kindlebook # selfpublishing # options # tastytrade # tastytnation # PISTA # goodreads # money # finance # investing # stocks # StockMarket # futurespic.twitter.com/75BtCilvUy";;@;# # # # # # # # # # # # # # # #;"1104880425284128769";https://twitter.com/SteHaller/status/1104880425284128769
;2019-03-10 22:57;0;2;"$ AMZN,$ORCL, $ MSFT, FB, # Per # second # profitability of companiespic.twitter.com/Haw6cyQVZr";;;# # #;"1104878993466183680";https://twitter.com/NageshDuvvuri/status/1104878993466183680
;2019-03-10 22:55;0;1;"$ AMZN Price just hanging out in the box for some time... While MACD histo is just drifting lower. Setup needs more but the facts are starting to tell a little story here pic.twitter.com/uuhRE0aj48";;;;"1104878442175176710";https://twitter.com/JDMTrends/status/1104878442175176710
;2019-03-10 22:47;0;2;"$ SPY general analysis and some levels to watch here and in the video below showing possible strength. $ QQQ $ AAPL $ FB $ AMZN $ GOOGL https://youtu.be/YCBHZkiqERM pic.twitter.com/CkwEd3zcCf";;;;"1104876510186364929";https://twitter.com/Omega_trades/status/1104876510186364929
