username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-03-10 23:12;0;0;"and $ T is doing what again?";;;;"1104882803139784704";https://twitter.com/Lobo68Loco/status/1104882803139784704
;2019-03-10 22:22;0;0;"$ SCOR Reveals Weekend's Movies Mega-Numbers $ FOXA, $ FOX, $ CMCSA, $ T, $ VIAB, $ VIA, $ LGF.A, $ LGF.B, $ DIS, $ SNE http://crweworld.com/symbol/DIS";;;;"1104870279711404038";https://twitter.com/HottestStockNow/status/1104870279711404038
;2019-03-10 22:08;1;1;"Are you bearish or bullish on @ ATT? $ T pic.twitter.com/XYzWw8Uot3";;@;;"1104866615844368384";https://twitter.com/AhrvoApp/status/1104866615844368384
;2019-03-10 21:55;0;0;"Ronna Sue Cohen Has Decreased At&T $ T Stake; Flotek Industries $ FTK SI Increased By 1.74%https://finreviewer.com/2019/03/10/ronna-sue-cohen-has-decreased-at-flotek-industries-ftk-si-increased-by-1-74/ …";;;;"1104863301559877632";https://twitter.com/thefinreviewer/status/1104863301559877632
;2019-03-10 21:53;0;0;"$ PPL # traders talk alot of $ ADBE and some have $ ALLO $ T $EGO all I have free shares in $ HTZ , $ SE , $ HEAR and $ ETF's # oil 2";;;# #;"1104862868443488258";https://twitter.com/S20ll/status/1104862868443488258
;2019-03-10 21:47;0;1;"$ t!ll R!ch 7 H!tt@Mixtape Coming Soon pic.twitter.com/50g1Qwa6e7";;@Mixtape;;"1104861451590746112";https://twitter.com/fvbrowneyes/status/1104861451590746112
;2019-03-10 21:05;0;0;"D R Horton $ DHI Holder Long Pond Capital LP Has Lifted Its Position by $388.03 Million; Osborne Partners Capital Management Has Lowered Its At&T $ T Holding by $3.48 Million https://finheadlines.com/2019/03/10/d-r-horton-dhi-holder-long-pond-capital-lp-has-lifted-its-position-by-388-03-million-osborne-partners-capital-management-has-lowered-its-att-t-holding-by-3-48-million/ …";;;;"1104850807315419136";https://twitter.com/HeadlinesFin/status/1104850807315419136
;2019-03-10 20:55;0;0;"Investec Asset Management North America Position in Ternium Sa $ TX Has Boosted as Valuation Rose; At&T New $ T Shareholder Folger Nolan Fleming Douglas Capital Management Has Cut Its Holding https://finheadlines.com/2019/03/10/investec-asset-management-north-america-position-in-ternium-sa-tx-has-boosted-as-valuation-rose-att-new-t-shareholder-folger-nolan-fleming-douglas-capital-management-has-cut-its-holding/ …";;;;"1104848207404781568";https://twitter.com/HeadlinesFin/status/1104848207404781568
;2019-03-10 20:55;0;0;"In Focus: AT&T | Can the Company Properly Manage its new Assets and Be a Winning Investment?| http://goo.gl/92ZN66 | # Stocks # Investments # Investing # ATT $ T # TimeWarner # HBO # Cablepic.twitter.com/9eTx0yytn5";;;# # # # # # #;"1104848148168531968";https://twitter.com/SevilleReport/status/1104848148168531968
;2019-03-10 20:44;0;0;"At&T $ T Share Value Declined While Stillwater Investment Management Has Lowered Its Position; Pattern Energy Group $ PEGI Stock Declined While Bank Of Montreal Has Upped Position by $471,744https://yomiblog.com/2019/03/10/at-pattern-energy-group-pegi-stock-declined-while-bank-of-montreal-has-upped-position-by-471744/ …";;;;"1104845493362925570";https://twitter.com/BlogYomi/status/1104845493362925570
;2019-03-10 20:41;0;0;"As Intuitive Surgical $ ISRG Share Value Rose, Kames Capital Plc Decreased Its Stake; Trust Co Of Vermont Has Lowered At&T $ T Stake by $1.66 Million as Stock Declined https://finheadlines.com/2019/03/10/as-intuitive-surgical-isrg-share-value-rose-kames-capital-plc-decreased-its-stake-trust-co-of-vermont-has-lowered-att-t-stake-by-1-66-million-as-stock-declined/ …";;;;"1104844624689070083";https://twitter.com/HeadlinesFin/status/1104844624689070083
;2019-03-10 20:25;0;0;"As At&T $ T Stock Price Declined, New Jersey Better Educational Savings Trust Increased Holding; International Business Machs $ IBM Share Price Rose While Forte Capital Has Lifted by $577,882 Its Stake https://finexaminer.com/2019/03/10/as-at-international-business-machs-ibm-share-price-rose-while-forte-capital-has-lifted-by-577882-its-stak/ …";;;;"1104840728327397376";https://twitter.com/thefinreviewer/status/1104840728327397376
;2019-03-10 20:22;0;0;"Bragg Financial Advisors Cut At&T $ T Position as Stock Declined; As International Business Machs $ IBM Stock Price Rose, Ingalls & Snyder Has Lifted Stake https://finexaminer.com/2019/03/10/bragg-financial-advisors-cut-at-as-international-business-machs-ibm-stock-price-rose-ingalls-snyder-has-lifted-stake/ …";;;;"1104839878905335813";https://twitter.com/thefinreviewer/status/1104839878905335813
;2019-03-10 20:20;0;0;"No. $ T https://www.google.com/amp/s/seekingalpha.com/amp/article/4246974-t-get …";;;;"1104839511979319298";https://twitter.com/RuFiOooooh/status/1104839511979319298
;2019-03-10 20:19;0;4;"Based on what exactly? bc you lack the perspective to see that programs like M4A wouldn't funded through "a check" like reparations but through the overhaul to the current hc system which would generate a multi $ T surplus? Or bc you lack the grasp between platitudes and policy?";;;;"1104839184102182912";https://twitter.com/FrantzRunnem/status/1104839184102182912
;2019-03-10 20:18;0;0;"Roundview Capital Has Decreased Stake in At&T $ T by $327,180; As Ibm $ IBM Stock Rose, Motco Has Cut Holdinghttps://finheadlines.com/2019/03/10/roundview-capital-has-decreased-stake-in-at-as-ibm-ibm-stock-rose-motco-has-cut-holding/ …";;;;"1104838862772334594";https://twitter.com/HeadlinesFin/status/1104838862772334594
;2019-03-10 20:15;0;0;"Mega cap stock and option trading model subscriptions available at Profectus Systems $ MSFT $ AMZN $ GOOGL $ AAPL $ FB $ XOM $ JNJ $ BABA $ GE $ T";;;;"1104838323007352832";https://twitter.com/ProfectuSystems/status/1104838323007352832
;2019-03-10 20:15;0;0;"As At&T $ T Market Value Declined, Shareholder Bangor Savings Bank Lowered Its Stake by $1.10 Million; Netflix $ NFLX Shareholder Peregrine Asset Advisers Has Upped Its Position by $2.35 Millionhttps://finheadlines.com/2019/03/10/as-at-netflix-nflx-shareholder-peregrine-asset-advisers-has-upped-its-position-by-2-35-million/ …";;;;"1104838112872677376";https://twitter.com/HeadlinesFin/status/1104838112872677376
;2019-03-10 19:58;0;0;"At&T $ T Holder Stillwater Investment Management Has Cut Stake as Share Value Declined; Walthausen & Company Has Cut Its Stake in Primerica $ PRI by $4.70 Million as Stock Value Rose https://hinewulm.com/2019/03/10/at-walthausen-company-has-cut-its-stake-in-primerica-pri-by-4-70-million-as-stock-value-rose/ …";;;;"1104833995085414400";https://twitter.com/UlmHi/status/1104833995085414400
;2019-03-10 19:45;0;0;"At&T $ T Stock Price Declined While Gladius Capital Management LP Upped Its Position; Slate Path Capital LP Has Upped Barrick Gold $ ABX Stake by $122.66 Millionhttps://finheadlines.com/2019/03/10/at-slate-path-capital-lp-has-upped-barrick-gold-abx-stake-by-122-66-million/ …";;;;"1104830533480124417";https://twitter.com/HeadlinesFin/status/1104830533480124417
;2019-03-10 19:19;0;0;"As Eagle Materials $ EXP Share Price Rose, First Dallas Securities Boosted Its Stake by $436,211; At&T $ T Shareholder Smith Chas P & Associates Pa Cpas Upped Stake by $361,844 https://yomiblog.com/2019/03/10/as-eagle-materials-exp-share-price-rose-first-dallas-securities-boosted-its-stake-by-436211-att-t-shareholder-smith-chas-p-associates-pa-cpas-upped-stake-by-361844/ …";;;;"1104824056501731329";https://twitter.com/BlogYomi/status/1104824056501731329
;2019-03-10 19:17;0;0;"Long-term # options I like for my # AIM investing method - $ T, $ SBUX, $ KMI, $ IBM, $ FXI, $ JD, $ FB, $ AMZN, $ BABA, $ IQ, $ AAL, $ AMZN, $ AAPL - free # investing book, newsletter - up 420% last 63 months - http://jjjinvesting.com - http://bit.ly/youryacht - not financial advice";;;# # #;"1104823657174654976";https://twitter.com/jjjinvesting/status/1104823657174654976
;2019-03-10 19:16;0;0;"From a pure economic standpoint, HBO used to be something u paid $15 a month for no matter what, now u can probably pay that $15, binge the 5 shows u want, and cancel it for the next 6 months. $ T";;;;"1104823420276084747";https://twitter.com/RuFiOooooh/status/1104823420276084747
;2019-03-10 19:16;0;0;"Edgepoint Investment Group Position in Brookfield Asset Mgmt $ BAM Has Raised by $10.64 Million as Share Value Rose; Att $ T Holder Affinity Investment Advisors Raised Holding https://yomiblog.com/2019/03/10/edgepoint-investment-group-position-in-brookfield-asset-mgmt-bam-has-raised-by-10-64-million-as-share-value-rose-att-t-holder-affinity-investment-advisors-raised-holding/ …";;;;"1104823369130799104";https://twitter.com/BlogYomi/status/1104823369130799104
;2019-03-10 19:15;0;0;"Oh, and let’s not act like the Warner acquisition (another $85 BILLION) is a home run. They’ve already run out the head of HBO. It’s entirely possible HBO is never the same after Game of Thrones ends/the creative head leaves. $ T";;;;"1104823046748155905";https://twitter.com/RuFiOooooh/status/1104823046748155905
;2019-03-10 19:15;0;0;"Texas Instruments $ TXN Holder Mathes Company Decreased Stake by $394,800 as Stock Value Rose; Bangor Savings Bank Has Lowered Its At&T $ T Holding by $1.10 Million https://finheadlines.com/2019/03/10/texas-instruments-txn-holder-mathes-company-decreased-stake-by-394800-as-stock-value-rose-bangor-savings-bank-has-lowered-its-att-t-holding-by-1-10-million/ …";;;;"1104823002510905346";https://twitter.com/HeadlinesFin/status/1104823002510905346
;2019-03-10 19:11;0;0;"Imagine paying $67 BILLION for DirecTV (including debt) and having it be obsolete within a decade?! $ T";;;;"1104822032397680640";https://twitter.com/RuFiOooooh/status/1104822032397680640
;2019-03-10 19:01;0;0;"via → http://apitrade.win $ T http://dlvr.it/R0YgtJ pic.twitter.com/SDSP357eJW";;;;"1104819484106285057";https://twitter.com/CryptoTraderPro/status/1104819484106285057
;2019-03-10 18:55;0;0;"$ QQQ $ T - Qqq https://dev.seekingalpha.com/article/4125529-qqq?source=feed_f …";;;;"1104818073419350016";https://twitter.com/DevSeeking/status/1104818073419350016
