username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-03-13 23:41;0;0;"$ INSP $ MDT $ NEWR $ EW: Cramer: I’m not betting against the guy that chairs Aphria: https://www.StockNewsWires.com/insp-mdt-newr-ew-cramer-im-not-betting-against-the-guy-that-chairs-aphria/ …";;;;"1105977094864072708";https://twitter.com/ProTradersNews/status/1105977094864072708
;2019-03-13 23:33;0;0;"$ LLY $ MDT $ NOW $ BA $ EW $ EOG $ JPM $ TWLO $ WPC $ NRG $ WFC $ ESL $ T $ W $ BLL $ CAH $ KO $ ORCL $ LYV $ ELAN $ DVN $ CVX Largest MOC BUYSpic.twitter.com/slRe7VdpZV";;;;"1105975242915110912";https://twitter.com/TeresaTrades/status/1105975242915110912
;2019-03-13 23:26;0;0;"Traders Sell Shares of Medtronic $ MDT on Strength $ MDT http://www.dailypolitical.com/?p=2787184";;;;"1105973523066040326";https://twitter.com/dailypoliticaln/status/1105973523066040326
;2019-03-13 23:24;0;0;"Investors Sell Medtronic $ MDT on Strength $ MDT http://zolmax.com/?p=2960571";;;;"1105972903441514502";https://twitter.com/ZolmaxNews/status/1105972903441514502
;2019-03-13 22:35;1;2;"I think what can really set $ SRTS off is a strategic partnership with say an $ MDT or the like. Similar to what $ MZOR did. Guaranteed minimum purchases — 10 to 15 per year — plus small equity stake, say 10%. Built in growth + M&A partner.";;;;"1105960671852691456";https://twitter.com/indievestments/status/1105960671852691456
;2019-03-13 20:34;0;0;"Largest $Notional Buy On Close Order Imbalances $ LLY $ MDT $ NOW $ BA $ EW $ EOG $ JPM $ TWLO $ WPC $ NRG https://marketchameleon.com/Reports/StockOrderImbalanceReport/ …";;;;"1105930255708102656";https://twitter.com/MarketChmln/status/1105930255708102656
;2019-03-13 20:26;0;0;"Modera Wealth Management Decreased Its Eaton Vance $ EV Holding by $602,805; Stock Price Rose; Howe & Rusling Holding in Medtronic Plc $ MDT Has Cut as Share Value Declined https://hinewulm.com/2019/03/13/modera-wealth-management-decreased-its-eaton-vance-ev-holding-by-602805-stock-price-rose-howe-rusling-holding-in-medtronic-plc-mdt-has-cut-as-share-value-declined/ …";;;;"1105928036539682817";https://twitter.com/UlmHi/status/1105928036539682817
;2019-03-13 20:05;0;0;"Buy/Sell Bitcoin & altcoin movements with up to 100x Leverage at PrimeXBT! Join now and convert your $50 into $12500: http://bit.ly/PrimeXBT04 Receive money even if BTC is declining! $ AIT | $ IONC | $ ARB | $ NAV | $ EXRN | $ MDT | $ BTI | $ BITC | $ EXYpic.twitter.com/BfgXDDARoW";;;;"1105922776341180416";https://twitter.com/SergioArchulet/status/1105922776341180416
;2019-03-13 20:00;0;0;"41 shares of $ MDT sold at 93.12 USD per share (Proceeds of about 3817.92 USD)";;;;"1105921485313634307";https://twitter.com/ADMVIII/status/1105921485313634307
;2019-03-13 19:23;0;0;"Klingenstein Fields & Co Increased Medtronic Plc $ MDT Stake by $1.27 Million; Kames Capital Plc Stake in Svb Financial Group $ SIVB Has Cut as Market Value Rosehttps://yomiblog.com/2019/03/13/klingenstein-fields-kames-capital-plc-stake-in-svb-financial-group-sivb-has-cut-as-market-value-rose/ …";;;;"1105912165402324993";https://twitter.com/BlogYomi/status/1105912165402324993
